COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,LATITUDE,LONGITUD
29,1,1,4,55,5,11,7,1,4,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480001,6090,2000,I-410,88888888,888888888
41,1,1,0,24,1,13,8,1,1,2,35,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480002,970,2000,FM158,88888888,888888888
53,1,1,4,25,4,6,4,1,1,2,35,2,1,2,1,40,3,0,1,0,0,0,0,1,7,480003,0,2000,122,88888888,888888888
113,1,1,16,28,4,11,1,1,3,3,60,1,1,1,1,0,0,0,1,0,0,0,0,1,7,480004,1730,2000,I-345,88888888,888888888
135,1,1,1,0,1,6,4,1,2,3,55,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480005,0,2000,JONBENSHEPPARDPKWY,88888888,888888888
175,1,1,8,10,3,2,2,1,1,2,45,1,1,2,2,0,0,0,5,0,0,0,0,1,7,480006,0,2000,US-59,88888888,888888888
201,1,1,2,45,1,6,4,1,2,2,40,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480007,0,2000,KUYKENDAHL,88888888,888888888
201,1,1,11,6,7,3,3,2,2,3,45,1,1,1,1,3,3,0,1,1,0,0,0,1,7,480008,0,2000,SR-249,88888888,888888888
201,1,1,23,20,3,16,5,3,2,3,35,1,1,1,1,3,3,0,1,0,0,0,0,1,7,480009,3280,2000,W43RD,88888888,888888888
217,1,1,16,5,1,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480010,0,2000,FM308,88888888,888888888
339,1,1,15,14,3,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480011,0,2000,FM149,88888888,888888888
37,1,2,16,50,3,1,1,1,2,2,70,1,1,1,1,0,0,0,1,0,0,0,0,1,1,480012,0,2000,I-30,88888888,888888888
113,1,2,12,11,1,16,5,1,3,9,55,1,1,1,2,0,0,0,1,0,0,0,0,1,1,480013,1730,2000,DALLASNORTHTOLLWAY,88888888,888888888
121,1,2,19,14,4,11,1,1,3,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480014,1840,2000,I-35,88888888,888888888
177,1,2,7,19,5,1,1,15,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,2,1,480015,0,2000,I-10,88888888,888888888
285,1,2,1,31,2,4,3,1,1,4,65,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480016,0,2000,SR-111,88888888,888888888
315,1,2,7,52,4,2,2,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480017,0,2000,US-59,88888888,888888888
363,1,2,17,5,1,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480018,0,2000,I-20,88888888,888888888
423,1,2,3,34,2,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480019,0,2000,FM346,88888888,888888888
439,1,2,12,55,6,11,1,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,5,1,480020,2450,2000,I-30,88888888,888888888
497,1,2,7,0,2,2,2,2,1,4,65,1,1,2,2,0,0,0,5,0,0,0,0,1,1,480021,0,2000,US-380,88888888,888888888
1,1,3,16,50,2,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480022,0,2000,FM645,88888888,888888888
113,1,3,23,40,1,16,5,1,2,3,35,2,1,1,1,40,3,0,1,0,0,0,0,1,2,480023,1730,2000,KIESTBLVD,88888888,888888888
135,1,3,9,55,9,11,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480024,0,2000,I-20,88888888,888888888
259,1,3,9,49,3,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,14,0,0,1,2,480025,0,2000,I-10,88888888,888888888
289,1,3,6,45,3,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480026,0,2000,FM39,88888888,888888888
331,1,3,10,50,1,3,2,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480027,0,2000,US-77,88888888,888888888
467,1,3,22,48,1,4,3,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480028,0,2000,SR-110,88888888,888888888
29,1,4,3,13,5,16,5,3,1,2,30,1,1,2,1,20,3,0,1,0,0,0,0,1,3,480029,6090,2000,ZACHRY,88888888,888888888
85,1,4,14,17,2,5,8,2,1,2,50,1,1,2,1,20,3,0,1,0,0,0,0,1,3,480030,2282,2000,FM2786,88888888,888888888
113,1,4,21,14,3,16,5,1,3,3,55,1,1,2,1,0,0,0,1,0,14,0,0,1,3,480031,1730,2000,DALLASNORTHTOLLWAY,88888888,888888888
189,1,4,17,15,1,1,1,1,2,2,70,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480032,0,2000,I-27,88888888,888888888
201,1,4,10,30,1,11,7,1,4,3,40,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480033,0,2000,I-45,88888888,888888888
201,1,4,19,40,2,12,2,2,2,3,40,1,1,1,1,3,3,0,1,0,0,0,0,1,3,480034,3280,2000,US-90,88888888,888888888
201,1,4,20,25,2,16,5,1,1,2,35,1,1,1,1,0,0,2,1,0,0,0,0,1,3,480035,3280,2000,HOMESTEAD,88888888,888888888
455,1,4,9,45,2,3,3,7,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480036,7020,2000,SR-94,88888888,888888888
27,1,5,23,30,3,12,2,5,2,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480037,3690,2000,US-190,88888888,888888888
85,1,5,15,0,3,16,5,1,1,2,45,2,1,1,1,0,0,0,1,0,0,0,0,1,4,480038,5390,2000,SPRINGCREEKPKWY,88888888,888888888
201,1,5,7,38,3,16,5,1,2,3,35,1,1,1,1,0,0,1,1,0,0,0,0,1,4,480039,3280,2000,BELLAIRE,88888888,888888888
439,1,5,18,12,3,12,3,2,1,2,99,1,1,2,1,20,3,0,1,0,0,0,0,1,4,480040,2450,2000,SR-199,88888888,888888888
5,1,6,15,55,2,13,2,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480041,0,2000,US-69,88888888,888888888
201,1,6,11,10,2,14,8,1,2,2,40,1,1,2,1,0,0,0,1,1,0,0,0,1,5,480042,3280,2000,LOOP494,88888888,888888888
323,1,6,2,1,1,16,4,1,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,1,5,480043,0,2000,INDUSTRIALROAD,88888888,888888888
29,1,7,1,20,2,16,5,1,2,2,45,1,1,2,2,0,0,0,2,0,0,0,0,1,6,480044,6090,2000,EISENHAUERRD,88888888,888888888
29,1,7,17,45,1,16,5,1,2,2,35,1,1,2,2,0,0,0,2,0,0,0,0,1,6,480045,6090,2000,MEDICALDRIVE,88888888,888888888
113,1,7,13,58,4,13,3,2,2,3,50,1,1,1,2,0,0,0,2,0,0,0,0,1,6,480046,2800,2000,SR-180,88888888,888888888
123,1,7,24,0,2,2,2,3,1,2,65,1,1,2,2,0,0,0,2,0,0,0,0,1,6,480047,0,2000,US-87,88888888,888888888
141,1,7,12,32,1,11,1,13,2,9,60,2,1,1,1,0,0,0,1,0,0,0,0,1,6,480048,2190,2000,I-10,88888888,888888888
141,1,7,9,13,2,16,5,2,1,4,35,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480049,2190,2000,CASTNER,88888888,888888888
191,1,7,14,0,1,3,3,1,1,2,70,2,1,2,1,0,0,0,1,0,0,0,0,1,6,480050,0,2000,SR-256,88888888,888888888
201,1,7,15,55,1,6,4,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480051,0,2000,FRANZROAD,88888888,888888888
207,1,7,16,20,2,2,2,1,1,2,70,1,1,2,2,0,0,0,2,0,0,0,0,1,6,480052,0,2000,US-277,88888888,888888888
355,1,7,3,22,1,4,8,1,1,2,65,1,1,2,2,0,0,0,1,0,0,0,0,1,6,480053,0,2000,FM70,88888888,888888888
453,1,7,15,15,4,3,3,1,1,4,65,1,1,2,2,0,0,0,2,0,0,0,0,2,6,480054,0,2000,SR-71,88888888,888888888
497,1,7,15,50,1,2,2,1,2,2,70,1,1,2,2,0,0,0,2,0,0,0,0,1,6,480055,5710,2000,US-81,88888888,888888888
501,1,7,18,46,1,3,2,1,1,2,65,1,1,2,2,0,0,0,2,0,19,0,0,1,6,480056,0,2000,US-82,88888888,888888888
29,1,8,20,40,5,11,1,1,3,3,60,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480057,6090,2000,I-410,88888888,888888888
55,1,8,12,38,1,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480058,0,2000,FM1322,88888888,888888888
105,1,8,4,30,1,4,2,3,1,2,65,1,1,2,2,20,3,0,5,0,0,0,0,1,7,480059,0,2000,US-190,88888888,888888888
201,1,8,10,23,2,16,5,1,1,2,30,1,1,2,2,0,0,2,1,0,0,0,0,1,7,480060,3280,2000,ALDER,88888888,888888888
201,1,8,20,55,15,12,2,1,2,7,65,1,1,1,1,0,0,0,1,0,0,0,0,1,7,480061,3280,2000,US-59,88888888,888888888
441,1,8,8,10,1,6,4,1,1,2,60,1,1,2,2,0,0,0,1,0,0,0,0,1,7,480062,0,2000,181,88888888,888888888
27,1,9,19,55,1,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480063,0,2000,FM439,88888888,888888888
435,1,9,3,10,1,5,8,1,1,2,55,2,3,2,1,0,0,0,1,0,0,0,0,1,1,480064,0,2000,FM1691,88888888,888888888
491,1,9,16,30,3,11,1,5,2,9,55,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480065,5990,2000,I-35,88888888,888888888
499,1,9,23,10,1,2,2,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480066,0,2000,US-69,88888888,888888888
5,1,10,0,5,1,2,3,1,1,2,65,1,1,2,2,0,0,0,1,0,0,0,0,1,2,480067,0,2000,SR-103,88888888,888888888
113,1,10,10,15,2,16,5,2,2,3,45,1,1,2,1,3,3,0,1,0,0,0,0,1,2,480068,1730,2000,HARRYHINESBLVD,88888888,888888888
201,1,10,14,30,4,12,7,2,4,3,50,1,1,1,1,20,3,0,1,0,0,0,0,1,2,480069,3280,2000,LOOP8,88888888,888888888
325,1,10,1,55,4,2,2,1,2,9,70,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480070,0,2000,US-90,88888888,888888888
355,1,10,0,5,2,13,3,1,2,2,65,1,1,2,2,0,0,0,5,0,0,0,0,1,2,480071,0,2000,SR-44,88888888,888888888
409,1,10,16,50,1,6,4,6,1,2,60,1,1,2,1,61,3,0,1,0,0,0,0,1,2,480072,0,2000,21,88888888,888888888
449,1,10,7,50,3,4,2,3,1,4,70,1,3,2,1,0,0,0,1,0,0,0,0,1,2,480073,0,2000,US-67,88888888,888888888
71,1,11,2,25,1,1,1,1,2,2,65,1,1,2,1,0,0,0,5,0,0,0,0,1,3,480074,0,2000,I-10,88888888,888888888
109,1,11,10,0,2,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480075,0,2000,I-10,88888888,888888888
201,1,11,16,52,1,16,5,1,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,1,3,480076,3280,2000,FAWNRIDGE,88888888,888888888
287,1,11,11,5,2,2,3,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480077,0,2000,SR-21,88888888,888888888
371,1,11,16,20,1,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480078,0,2000,I-10,88888888,888888888
455,1,11,23,0,1,5,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480079,0,2000,FM3188,88888888,888888888
113,1,12,2,5,3,11,1,1,3,4,60,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480080,1730,2000,I-30,88888888,888888888
183,1,12,1,10,1,3,3,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480081,0,2000,SR-31,88888888,888888888
237,1,12,20,24,2,2,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,2,4,480082,0,2000,US-380,88888888,888888888
283,1,12,16,55,3,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,2,4,480083,0,2000,I-35,88888888,888888888
347,1,12,0,1,2,15,8,1,1,2,50,1,1,2,2,0,0,0,1,0,0,0,0,1,4,480084,4810,2000,FM2609,88888888,888888888
381,1,12,22,36,2,4,8,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480085,0,2000,LOOP335,88888888,888888888
439,1,12,0,1,2,13,3,2,1,4,40,1,1,2,1,20,3,0,1,0,0,0,0,1,4,480086,260,2000,SR-180,88888888,888888888
451,1,12,9,10,2,2,2,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480087,0,2000,US-87,88888888,888888888
455,1,12,18,50,3,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480088,0,2000,FM2262,88888888,888888888
85,1,13,15,56,2,14,8,2,1,2,55,1,1,2,1,20,3,0,1,0,0,0,0,1,5,480089,4230,2000,FM720,88888888,888888888
131,1,13,6,0,3,2,2,1,1,2,65,1,1,2,2,0,0,0,5,0,0,0,0,2,5,480090,0,2000,US-59,88888888,888888888
161,1,13,7,44,1,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480091,0,2000,I-45,88888888,888888888
321,1,13,7,15,4,3,3,2,1,2,70,1,1,2,2,20,3,0,5,0,0,0,0,1,5,480092,0,2000,SR-71,88888888,888888888
325,1,13,18,15,2,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,5,480093,0,2000,FM471,88888888,888888888
