COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,latitude,longitud
141,1,1,2,45,2,16,5,2,1,4,35,1,1,2,2,3,3,0,1,0,0,0,0,1,3,480001,2190,2002,MCCOMBS,31.877538889,-106.406275
167,1,1,0,49,2,6,4,1,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,1,3,480002,0,2002,HIGHLANDRD,29.354708333,-95.12716944
201,1,1,15,0,2,16,5,1,3,3,70,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480003,3280,2002,SAMHOUSTON,29.687933333,-95.55777778
209,1,1,4,25,6,6,4,1,1,2,40,2,1,2,1,0,0,0,1,0,0,0,0,1,3,480004,0,2002,FITZHUGHRD,30.253625,-98.072
265,1,1,14,49,2,1,1,1,2,2,70,2,1,2,1,0,0,0,1,0,0,0,0,1,3,480005,0,2002,I-10,30.272777778000002,-99.49865556
291,1,1,23,31,1,16,5,6,1,2,30,1,1,2,1,60,3,0,1,0,0,0,0,1,3,480006,1380,2002,DALLAS,30.3399,-95.08996944
389,1,1,9,22,1,1,1,1,2,2,70,1,1,2,3,0,0,0,4,0,0,0,0,1,3,480007,0,2002,I-20,31.374961110999998,-103.646575
451,1,1,4,9,3,6,4,1,1,2,45,1,1,2,2,0,0,0,4,0,0,0,0,1,3,480008,0,2002,SIDEVIEWRD,31.537116667,-100.4917667
491,1,1,2,27,3,3,3,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480009,0,2002,SR-195,30.742858333,-97.70176944
1,1,2,20,20,2,3,3,2,1,2,65,1,1,2,1,20,3,0,1,0,0,0,0,2,4,480010,0,2002,SR-155,31.870825,-95.57073333
5,1,2,18,25,2,4,8,1,1,2,55,1,1,2,2,0,0,0,1,0,0,0,0,1,4,480011,0,2002,FM1818,31.178844444,-94.76662778
21,1,2,7,30,3,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480012,0,2002,FM812,30.098966667,-97.60498056
27,1,2,13,30,6,1,1,1,2,3,70,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480013,0,2002,I-35,30.928475,-97.54271944
27,1,2,14,56,2,1,1,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480014,0,2002,I-35,31.165386111,-97.31953056
61,1,2,18,27,2,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480015,6110,2002,MCCULLOUGH,26.116894444,-97.63580833
309,1,2,14,39,4,2,3,2,2,2,55,1,1,2,1,20,3,0,1,0,0,0,0,2,4,480016,0,2002,SR-6,31.575361111,-97.29071944
487,1,2,9,46,4,2,2,15,2,2,70,1,1,2,3,0,0,0,1,0,0,0,0,1,4,480017,0,2002,US-287,34.045813889,-98.95295556
