COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
113,1,1,5,38,1,16,5,1,4,3,30,2,1,2,2,0,0,0,1,0,0,0,0,1,1,480001,1730,2006,FITZHUGH,99999999999999999999,32.81899167,-96.79808611
113,1,1,5,23,2,12,3,1,2,3,60,1,1,2,1,0,0,2,1,0,0,0,0,1,1,480002,3420,2006,SR-183,99999999999999999999,32.83704444,-96.95028611
241,1,1,6,45,1,2,2,2,2,2,65,1,1,1,1,20,3,0,5,1,0,0,0,1,1,480003,0,2006,US-96,FM2245,30.77078333,-93.94828056
339,1,1,20,50,2,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480004,4878,2006,WILLABY,99999999999999999999,30.14786667,-95.13861944
355,1,1,1,25,1,11,1,1,3,4,65,1,1,2,2,0,0,0,1,0,0,0,0,1,1,480005,1550,2006,I-37,99999999999999999999,27.79886667,-97.4203
381,1,1,11,30,20,2,1,1,2,2,70,1,1,1,1,0,0,0,8,0,0,0,0,1,1,480006,0,2006,I-27,99999999999999999999,34.90829167,-101.8486944
423,1,1,5,5,2,3,3,1,1,2,65,1,1,2,8,0,0,0,1,0,0,0,0,1,1,480007,0,2006,SR-64,99999999999999999999,32.27613056,-95.1075
453,1,1,0,2,2,11,1,1,3,5,55,1,1,2,1,0,0,2,1,0,0,0,0,1,1,480008,330,2006,I-35,99999999999999999999,30.33380556,-97.70366111
479,1,1,19,29,4,1,1,1,2,2,65,1,3,1,1,0,0,1,1,0,0,0,0,1,1,480009,0,2006,I-35,99999999999999999999,27.76316944,-99.43716111
113,1,2,2,10,6,11,1,1,3,4,60,1,1,1,1,0,0,0,1,0,0,0,0,1,2,480010,1730,2006,I-635,99999999999999999999,32.92400833,-96.77897778
135,1,2,15,38,3,6,4,2,1,2,30,1,1,2,1,20,3,0,1,0,0,0,0,1,2,480011,0,2006,25TH,STOCKTON,31.83910556,-102.4916028
323,1,2,8,44,2,13,2,8,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480012,2030,2006,US-57,99999999999999999999,28.70599167,-100.5010194
351,1,2,21,42,1,4,3,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480013,0,2006,SR-87,99999999999999999999,30.38491667,-93.79638333
381,1,2,9,20,2,4,8,2,1,2,55,1,1,2,1,20,3,0,1,0,0,0,0,1,2,480014,0,2006,FM1151,FM1541,35.09136944,-101.8484
381,1,2,17,15,2,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480015,150,2006,SCOTTY,99999999999999999999,35.12223333,-101.89094720000001
439,1,2,2,18,1,13,3,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480016,1442,2006,SR-26,99999999999999999999,32.86952778,-97.16931944
303,1,3,11,43,3,16,5,2,5,9,45,1,1,2,1,20,3,0,1,0,0,0,0,1,3,480017,4140,2006,50TH,FLINT,33.54878611,-101.88122779999999
