COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,WEATHER,latitude,longitud
139,1,1,11,25,1,13,2,6,1,4,30,1,1,2,1,60,3,0,1,0,0,0,0,0,1,2,480001,7270,2007,US-77,99999999999999999999,1,32.38799167,-96.8482
171,1,1,15,13,5,3,2,1,1,4,70,2,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480002,0,2007,US-87,99999999999999999999,1,30.16586667,-98.88685556
201,1,1,12,26,2,16,5,1,1,4,35,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,480003,3280,2007,BERRY,99999999999999999999,1,29.83775,-95.35426111
339,1,1,1,55,6,13,3,2,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480004,1510,2007,SR-105,6TH,1,30.31447778,-95.44947222
409,1,1,2,0,1,5,8,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480005,0,2007,FM3024,99999999999999999999,1,28.1258,-97.83419722
453,1,1,15,22,1,16,5,1,3,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480006,330,2007,CONGRESS,99999999999999999999,1,30.21059167,-97.77174444
453,1,1,16,27,1,12,2,1,3,3,99,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480007,330,2007,US-183,99999999999999999999,1,30.35575,-97.71517778
29,1,2,19,19,3,16,5,1,1,2,30,1,1,2,2,0,0,0,2,0,0,0,0,0,1,3,480008,6090,2007,PEREZ,99999999999999999999,2,29.43434167,-98.52733889
71,1,2,10,17,2,5,8,1,2,2,55,2,2,1,1,0,0,0,1,0,0,0,0,0,1,3,480009,0,2007,FM565,99999999999999999999,1,29.85974444,-94.81637222
183,1,2,10,3,4,4,3,2,1,2,60,1,1,2,1,3,3,0,1,0,0,0,0,0,1,3,480010,0,2007,SR-42,FM2206,1,32.48491667,-94.85064722
