COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,WEATHER
29,1,1,2,33,2,11,1,1,2,2,65,1,2,2,1,0,0,0,1,0,0,0,0,0,1,3,480002,6090,2008,I-35,99999999999999999999,29.49736111,-98.40052778,1
113,1,1,5,50,1,16,5,1,3,3,35,1,1,1,1,0,0,0,1,0,0,0,0,0,1,3,480003,1730,2008,LEDBETTER,99999999999999999999,32.69132778,-96.91014167,1
113,1,1,19,15,2,16,5,1,1,4,40,1,1,2,1,0,0,2,1,0,0,0,0,0,1,3,480004,1730,2008,FERGUSON,99999999999999999999,32.80436111,-96.71069444,1
215,1,1,9,30,1,6,4,1,1,2,30,2,1,4,1,0,0,0,1,0,0,0,0,0,1,3,480005,0,2008,2MILELINE,99999999999999999999,26.25581944,-98.39063611,1
303,1,1,0,36,3,16,5,1,1,2,99,1,1,2,1,0,0,0,1,0,0,0,0,0,1,3,480006,4140,2008,ERSKINE,99999999999999999999,33.60686389,-101.9015417,1
113,1,2,13,5,4,11,1,1,3,5,60,1,2,2,1,0,0,0,1,0,0,14,0,0,1,4,480007,1730,2008,I-35E,99999999999999999999,32.90054167,-96.89808333,1
471,1,2,21,22,4,14,3,2,5,4,45,1,3,2,1,20,3,0,1,0,0,0,0,0,1,4,480008,3340,2008,SR-75,PLEASANT,30.72645278,-95.56247222,1
193,1,3,9,5,1,5,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480009,0,2008,FM2486,99999999999999999999,31.75086944,-98.31454722,1
357,1,3,2,30,1,6,4,1,1,2,60,1,1,5,1,0,0,0,1,0,0,0,0,0,1,5,480010,0,2008,30,99999999999999999999,36.48380556,-100.5493278,1
399,1,3,11,54,2,4,3,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480011,0,2008,SR-153,99999999999999999999,31.95996389,-100.0510444,1
485,1,3,10,14,2,12,8,1,3,2,45,2,1,2,4,0,0,0,1,0,0,23,0,0,1,5,480012,7490,2008,SP325,99999999999999999999,33.95088611,-98.5163,1
25,1,4,7,58,2,14,8,8,1,4,50,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480013,510,2008,BU181J,99999999999999999999,28.42909167,-97.75844444,1
29,1,4,21,2,2,12,2,1,3,3,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480014,6090,2008,US-90,99999999999999999999,29.40065833,-98.63641667,1
31,1,4,13,39,7,3,2,1,1,4,70,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480015,5985,2008,US-281,99999999999999999999,30.41509444,-98.351175,1
113,1,4,20,25,2,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480016,1730,2008,CHEYENNE,99999999999999999999,32.74261667,-96.63986111,1
