ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480001,4,61,0,1,1,2012,1,4,36,6,5,GAMBLE RD,,26.09780278,-97.6417,1,5,0,5,0,0,0,1
480002,3,113,1730,1,1,2012,1,14,15,16,5,SINGLETON BLVD,PEORIA ST,32.77851944,-96.8953,2,1,0,1,0,0,0,1
480003,1,113,4530,1,1,2012,1,7,18,11,1,I-635,,32.77684167,-96.6244,1,1,0,1,0,0,0,1
480004,2,201,3280,1,1,2012,1,18,45,11,1,I-610,,29.69675278,-95.3076,1,1,0,1,0,0,0,1
480005,1,331,0,1,1,2012,1,11,22,4,8,FM 485,,30.88492222,-96.7991,1,1,0,1,0,0,0,1
480006,1,339,1510,1,1,2012,1,1,35,14,8,FM 2854,,30.308275,-95.4683,1,10,0,10,0,0,0,1
480007,2,453,330,1,1,2012,1,5,7,11,1,I-35,,30.15504722,-97.7909,1,1,0,1,0,0,0,1
480008,1,85,2320,2,1,2012,2,10,29,3,3,SR-78,,33.12340278,-96.41,1,1,0,1,0,0,0,1
480009,1,339,0,2,1,2012,2,16,0,6,4,CR-LEGENDS TRAIL DR,CR-LEGENDS ESTATES DR,30.12831389,-95.4,3,1,0,1,0,0,0,1
480010,2,339,1510,2,1,2012,2,21,40,11,1,I-45,,30.370675,-95.4851,1,1,0,1,23,0,0,1
480011,1,453,330,2,1,2012,2,2,0,16,5,PLEASANT VALLEY RD,,30.17813611,-97.7472,1,1,0,1,0,0,0,1
480012,1,29,6090,3,1,2012,3,18,43,13,2,US-281,,29.31510833,-98.4757,1,1,0,1,0,0,0,1
480013,1,183,4080,3,1,2012,3,1,0,14,8,FM2605 TENNERYVILLE RD,,32.537075,-94.8276,1,1,0,1,0,0,0,1
480014,2,241,0,3,1,2012,3,16,40,4,8,FM1005,,30.70355278,-94.025,1,1,0,1,0,0,0,1
480015,2,479,0,3,1,2012,3,18,10,2,2,US-59 LLOYD BENTSEN HWY,,27.69276944,-99.0453,1,1,0,1,0,0,0,1
480016,2,29,6090,4,1,2012,4,13,0,16,5,RECIO,,29.39113889,-98.5178,1,1,0,1,0,0,0,1
480017,3,41,0,4,1,2012,4,7,33,6,4,CR-SHILOH AVE,,30.650925,-96.4113,1,1,0,1,0,0,0,2
480018,3,113,3420,4,1,2012,4,2,50,12,3,SR-348 NORTHWEST HWY,,32.87465556,-96.9336,1,1,0,1,0,0,0,3
480019,2,201,3280,4,1,2012,4,14,54,16,5,W MONTGOMERY RD,,29.87994722,-95.4458,1,1,0,1,0,0,0,1
480020,5,29,6090,5,1,2012,5,15,10,16,5,PLEASANTON RD,,29.29037778,-98.5027,1,1,0,1,0,0,0,2
480021,2,41,0,5,1,2012,5,14,40,6,4,CR-OLD RELIANCE ROAD,,30.70190278,-96.3339,1,1,0,1,0,0,0,1
480022,2,85,2320,5,1,2012,5,12,30,2,2,US-380,CR-607,33.15883333,-96.38600000000001,2,1,0,1,0,0,0,1
480023,1,113,2800,5,1,2012,5,18,37,16,5,LAKE RIDGE PKWY,,32.59441389,-97.0359,1,1,0,1,0,0,0,1
480024,1,227,640,5,1,2012,5,19,15,16,5,SGT PARADEZ,,32.25495833,-101.48899999999999,1,1,0,1,0,0,0,1
480025,1,293,0,5,1,2012,5,18,19,6,4,CR-456,,31.59037222,-96.5219,1,1,0,1,0,0,0,1
480026,1,375,0,5,1,2012,5,16,15,1,7,I-40,,35.18967778,-101.984,1,1,0,1,0,0,0,1
480027,1,499,0,5,1,2012,5,23,30,4,8,FM 515,,32.93239722,-95.3474,1,1,0,1,0,0,0,1
480028,3,163,0,6,1,2012,6,20,3,4,8,FM 1581,,28.80678056,-99.2142,1,1,0,1,0,0,0,1
480029,1,439,2990,6,1,2012,6,4,58,16,5,HALTOM RD,,32.83522778,-97.2729,1,1,0,1,0,0,0,1
480030,2,453,0,6,1,2012,6,15,14,13,3,SR-71,,30.27157222,-97.912,1,1,0,1,0,0,0,1
480031,2,467,0,6,1,2012,6,2,47,4,8,FM47,,32.78668056,-95.9702,1,1,0,1,0,0,0,1
480032,4,499,0,6,1,2012,6,23,54,6,4,CR-3270,,32.75679444,-95.3228,1,1,0,1,0,0,0,1
480033,1,113,1730,7,1,2012,7,15,37,16,5,ROYAL LN,AUDELIA RD,32.89458889,-96.71799999999999,2,1,0,1,0,0,0,1
480034,1,163,0,7,1,2012,7,20,0,1,1,I-35,,28.81963611,-99.1184,1,1,0,1,0,0,0,1
480035,2,171,0,7,1,2012,7,16,32,4,8,RM1376,CR-LUCKENBACH RD,30.18121667,-98.7565,3,1,0,1,0,0,0,1
480036,1,177,0,7,1,2012,7,8,32,5,8,FM1116,,29.46043611,-97.4582,1,5,0,5,0,0,0,1
480037,1,201,0,7,1,2012,7,8,29,6,4,CR-FRICK RD,,29.9228,-95.4712,1,1,0,1,0,0,0,1
480038,1,257,0,7,1,2012,7,18,33,13,2,US-80,FM1392,32.73810278,-96.3429,3,1,0,1,0,0,0,1
480039,2,309,0,7,1,2012,7,1,15,6,4,CR-SURREY RIDGE RD,,31.44410833,-97.1711,1,1,0,1,0,0,0,2
480040,3,327,0,7,1,2012,7,11,50,3,2,US-83,,30.96686667,-99.7881,1,1,0,1,0,0,0,2
480041,1,85,5390,8,1,2012,1,8,48,16,5,14TH ST,BRADSHAW DR,33.00755833,-96.6487,1,10,0,10,0,0,0,1
480042,4,201,0,8,1,2012,1,2,44,6,4,CR-WESTGREEN BLVD,,29.79722222,-95.7352,1,10,0,10,0,0,0,1
480043,6,201,3280,8,1,2012,1,15,22,11,1,I-10,,29.77915,-95.4494,1,1,0,1,0,0,0,1
480044,2,309,0,8,1,2012,1,10,1,2,3,SR-31,FM 2311,31.6791,-96.9689,2,10,0,10,0,0,0,1
480045,1,473,0,8,1,2012,1,3,40,1,1,I-10,,29.78248611,-95.9792,1,5,0,5,0,0,0,1
480046,3,25,0,9,1,2012,2,17,5,2,2,US-181,,28.66598056,-97.8188,1,10,0,10,0,0,0,1
480047,1,201,3280,9,1,2012,2,2,15,16,5,HEMPSTEAD RD,,29.80748333,-95.4684,1,2,0,2,0,0,0,1
480048,2,207,0,9,1,2012,2,18,15,4,8,FM 3495,,33.07561389,-99.62899999999999,1,2,0,2,0,0,0,1
480049,2,253,0,9,1,2012,2,6,30,2,2,US-277,,32.93512778,-99.8221,1,2,4,4,0,0,0,1
480050,2,303,6410,9,1,2012,2,12,37,13,2,US-84,,33.44045,-101.666,1,4,0,4,0,0,0,1
480051,1,91,0,10,1,2012,3,17,24,6,4,CR-MEXICAN HAT DR,,29.95548056,-98.316,1,10,0,10,0,0,0,1
480052,1,203,4360,10,1,2012,3,9,47,14,8,SL 390 ERNEST F SMITH PKWY,,32.57006944,-94.3835,1,2,0,2,0,0,0,1
480053,1,325,0,10,1,2012,3,11,54,4,8,FM 462,,29.55648333,-99.2366,1,1,0,1,0,0,0,1
480054,1,381,0,10,1,2012,3,21,50,5,8,FM 1258,,35.05998889,-101.685,1,1,0,1,0,0,0,1
480055,1,453,330,10,1,2012,3,18,55,16,5,WELLS BRANCH PKWY,,30.441175,-97.6647,1,1,0,1,0,0,0,1
480057,2,113,1730,12,1,2012,5,18,40,13,2,US-352,,32.76916944,-96.7561,1,1,0,1,19,23,0,1
480058,1,113,1730,13,1,2012,6,6,49,16,5,HICKORY ST,,32.78107222,-96.7744,1,1,0,1,0,0,0,1
480059,3,135,5030,13,1,2012,6,6,47,11,1,I-20,,31.84528056,-102.32700000000001,1,1,0,1,0,0,0,1
480060,1,141,2190,13,1,2012,6,15,24,13,3,SR-20 MESA ST,GLORY RD,31.77761944,-106.50399999999999,2,1,0,1,0,0,0,1
480061,2,157,6660,14,1,2012,7,8,28,13,3,SR-6,AUSTIN PKWY,29.58056389,-95.5829,2,1,0,1,0,0,0,1
480063,1,121,2395,15,1,2012,1,20,27,16,5,FLOWER MOUND RD,CLEAR POINT RD,33.03025833,-97.0993,2,1,0,1,0,0,0,1
480064,1,127,0,15,1,2012,1,2,40,4,8,FM1557,,28.46203333,-99.76700000000001,1,1,0,1,0,0,0,1
480065,6,407,6344,15,1,2012,1,13,27,2,2,US-59,SL424,30.47570278,-95.0087,2,1,0,1,0,0,0,1
480066,1,421,0,15,1,2012,1,3,15,2,2,US-287,,36.10301389,-102.016,1,1,0,1,0,0,0,1
480067,2,439,260,15,1,2012,1,1,38,11,1,I-20,,32.67813889,-97.117,1,1,0,1,0,0,0,1
480068,2,457,0,15,1,2012,1,11,52,4,8,FM1745,,30.96595278,-94.5488,1,1,0,1,0,0,0,1
480069,3,13,0,16,1,2012,2,23,44,1,1,I-37,,28.90849722,-98.4329,1,1,0,1,18,0,0,2
480070,2,75,0,16,1,2012,2,5,54,2,2,US-287,,34.49509167,-100.354,1,1,0,1,23,0,0,1
480071,1,121,1840,16,1,2012,2,18,19,14,8,SL288,,33.26009167,-97.1215,1,1,0,1,0,0,0,1
