ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480001,8,85,5390,1,1,2016,6,1,13,3,SR-289 PRESTON RD,HEDGCOXE RD,33.08231944,-96.8006,2,1,0,1,0,0,0,1
480002,2,159,0,1,1,2016,6,6,45,1,I-30,,33.16255833,-95.1619,1,10,0,10,0,0,0,2
480003,1,201,3280,1,1,2016,6,5,50,1,I-69/US-59 SOUTHWEST FWY,,29.71379444,-95.5029,1,10,0,10,0,0,0,1
480004,3,205,0,1,1,2016,6,4,8,2,US-385,,35.80552778,-102.351,1,1,0,1,0,0,0,1
480005,1,361,7200,1,1,2016,6,2,0,8,FM 105 MAIN ST,,30.11707778,-94.0083,1,10,0,10,0,0,0,1
480006,1,373,4020,1,1,2016,6,21,46,2,US-59,,30.68573889,-94.9494,1,1,0,1,0,0,0,1
480007,1,487,7180,1,1,2016,6,6,11,2,US-70/287,,34.16070278,-99.2905,1,1,0,1,0,0,0,1
480008,3,29,6090,2,1,2016,7,18,51,1,I-37,,29.43452222,-98.4781,1,2,0,2,0,0,0,1
480009,4,91,0,2,1,2016,7,10,16,1,I-35,,29.79818056,-98.0182,1,2,0,2,0,0,0,1
480010,1,113,1190,2,1,2016,7,15,28,1,I-35,,32.96082222,-96.9152,1,10,0,10,0,0,0,1
480011,1,113,3420,2,1,2016,7,23,35,3,SR-12,,32.81568333,-96.9218,1,1,0,1,19,0,0,1
480012,2,135,0,2,1,2016,7,14,0,8,SL 338,FM 554,31.93435,-102.361,2,10,0,10,0,0,0,1
480013,1,201,3280,2,1,2016,7,21,0,7,I-10,CALLES ST,29.77383333,-95.3176,3,2,0,2,0,0,0,1
480014,1,29,6090,3,1,2016,1,18,58,6,ZARZAMORA ST,CERALVO ST,29.40682222,-98.5297,2,1,0,1,0,0,0,1
480015,1,167,6860,3,1,2016,1,18,51,6,VAUTHIER RD,,29.38479444,-94.9929,1,1,0,1,0,0,0,1
480016,1,183,0,3,1,2016,1,15,4,8,FM 1252,,32.44506111,-94.9463,1,1,0,1,0,0,0,1
480017,1,201,3280,3,1,2016,1,18,26,6,LIMESTONE,,29.82698889,-95.4934,1,1,0,1,0,0,0,1
480018,4,201,3280,3,1,2016,1,2,20,6,MILAM ST,,29.738275,-95.3825,1,2,0,2,0,0,0,1
480019,3,201,6970,3,1,2016,1,12,58,6,BROWN RD,,30.10233056,-95.6445,1,1,0,1,0,0,0,1
480020,2,299,0,3,1,2016,1,3,0,3,SR-29,,30.7493,-98.5282,1,10,0,10,0,0,0,1
480021,1,379,0,3,1,2016,1,19,38,8,FM 514,,32.95124444,-95.7008,1,1,0,1,0,0,0,1
480022,2,491,6780,3,1,2016,1,9,46,2,US-79 FOURTH ST,,30.57883056,-97.36200000000001,1,1,0,1,0,0,0,1
480023,3,21,0,4,1,2016,2,13,10,3,SR-304,,30.01841111,-97.3036,1,1,0,1,0,0,0,1
480024,2,29,6090,4,1,2016,2,12,37,6,NEW SULPHUR SPRINGS RD,,29.37189722,-98.3934,1,1,0,1,0,0,0,1
480025,1,113,1730,4,1,2016,2,5,57,1,I-20 LBJ FWY,,32.65680556,-96.742,1,1,0,1,23,0,0,1
480026,3,201,3280,4,1,2016,2,1,19,6,POST OAK RD,ALLUM RD,29.6408,-95.4637,2,1,0,1,0,0,0,1
480027,1,325,0,4,1,2016,2,6,10,8,FM 1343,,29.24754444,-98.9478,1,1,0,1,0,0,0,1
480028,1,441,30,4,1,2016,2,2,11,1,I-20,,32.48058333,-99.7772,1,1,0,1,0,0,0,1
480029,2,453,0,4,1,2016,2,15,57,6,HOWARD LN,,30.44449167,-97.7102,1,1,0,1,0,0,0,2
480030,2,453,0,4,1,2016,2,23,54,4,CR-SANDIFER ST,,30.23746667,-97.5892,1,1,0,1,0,0,0,1
480031,1,65,0,5,1,2016,3,22,30,7,I-40,,35.22044722,-101.561,1,5,0,5,0,0,0,1
480032,3,215,4197,5,1,2016,3,22,24,3,SR-336 10TH ST,SPRAGUE AVE,26.30120556,-98.2134,2,1,0,1,0,0,0,1
480033,1,245,5430,5,1,2016,3,22,17,2,US-69/287,,29.93811667,-93.9828,1,1,0,1,0,0,0,1
480034,8,365,0,5,1,2016,3,17,7,2,US-79,,32.36957222,-94.0603,1,1,0,1,0,0,0,1
480035,2,113,1730,6,1,2016,4,20,54,8,SL-12 LEDBETTER DR,,32.688825,-96.7836,1,2,0,2,0,0,0,1
480036,1,113,1730,6,1,2016,4,18,34,6,MARTIN LUTHER KING JR BLVD,,32.76918056,-96.7683,1,2,0,2,0,0,0,1
480037,2,121,1190,6,1,2016,4,18,5,8,FM2281 OLD DENTON RD,INDIAN RUN DR,33.03015833,-96.9183,3,2,0,2,0,0,0,1
480038,1,223,0,6,1,2016,4,7,30,4,CR-3564,,33.2408,-95.4903,1,1,0,1,0,0,0,1
480040,1,385,0,6,1,2016,4,9,30,2,US-83,,29.65690833,-99.7548,1,2,0,2,0,0,0,1
480041,1,495,0,6,1,2016,4,20,1,4,CR-TODD AVE ALLEY,,31.83901111,-103.088,1,10,0,10,0,0,0,1
480042,1,29,6090,7,1,2016,5,22,33,6,COMMERCE ST,,29.42488611,-98.4929,1,1,0,1,0,0,0,1
480043,2,29,6090,7,1,2016,5,21,19,6,DALHGREEN AVE,,29.40372222,-98.56700000000001,1,1,0,1,0,0,0,1
480044,2,37,0,7,1,2016,5,19,35,2,US-82,,33.50401111,-94.5801,1,5,0,5,0,0,0,1
480045,2,89,0,7,1,2016,5,6,55,2,US-90A,CR-RAMSEY RD,29.58703056,-96.4072,3,2,0,2,0,0,0,1
480046,1,201,3280,7,1,2016,5,13,0,6,BELLAIRE BLVD,,29.70498056,-95.5318,1,10,0,10,0,0,0,1
480047,4,209,3760,7,1,2016,5,19,50,7,I-35,,30.00428889,-97.8663,1,1,0,1,0,0,0,1
480048,2,371,0,7,1,2016,5,22,10,8,FM 1776,FM 1450,31.27975,-103.06,3,1,0,1,0,0,0,1
480049,2,373,0,7,1,2016,5,0,2,8,FM 2457,,30.73911111,-95.0225,1,2,0,2,0,0,0,1
480050,3,439,2450,7,1,2016,5,20,44,1,I-35W/SOUTH FWY,,32.58895,-97.3196,1,1,0,1,0,0,0,1
480051,1,439,260,7,1,2016,5,2,50,6,COLLINS ST,MAYFIELD RD,32.69203611,-97.0979,2,2,0,2,0,0,0,1
