TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,ST_CASE,Year
99,98.0,0.0,0.0,480009,1998
99,0.0,0.0,0.0,480018,1998
99,1.0,0.0,0.0,480055,1998
99,0.0,0.0,2.0,480070,1998
99,0.0,0.0,0.0,480098,1998
99,0.0,0.0,0.0,480104,1998
99,1.0,0.0,0.0,480109,1998
99,0.0,0.0,1.0,480110,1998
99,0.0,0.0,0.0,480141,1998
99,0.0,0.0,0.0,480149,1998
99,0.0,0.0,0.0,480149,1998
99,0.0,0.0,0.0,480149,1998
99,0.0,0.0,0.0,480210,1998
99,0.0,0.0,0.0,480267,1998
99,1.0,0.0,0.0,480280,1998
99,0.0,0.0,0.0,480333,1998
99,0.0,0.0,0.0,480344,1998
99,0.0,0.0,0.0,480367,1998
99,1.0,0.0,0.0,480412,1998
99,1.0,0.0,0.0,480415,1998
99,0.0,0.0,0.0,480436,1998
99,1.0,0.0,0.0,480512,1998
99,0.0,0.0,0.0,480551,1998
99,0.0,0.0,1.0,480553,1998
99,0.0,0.0,1.0,480557,1998
99,1.0,0.0,0.0,480607,1998
99,0.0,0.0,1.0,480625,1998
99,1.0,0.0,0.0,480649,1998
99,2.0,0.0,0.0,480681,1998
99,0.0,0.0,1.0,480704,1998
99,0.0,0.0,1.0,480712,1998
99,0.0,0.0,0.0,480719,1998
99,0.0,0.0,0.0,480777,1998
99,0.0,0.0,0.0,480790,1998
99,0.0,0.0,0.0,480819,1998
99,0.0,0.0,0.0,480833,1998
99,0.0,0.0,0.0,480858,1998
99,0.0,0.0,1.0,480865,1998
99,0.0,0.0,0.0,480870,1998
99,1.0,0.0,0.0,480902,1998
99,0.0,0.0,0.0,480911,1998
99,0.0,0.0,0.0,480927,1998
99,0.0,0.0,0.0,480931,1998
99,1.0,0.0,0.0,480947,1998
99,0.0,0.0,0.0,480953,1998
99,0.0,0.0,0.0,480959,1998
99,2.0,0.0,0.0,480961,1998
99,2.0,0.0,3.0,480977,1998
99,0.0,0.0,0.0,481023,1998
99,0.0,0.0,0.0,481030,1998
30,0.0,0.0,0.0,481036,1998
99,0.0,0.0,0.0,481057,1998
99,0.0,0.0,2.0,481093,1998
99,1.0,0.0,0.0,481105,1998
99,0.0,1.0,0.0,481111,1998
99,0.0,0.0,0.0,481149,1998
99,0.0,0.0,0.0,481153,1998
99,0.0,0.0,0.0,481154,1998
99,0.0,0.0,2.0,481163,1998
99,0.0,0.0,1.0,481233,1998
99,0.0,0.0,1.0,481265,1998
99,1.0,0.0,1.0,481296,1998
99,0.0,0.0,2.0,481313,1998
99,0.0,0.0,0.0,481316,1998
99,0.0,0.0,0.0,481372,1998
99,0.0,0.0,2.0,481381,1998
99,1.0,0.0,0.0,481440,1998
99,0.0,0.0,0.0,481489,1998
99,0.0,0.0,0.0,481510,1998
99,0.0,0.0,1.0,481511,1998
85,0.0,0.0,0.0,481542,1998
99,0.0,0.0,0.0,481568,1998
99,0.0,0.0,5.0,481636,1998
99,0.0,0.0,0.0,481658,1998
99,2.0,0.0,0.0,481659,1998
99,0.0,1.0,1.0,481671,1998
99,0.0,0.0,3.0,481697,1998
99,0.0,0.0,0.0,481698,1998
99,1.0,0.0,2.0,481703,1998
99,2.0,1.0,0.0,481731,1998
99,0.0,0.0,1.0,481738,1998
99,1.0,0.0,0.0,481744,1998
99,0.0,0.0,1.0,481798,1998
99,1.0,0.0,0.0,481799,1998
99,0.0,0.0,0.0,481811,1998
99,0.0,0.0,0.0,481813,1998
99,0.0,0.0,0.0,481840,1998
99,0.0,0.0,0.0,481855,1998
99,99.0,99.0,99.0,481887,1998
99,0.0,0.0,0.0,481959,1998
99,0.0,0.0,0.0,482009,1998
99,0.0,0.0,0.0,482011,1998
99,1.0,0.0,0.0,482021,1998
99,0.0,0.0,0.0,482029,1998
99,0.0,0.0,0.0,482056,1998
99,0.0,0.0,0.0,482068,1998
99,0.0,0.0,0.0,482069,1998
99,0.0,0.0,0.0,482076,1998
99,1.0,0.0,0.0,482099,1998
99,0.0,0.0,0.0,482119,1998
99,2.0,0.0,1.0,482132,1998
99,0.0,0.0,0.0,482148,1998
99,0.0,0.0,0.0,482163,1998
99,0.0,0.0,0.0,482200,1998
99,0.0,0.0,0.0,482204,1998
99,1.0,0.0,0.0,482213,1998
