VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,0,1,480031,0,48.0,0.0,0.0,1.0,1,2003
2,1,80,98,6,1,480040,0,48.0,0.0,0.0,0.0,1,2003
2,1,80,98,0,1,480109,0,48.0,0.0,0.0,0.0,1,2003
1,2,80,98,9,2,480131,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,98,6,1,480134,0,48.0,0.0,0.0,0.0,1,2003
1,2,80,98,2,1,480156,0,48.0,0.0,0.0,0.0,1,2003
1,2,80,98,4,1,480176,0,48.0,0.0,0.0,1.0,1,2003
1,1,80,98,2,1,480180,1,48.0,0.0,0.0,0.0,1,2003
1,1,80,98,0,1,480195,0,48.0,0.0,0.0,0.0,1,2003
1,1,80,98,9,1,480204,0,48.0,0.0,0.0,1.0,2,2003
1,1,80,98,0,1,480209,0,48.0,0.0,0.0,3.0,2,2003
1,1,80,98,6,1,480241,0,48.0,0.0,0.0,1.0,2,2003
3,1,80,98,6,0,480241,0,48.0,0.0,0.0,3.0,2,2003
1,1,80,98,0,1,480242,0,48.0,0.0,0.0,2.0,2,2003
1,1,80,98,4,1,480267,1,48.0,0.0,0.0,0.0,2,2003
2,1,80,98,4,1,480278,0,48.0,0.0,0.0,0.0,2,2003
1,2,80,98,9,1,480294,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,98,6,1,480352,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,98,9,1,480354,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,98,6,1,480358,0,48.0,0.0,0.0,0.0,2,2003
2,1,80,98,4,1,480359,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,72,4,1,480393,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,9,1,480401,0,48.0,0.0,0.0,0.0,3,2003
2,1,80,98,6,1,480402,0,48.0,1.0,0.0,0.0,3,2003
1,1,80,98,2,1,480405,0,48.0,1.0,0.0,0.0,3,2003
1,2,80,98,9,1,480430,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,9,1,480434,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,4,1,480441,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,9,1,480443,1,48.0,0.0,0.0,1.0,3,2003
2,1,80,98,6,1,480469,0,48.0,0.0,0.0,0.0,2,2003
1,1,80,98,6,1,480491,0,4.0,0.0,0.0,0.0,3,2003
1,2,80,58,6,2,480493,1,48.0,1.0,0.0,0.0,3,2003
1,1,80,98,9,1,480502,0,48.0,0.0,0.0,1.0,3,2003
2,1,80,98,9,1,480508,1,48.0,0.0,0.0,2.0,3,2003
2,1,80,98,9,1,480517,0,48.0,2.0,0.0,4.0,3,2003
1,2,80,98,2,1,480522,0,48.0,0.0,0.0,0.0,3,2003
2,1,80,98,4,1,480536,0,48.0,0.0,0.0,0.0,3,2003
1,2,80,98,2,1,480538,0,48.0,0.0,0.0,0.0,3,2003
2,1,80,98,4,1,480542,0,48.0,0.0,0.0,1.0,3,2003
1,1,80,98,9,1,480543,0,48.0,1.0,0.0,0.0,3,2003
1,1,80,98,9,1,480555,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,6,1,480557,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,6,1,480563,0,48.0,1.0,0.0,0.0,3,2003
1,1,80,98,6,1,480566,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,2,1,480574,1,48.0,0.0,0.0,0.0,3,2003
2,1,80,98,2,1,480577,0,48.0,2.0,0.0,0.0,3,2003
1,1,80,98,4,1,480592,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,2,1,480594,1,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,4,1,480614,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,9,1,480617,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,2,1,480626,0,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,9,1,480629,1,48.0,2.0,0.0,0.0,4,2003
2,1,80,98,9,1,480634,0,29.0,0.0,0.0,1.0,4,2003
2,1,80,98,4,1,480641,0,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480642,1,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480658,0,48.0,0.0,0.0,2.0,4,2003
1,1,80,98,6,1,480666,1,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,6,1,480680,0,48.0,3.0,0.0,1.0,4,2003
1,1,80,98,9,1,480692,1,48.0,1.0,0.0,2.0,4,2003
2,1,80,98,9,0,480692,1,48.0,1.0,0.0,0.0,4,2003
2,2,80,98,9,1,480695,0,48.0,0.0,0.0,0.0,4,2003
3,2,80,98,9,0,480695,0,48.0,1.0,0.0,0.0,4,2003
1,1,80,98,9,1,480696,0,48.0,1.0,0.0,0.0,4,2003
2,1,80,98,2,1,480698,0,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,9,1,480699,1,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480709,0,48.0,0.0,0.0,2.0,4,2003
3,1,80,98,4,1,480709,0,48.0,0.0,0.0,0.0,4,2003
4,1,80,98,4,0,480709,0,48.0,0.0,0.0,2.0,4,2003
2,1,80,98,6,1,480712,0,48.0,1.0,0.0,0.0,4,2003
1,1,80,98,9,1,480729,0,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480734,0,48.0,0.0,0.0,0.0,4,2003
1,2,80,98,9,1,480738,0,48.0,2.0,0.0,0.0,4,2003
1,1,80,98,4,1,480742,0,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480745,1,48.0,0.0,0.0,1.0,4,2003
1,1,80,49,4,1,480756,1,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480772,0,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,6,1,480778,1,40.0,0.0,0.0,0.0,4,2003
1,1,80,98,6,1,480780,0,48.0,0.0,0.0,2.0,4,2003
2,1,80,98,6,1,480784,0,48.0,0.0,0.0,0.0,4,2003
2,1,80,98,9,1,480793,0,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,6,1,480812,0,48.0,0.0,0.0,0.0,3,2003
1,1,80,98,4,1,480826,0,48.0,0.0,0.0,1.0,4,2003
1,1,80,98,2,1,480828,1,48.0,1.0,0.0,0.0,4,2003
1,1,80,98,4,1,480838,1,48.0,0.0,1.0,1.0,4,2003
