TRAV_SP,ST_CASE,PREV_ACC,PREV_DWI,PREV_SPD,Year
98,480006,0.0,0.0,0.0,2005
98,480030,0.0,0.0,0.0,2005
98,480050,0.0,0.0,0.0,2005
98,480056,0.0,0.0,0.0,2005
98,480062,0.0,0.0,0.0,2005
98,480077,1.0,0.0,1.0,2005
98,480078,1.0,0.0,0.0,2005
98,480079,0.0,0.0,0.0,2005
98,480142,0.0,0.0,3.0,2005
98,480147,0.0,0.0,0.0,2005
98,480158,0.0,0.0,0.0,2005
98,480193,0.0,0.0,0.0,2005
98,480214,0.0,0.0,1.0,2005
98,480215,1.0,0.0,1.0,2005
32,480222,0.0,0.0,0.0,2005
98,480225,0.0,0.0,0.0,2005
98,480251,0.0,0.0,0.0,2005
98,480281,1.0,0.0,0.0,2005
75,480289,0.0,0.0,1.0,2005
70,480294,0.0,0.0,0.0,2005
98,480295,0.0,0.0,0.0,2005
98,480320,0.0,0.0,0.0,2005
98,480330,0.0,0.0,2.0,2005
98,480362,0.0,0.0,0.0,2005
98,480385,1.0,1.0,2.0,2005
98,480417,0.0,0.0,0.0,2005
98,480425,0.0,0.0,0.0,2005
98,480434,0.0,1.0,3.0,2005
98,480456,0.0,0.0,0.0,2005
98,480457,0.0,0.0,0.0,2005
57,480475,0.0,0.0,0.0,2005
57,480476,1.0,0.0,2.0,2005
98,480478,0.0,0.0,0.0,2005
98,480479,0.0,0.0,2.0,2005
98,480480,0.0,0.0,0.0,2005
98,480481,0.0,0.0,0.0,2005
98,480483,0.0,0.0,0.0,2005
98,480504,0.0,0.0,0.0,2005
98,480509,0.0,0.0,0.0,2005
98,480520,0.0,0.0,0.0,2005
98,480528,0.0,0.0,1.0,2005
98,480530,0.0,0.0,0.0,2005
98,480544,0.0,0.0,0.0,2005
98,480560,0.0,0.0,1.0,2005
98,480563,1.0,0.0,1.0,2005
98,480567,1.0,0.0,4.0,2005
98,480594,2.0,0.0,0.0,2005
98,480595,0.0,0.0,0.0,2005
98,480601,2.0,0.0,3.0,2005
98,480621,0.0,0.0,0.0,2005
98,480642,0.0,0.0,0.0,2005
98,480642,0.0,0.0,0.0,2005
98,480656,0.0,0.0,1.0,2005
98,480660,0.0,0.0,0.0,2005
98,480661,0.0,0.0,0.0,2005
98,480662,0.0,0.0,5.0,2005
98,480662,1.0,0.0,0.0,2005
98,480662,0.0,0.0,0.0,2005
59,480666,0.0,0.0,0.0,2005
98,480671,1.0,0.0,0.0,2005
98,480687,0.0,0.0,0.0,2005
98,480690,1.0,0.0,0.0,2005
98,480691,0.0,0.0,0.0,2005
98,480692,0.0,0.0,0.0,2005
98,480694,0.0,0.0,0.0,2005
90,480703,0.0,0.0,2.0,2005
98,480709,0.0,0.0,1.0,2005
98,480710,0.0,0.0,0.0,2005
