VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,DAY,HOUR,MINUTE,Year
1,1,80,998,2,1,480005,1,48.0,0.0,0.0,1.0,1,2,2,5,2009
1,1,80,998,6,1,480007,0,48.0,0.0,0.0,0.0,1,2,5,34,2009
3,1,80,998,9,1,480010,0,48.0,0.0,0.0,0.0,1,3,14,59,2009
1,2,80,998,2,1,480036,1,48.0,0.0,0.0,0.0,1,3,22,29,2009
1,1,80,998,2,1,480063,1,48.0,0.0,0.0,0.0,1,3,17,15,2009
1,1,80,998,9,1,480086,0,48.0,1.0,0.0,0.0,1,22,18,52,2009
1,1,80,998,2,1,480092,1,48.0,0.0,0.0,1.0,1,3,17,21,2009
1,1,80,998,2,1,480105,1,48.0,1.0,0.0,0.0,1,14,21,40,2009
1,1,80,998,4,1,480111,1,48.0,0.0,0.0,0.0,1,18,19,44,2009
2,1,80,998,4,1,480111,1,48.0,0.0,0.0,1.0,1,18,19,44,2009
1,1,80,998,2,1,480127,1,48.0,1.0,0.0,0.0,1,25,17,44,2009
2,1,80,998,2,1,480130,0,48.0,0.0,0.0,0.0,1,25,20,33,2009
1,1,80,998,2,1,480146,1,48.0,0.0,0.0,0.0,1,31,18,45,2009
1,1,80,998,6,1,480160,0,48.0,1.0,0.0,0.0,1,9,18,19,2009
1,1,80,998,9,1,480161,0,48.0,0.0,0.0,0.0,1,10,17,21,2009
2,1,80,998,2,1,480170,0,48.0,0.0,0.0,0.0,1,20,12,38,2009
1,1,80,998,2,1,480184,0,48.0,0.0,0.0,1.0,1,29,22,5,2009
2,1,80,998,6,1,480188,0,48.0,0.0,0.0,0.0,1,31,13,54,2009
1,1,80,998,4,1,480201,0,48.0,0.0,0.0,0.0,2,1,14,55,2009
1,1,80,998,2,1,480204,1,48.0,1.0,0.0,1.0,2,1,3,31,2009
1,1,80,998,6,1,480206,0,48.0,0.0,0.0,0.0,2,2,17,15,2009
1,1,80,998,2,1,480209,0,48.0,0.0,0.0,0.0,2,3,22,48,2009
1,1,80,998,9,1,480211,0,48.0,0.0,0.0,0.0,2,3,6,43,2009
2,1,80,998,6,1,480214,0,48.0,0.0,0.0,1.0,2,4,20,21,2009
1,1,80,998,2,1,480227,1,48.0,0.0,0.0,1.0,2,7,1,55,2009
1,1,80,998,9,1,480233,0,48.0,1.0,0.0,0.0,2,8,19,40,2009
2,1,80,998,2,1,480255,0,48.0,0.0,0.0,0.0,2,19,19,43,2009
1,1,80,998,2,1,480274,0,48.0,0.0,0.0,0.0,2,1,23,57,2009
1,2,80,998,2,1,480275,0,48.0,0.0,0.0,0.0,2,1,14,30,2009
1,1,80,998,6,1,480296,1,48.0,0.0,0.0,0.0,2,14,1,8,2009
1,1,80,998,6,1,480303,0,48.0,1.0,0.0,1.0,2,16,18,10,2009
2,1,80,998,9,1,480309,0,48.0,0.0,0.0,0.0,2,19,21,31,2009
1,1,80,998,2,1,480312,1,48.0,1.0,0.0,0.0,2,20,5,14,2009
2,1,80,998,6,1,480316,0,48.0,0.0,0.0,0.0,2,22,19,42,2009
1,1,80,998,6,1,480322,0,48.0,0.0,0.0,1.0,2,25,2,4,2009
2,1,80,998,6,0,480322,0,48.0,0.0,0.0,1.0,2,25,2,4,2009
1,1,80,998,6,1,480323,0,48.0,0.0,0.0,0.0,2,25,5,42,2009
2,1,80,998,6,0,480327,0,48.0,0.0,0.0,1.0,2,28,12,9,2009
3,2,80,998,6,1,480327,0,48.0,0.0,0.0,0.0,2,28,12,9,2009
1,1,80,998,2,1,480333,0,48.0,0.0,0.0,0.0,3,2,17,33,2009
2,1,80,998,2,1,480341,0,48.0,0.0,0.0,1.0,1,20,15,57,2009
2,1,80,998,4,1,480352,0,48.0,1.0,0.0,0.0,2,11,20,6,2009
1,1,80,998,2,1,480382,0,48.0,0.0,0.0,1.0,2,26,15,2,2009
1,1,80,998,2,1,480384,0,48.0,0.0,0.0,0.0,2,26,18,53,2009
1,1,80,998,2,1,480388,1,48.0,0.0,0.0,1.0,2,28,17,51,2009
1,1,80,998,6,1,480398,1,48.0,0.0,0.0,0.0,3,7,14,55,2009
1,1,80,998,2,1,480418,0,48.0,2.0,0.0,1.0,2,22,15,5,2009
2,1,80,998,2,1,480419,0,48.0,0.0,0.0,0.0,2,24,22,43,2009
2,1,80,998,2,1,480422,0,48.0,0.0,1.0,0.0,2,26,9,30,2009
2,1,80,998,4,1,480427,0,48.0,1.0,0.0,0.0,3,1,14,7,2009
2,1,80,998,6,1,480431,0,48.0,0.0,0.0,0.0,3,4,14,16,2009
1,1,80,998,4,1,480434,0,48.0,0.0,0.0,0.0,3,6,22,55,2009
1,1,80,998,9,1,480435,0,48.0,0.0,0.0,0.0,3,6,13,33,2009
