ST_CASE,TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,Year
480004,998,0,0,0,2013
480007,998,1,0,0,2013
480019,998,0,0,0,2013
480022,998,0,0,0,2013
480029,998,0,0,0,2013
480055,998,2,0,0,2013
480071,998,0,0,1,2013
480074,998,0,0,2,2013
480076,0,0,0,2,2013
480079,998,1,0,1,2013
480089,998,0,0,1,2013
480093,998,0,0,0,2013
480100,998,1,0,0,2013
480101,998,0,0,2,2013
480101,998,0,0,0,2013
480102,998,0,0,1,2013
480104,998,0,0,0,2013
480106,998,1,0,0,2013
480135,68,2,0,2,2013
480149,998,1,0,0,2013
480155,998,0,0,0,2013
480167,998,0,0,0,2013
480168,998,0,0,0,2013
480198,998,0,0,3,2013
480232,998,0,0,0,2013
480246,998,0,0,0,2013
480247,998,1,0,0,2013
480248,998,0,0,0,2013
480250,998,0,0,0,2013
480259,998,0,0,0,2013
480265,998,0,0,0,2013
480267,998,0,0,2,2013
480291,998,0,0,0,2013
480309,998,0,0,0,2013
480330,998,0,0,0,2013
480334,998,1,0,0,2013
480336,998,0,0,0,2013
480348,998,0,0,0,2013
480354,998,0,0,0,2013
480365,998,0,0,0,2013
480381,998,0,0,0,2013
480395,998,0,0,0,2013
480396,998,0,0,1,2013
480401,998,1,0,0,2013
480402,998,0,0,0,2013
480403,998,0,0,0,2013
480405,998,0,0,0,2013
480407,998,0,0,0,2013
480414,998,0,0,0,2013
480420,998,0,0,0,2013
480421,998,1,0,0,2013
480427,998,0,0,1,2013
480428,998,0,0,0,2013
480428,998,0,0,0,2013
480432,998,0,0,0,2013
480441,998,0,0,1,2013
480451,998,0,0,0,2013
480460,998,0,0,0,2013
480469,998,0,0,0,2013
480473,998,0,0,0,2013
480473,998,0,0,0,2013
480477,998,0,0,0,2013
480478,998,0,0,0,2013
480486,70,0,0,0,2013
480487,998,2,0,3,2013
480501,998,0,0,0,2013
480503,998,0,0,0,2013
480504,998,0,0,0,2013
480509,998,0,0,0,2013
480510,998,0,0,0,2013
480511,998,1,0,0,2013
480513,998,0,0,0,2013
480515,998,0,0,0,2013
480516,998,0,0,1,2013
480519,998,0,0,0,2013
480524,998,0,0,0,2013
480527,998,0,0,0,2013
480529,998,0,0,1,2013
480533,998,1,0,0,2013
480536,998,0,0,0,2013
480536,998,0,0,0,2013
480540,998,0,0,0,2013
480546,998,0,0,1,2013
480567,998,0,0,0,2013
480574,998,0,0,0,2013
480582,998,0,0,1,2013
480584,998,0,0,2,2013
480610,998,0,0,0,2013
480612,998,0,0,2,2013
480613,998,0,0,0,2013
480618,998,0,0,1,2013
480619,998,0,0,0,2013
480619,998,0,0,2,2013
480632,998,0,0,0,2013
480642,998,1,0,0,2013
480644,998,0,0,0,2013
480656,998,0,0,0,2013
480659,998,0,0,0,2013
480663,998,0,0,0,2013
480670,998,0,0,0,2013
480673,998,0,0,1,2013
480689,998,0,0,0,2013
480692,998,0,0,0,2013
480706,998,0,0,0,2013
480707,998,0,0,2,2013
480712,998,0,0,0,2013
480714,998,0,0,0,2013
480718,998,0,0,0,2013
480720,998,0,0,0,2013
480727,998,1,0,0,2013
480730,998,0,0,0,2013
480730,998,0,0,0,2013
480731,998,1,0,1,2013
480736,998,0,0,0,2013
480739,0,0,0,0,2013
480745,998,0,0,0,2013
480754,998,0,0,0,2013
480761,998,0,0,0,2013
480762,998,1,0,0,2013
480762,998,0,1,1,2013
480774,998,0,0,3,2013
480775,998,0,0,1,2013
480802,998,0,0,1,2013
480813,998,0,0,0,2013
480816,998,0,0,0,2013
480823,117,0,0,1,2013
