ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480003,2,2,1,1,15,11,80,998,4,48,0,0,0,5,40,69,2,0,2014
480039,1,1,5,1,2,52,80,998,4,48,0,0,0,3,60,1,1,1,2014
480051,1,2,8,1,23,50,80,998,2,48,0,0,1,4,35,1,1,1,2014
480076,1,2,12,1,20,44,80,998,9,48,0,0,0,3,45,24,2,1,2014
480076,3,2,12,1,20,44,80,998,9,48,0,0,0,3,45,98,0,1,2014
480077,1,2,12,1,1,3,80,998,8,48,0,0,3,2,55,6,1,0,2014
480091,1,1,19,1,2,0,80,998,4,48,0,0,0,4,65,25,1,1,2014
480107,1,1,8,1,15,40,80,998,9,48,0,0,0,2,45,46,1,0,2014
480117,1,1,11,1,19,38,80,998,8,48,0,0,0,2,45,2,1,1,2014
480126,2,2,14,1,12,50,80,998,8,95,99,99,99,2,65,98,1,0,2014
480126,3,1,14,1,12,50,80,998,8,95,99,99,99,2,65,51,1,0,2014
480128,1,1,15,1,13,37,80,998,9,48,0,0,0,2,60,64,1,0,2014
480143,1,1,18,1,22,31,80,58,6,48,0,0,1,1,60,6,1,0,2014
480166,1,1,23,1,6,50,80,998,9,48,0,0,2,2,50,86,1,0,2014
480173,1,1,26,1,16,22,80,60,8,48,0,0,0,4,30,83,1,0,2014
480192,2,2,17,1,17,25,80,998,8,48,0,0,0,2,40,98,1,0,2014
480195,1,1,17,1,10,10,80,100,6,48,0,0,2,5,98,1,1,0,2014
480197,2,1,20,1,17,30,80,998,8,48,0,0,0,2,98,98,1,0,2014
480210,2,1,25,1,16,6,80,998,8,48,0,0,0,2,55,74,1,0,2014
480216,1,1,25,1,23,28,80,998,8,48,0,0,0,2,50,6,1,0,2014
480224,2,1,27,1,7,0,80,998,8,48,1,0,1,3,98,83,1,0,2014
480235,1,1,30,1,7,20,80,998,6,48,0,0,0,2,45,1,1,1,2014
480244,2,1,26,1,14,21,80,998,9,48,0,0,0,2,55,51,1,0,2014
480244,3,1,26,1,14,21,80,998,9,48,0,0,0,2,55,98,0,0,2014
480248,1,1,14,1,20,16,80,998,8,48,0,0,0,6,45,69,1,0,2014
480251,1,2,19,1,0,15,80,998,8,48,0,1,0,3,50,6,1,1,2014
480252,1,1,19,1,18,24,80,998,8,48,0,0,1,1,45,15,1,1,2014
480252,2,1,19,1,18,24,80,998,8,48,0,0,0,1,45,98,0,1,2014
480257,1,1,1,2,21,40,80,998,4,48,0,0,0,2,30,98,1,0,2014
480293,2,1,6,2,1,57,80,998,8,48,0,0,0,4,40,25,1,0,2014
480332,1,1,14,2,3,0,80,998,8,48,0,0,0,4,40,6,1,0,2014
480343,1,2,15,2,21,7,80,120,4,48,0,0,0,3,75,6,1,0,2014
480346,2,1,16,2,17,30,80,998,8,48,2,0,1,5,75,88,1,0,2014
480350,1,1,16,2,14,20,80,998,4,48,0,0,0,2,55,50,1,0,2014
