ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1998,21,21,21,21,21,21,21,21,21,21
10002,1998,5,16,0,11,17,0,12,0,16,17
10003,1998,19,19,19,19,19,19,19,19,19,19
10004,1998,0,0,0,22,35,0,38,0,0,0
10005,1998,0,0,0,0,0,0,0,0,0,0
10006,1998,34,6,15,24,12,11,0,0,11,21
10007,1998,20,20,20,20,20,20,20,20,20,20
10008,1998,26,19,9,0,0,17,7,0,9,0
10009,1998,0,0,0,0,0,0,0,0,0,0
10010,1998,0,0,0,0,0,0,0,0,0,0
10011,1998,0,0,0,0,0,0,0,0,0,0
10012,1998,0,0,0,0,29,27,0,0,0,12
10013,1998,0,0,0,0,0,0,0,0,0,0
10014,1998,16,16,16,16,16,16,16,16,16,16
10015,1998,0,0,0,0,4,2,14,5,0,0
10016,1998,37,37,37,37,37,37,37,37,37,37
10017,1998,34,34,34,34,34,34,34,34,34,34
10018,1998,0,0,0,0,0,0,0,0,10,0
10019,1998,19,21,16,26,13,12,9,17,0,0
10020,1998,19,19,19,19,19,19,19,19,19,19
10021,1998,16,0,0,9,15,0,0,0,0,0
10022,1998,16,0,0,0,20,9,0,21,0,0
10023,1998,18,0,0,0,22,14,0,0,0,0
10024,1998,0,0,0,0,0,0,0,0,0,0
10025,1998,0,0,0,0,0,0,0,0,0,0
10026,1998,0,0,0,0,9,0,0,0,0,0
10027,1998,10,31,26,0,0,10,10,35,5,8
10028,1998,24,24,24,24,24,24,24,24,24,24
10029,1998,0,0,0,8,0,29,17,15,31,0
10030,1998,0,22,0,13,12,0,0,0,18,35
10031,1998,35,21,0,0,17,35,6,26,19,0
10032,1998,0,0,0,0,0,0,0,0,0,26
10033,1998,0,0,0,0,0,26,0,0,30,0
10034,1998,0,0,0,0,0,0,0,0,0,0
10035,1998,0,0,0,19,0,13,0,0,0,0
10036,1998,39,39,39,39,39,39,39,39,39,39
10037,1998,0,0,0,17,0,0,0,0,0,0
10038,1998,0,21,0,3,0,0,0,0,0,0
10039,1998,10,10,10,10,10,10,10,10,10,10
10040,1998,0,0,0,0,0,0,0,0,0,0
10041,1998,0,5,0,0,0,0,0,0,0,0
10042,1998,0,0,0,0,0,0,0,0,0,0
10043,1998,0,0,0,0,0,0,0,0,2,0
10044,1998,0,0,0,0,0,0,0,0,0,0
10045,1998,32,29,10,17,25,9,12,15,6,14
10046,1998,8,13,12,17,43,14,0,34,21,25
10047,1998,0,0,0,0,0,0,0,0,0,0
10048,1998,0,0,0,0,0,9,0,0,0,0
10049,1998,0,0,0,0,0,0,0,0,0,0
10050,1998,0,19,18,8,7,23,0,0,6,13
10051,1998,5,5,5,5,5,5,5,5,5,5
10052,1998,0,0,0,0,0,0,0,0,0,0
10053,1998,25,24,0,23,19,0,14,0,29,0
10054,1998,2,0,0,0,0,0,0,0,0,0
10055,1998,17,17,17,17,17,17,17,17,17,17
10056,1998,0,0,0,0,22,0,7,0,0,21
10057,1998,30,18,12,21,15,20,37,11,21,35
10058,1998,30,30,30,30,30,30,30,30,30,30
10059,1998,0,0,0,0,0,0,6,0,0,0
10060,1998,22,0,0,0,21,0,10,0,0,0
10061,1998,24,16,17,13,14,11,11,25,26,25
10062,1998,0,0,0,0,0,0,0,0,0,4
10063,1998,14,10,11,23,9,24,11,20,37,21
10064,1998,24,0,0,0,0,0,8,0,18,13
10065,1998,26,13,12,23,16,10,3,0,12,28
10066,1998,0,0,0,0,0,0,0,7,0,0
10067,1998,0,0,0,0,0,7,0,0,0,0
10068,1998,0,0,0,0,0,0,0,0,0,0
10069,1998,0,5,0,0,0,0,0,0,0,0
10070,1998,0,0,13,0,0,0,0,0,0,15
10071,1998,12,9,0,0,0,0,0,0,0,22
10072,1998,0,0,0,0,0,0,0,0,0,0
10073,1998,0,0,0,0,0,0,0,0,0,0
10074,1998,20,0,26,18,7,3,22,20,10,19
10075,1998,0,0,0,0,0,25,0,0,0,0
10076,1998,31,31,31,31,31,31,31,31,31,31
10077,1998,34,34,34,34,34,34,34,34,34,34
10078,1998,10,0,0,12,4,0,0,13,10,28
10079,1998,0,0,0,0,0,0,0,0,0,0
10080,1998,0,0,0,0,0,0,0,0,0,0
10081,1998,0,0,3,0,0,0,0,0,7,0
10082,1998,14,12,23,13,41,18,12,19,10,21
10083,1998,0,0,0,0,0,0,0,0,0,0
10084,1998,23,24,22,0,0,0,0,8,0,24
10085,1998,16,13,13,27,15,13,18,37,0,27
10086,1998,0,0,0,0,0,0,0,0,0,0
10087,1998,0,16,0,19,0,8,12,0,0,0
10088,1998,19,19,19,19,19,19,19,19,19,19
10089,1998,0,0,3,0,0,0,22,30,5,0
10090,1998,0,27,0,0,0,0,0,0,0,0
10091,1998,24,0,9,41,20,25,28,12,11,0
10092,1998,0,0,0,0,0,0,0,0,0,0
10093,1998,2,2,2,2,2,2,2,2,2,2
10094,1998,0,0,0,0,0,0,0,4,0,0
10095,1998,0,0,0,0,0,0,10,0,0,0
10096,1998,0,0,0,0,0,0,0,0,0,0
10097,1998,0,0,0,0,0,0,0,0,0,0
10098,1998,25,25,25,25,25,25,25,25,25,25
10099,1998,0,0,0,0,0,0,0,0,0,0
10100,1998,0,0,0,0,0,0,0,0,0,0
10101,1998,23,15,0,32,13,37,26,28,20,28
10102,1998,22,22,22,22,22,22,22,22,22,22
10103,1998,12,31,30,38,20,39,19,13,12,18
10104,1998,11,21,15,12,15,18,19,8,13,16
10105,1998,23,7,0,0,4,4,17,18,6,22
10106,1998,12,3,0,0,0,0,0,0,0,0
10107,1998,0,0,0,0,0,0,0,0,0,0
10108,1998,0,0,0,0,0,0,0,0,0,0
10109,1998,7,11,6,21,12,29,16,24,16,14
10110,1998,0,0,0,0,0,0,0,0,0,0
10111,1998,0,0,0,0,0,0,0,0,0,0
10112,1998,18,18,18,18,18,18,18,18,18,18
10113,1998,0,0,0,0,0,0,0,0,0,0
10114,1998,0,0,0,0,0,0,0,0,0,0
10115,1998,0,0,0,0,0,0,0,0,0,0
10116,1998,21,15,0,0,16,9,0,0,0,17
10117,1998,17,5,7,0,0,16,13,19,0,33
10118,1998,7,0,16,30,0,0,0,0,27,12
10119,1998,0,5,0,0,0,0,0,0,0,0
10120,1998,0,0,0,13,0,0,0,0,0,0
10121,1998,0,0,0,0,0,0,0,0,0,0
10122,1998,0,0,19,11,0,0,0,0,0,0
10123,1998,0,0,0,0,0,0,0,0,0,0
10124,1998,8,15,21,0,31,16,25,0,18,41
10125,1998,26,0,6,0,22,5,9,0,11,0
10126,1998,3,3,3,3,3,3,3,3,3,3
10127,1998,14,0,37,9,0,20,12,16,12,0
10128,1998,28,0,0,0,0,0,0,0,22,25
10129,1998,11,11,11,11,11,11,11,11,11,11
10130,1998,24,24,24,24,24,24,24,24,24,24
10131,1998,0,0,0,0,0,0,0,11,0,0
10132,1998,0,0,0,0,0,0,0,0,0,0
10133,1998,0,0,0,0,0,0,0,0,0,0
10134,1998,8,0,11,25,10,23,9,0,16,11
10135,1998,0,0,0,0,0,0,0,0,0,0
10136,1998,0,0,0,0,0,8,0,0,0,0
10137,1998,0,0,0,7,0,0,0,0,0,0
10138,1998,18,18,9,31,28,11,30,15,18,16
10139,1998,0,0,0,0,0,0,0,0,0,0
10140,1998,0,0,0,0,0,15,0,0,0,0
10141,1998,0,0,0,0,0,0,0,0,0,0
10142,1998,0,0,0,0,0,0,0,0,0,0
10143,1998,27,27,27,27,27,27,27,27,27,27
10144,1998,21,0,0,0,0,0,0,0,8,0
10145,1998,0,0,21,0,0,21,0,0,0,0
10146,1998,0,0,0,0,0,0,0,0,0,0
10147,1998,0,0,0,15,0,0,0,0,0,0
10148,1998,0,0,0,0,0,0,0,0,0,5
10149,1998,17,0,0,0,35,0,11,27,36,0
10150,1998,14,14,14,14,14,14,14,14,14,14
10151,1998,8,8,8,8,8,8,8,8,8,8
10152,1998,0,0,0,0,0,0,0,0,0,0
10153,1998,22,0,0,0,0,0,0,0,0,0
10154,1998,0,0,17,0,0,0,0,0,16,0
10155,1998,0,18,0,8,0,0,0,0,0,0
10156,1998,0,0,0,0,0,0,0,0,0,0
10157,1998,0,0,0,24,0,15,0,0,0,0
10158,1998,0,0,0,0,0,0,0,0,0,0
10159,1998,24,24,24,24,24,24,24,24,24,24
10160,1998,22,22,22,22,22,22,22,22,22,22
10161,1998,0,0,0,0,0,0,0,0,0,0
10162,1998,0,0,0,0,0,0,0,0,0,0
10163,1998,0,0,0,0,0,0,0,0,0,12
10164,1998,20,12,21,7,17,0,0,12,16,14
10165,1998,0,0,0,0,0,0,0,0,0,0
