YEAR,STATE,COUNTY,FATALS,ST_CASE,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_RD,A_TOD,A_DOW,A_HR,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_DIST,A_DROWSY
1999,1,73,1,10001,1,4,2,2,4,2,4,2,1,3,2,1,2,1,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,2,2
1999,1,51,1,10002,1,4,1,2,1,2,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,99,1,10003,1,4,1,2,4,2,5,2,1,3,1,1,2,1,2,2,1,2,2,1,2,3,2,2,2,2,1,2,2,2,2
1999,1,125,2,10004,1,4,1,1,1,2,1,2,3,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,9,1,10005,1,4,1,2,4,2,5,2,1,3,2,1,2,1,2,2,1,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1999,1,69,1,10006,1,4,1,2,4,2,5,2,1,3,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1999,1,115,1,10007,1,4,1,2,1,2,5,2,1,3,1,1,2,1,2,2,2,1,2,2,2,3,1,1,1,1,2,2,1,2,2
1999,1,73,1,10008,1,4,2,1,1,2,1,2,2,3,2,2,2,2,2,2,1,2,2,1,2,3,2,2,2,2,2,1,1,2,2
1999,1,55,1,10009,1,4,1,2,1,2,5,2,3,3,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1
1999,1,9,2,10010,1,4,1,1,2,2,1,2,1,3,1,1,2,1,2,2,1,1,2,1,2,3,2,2,2,2,2,2,2,2,2
1999,1,117,1,10011,1,4,2,2,1,1,3,1,4,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2
1999,1,97,1,10012,1,4,1,2,1,2,5,2,1,3,2,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,111,1,10013,1,4,1,2,4,2,4,2,1,3,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,117,1,10014,1,4,1,2,1,2,4,2,4,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2
1999,1,73,1,10015,1,4,2,2,4,2,4,2,1,3,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,125,1,10016,1,4,1,2,4,2,6,2,1,3,1,2,2,1,2,2,1,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1999,1,5,1,10017,1,4,2,2,1,2,4,2,3,3,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,101,1,10018,1,4,1,2,4,2,5,2,1,3,2,1,2,1,2,2,1,2,2,1,2,3,1,1,1,1,2,2,1,2,2
1999,1,21,1,10019,1,4,1,2,1,2,4,2,1,3,2,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,9,1,10020,1,4,1,2,1,2,4,2,3,3,1,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1999,1,133,1,10021,1,4,1,2,1,2,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1999,1,127,1,10022,1,4,1,2,4,2,6,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2
1999,1,3,1,10023,1,4,1,2,1,2,5,2,3,3,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,55,1,10024,1,4,1,2,4,2,3,2,1,3,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,25,1,10025,1,4,1,2,1,2,3,2,3,3,1,1,2,2,1,2,1,2,2,1,2,3,2,2,2,2,1,2,2,2,2
1999,1,97,3,10026,1,4,1,2,4,2,5,2,1,3,2,2,2,1,2,2,1,2,2,1,2,3,2,2,2,2,2,1,1,2,2
1999,1,97,1,10027,1,4,1,2,1,2,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1999,1,45,1,10028,1,4,1,2,4,2,4,2,1,3,2,2,2,1,2,2,1,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1999,1,85,1,10029,1,4,1,2,4,2,5,2,1,3,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2
1999,1,43,1,10030,1,4,1,2,1,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1999,1,93,1,10031,1,4,1,2,4,2,5,2,1,3,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
