ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1999,19,26,11,26,12,18,8,18,4,21
10002,1,1,1999,20,17,31,9,15,11,18,7,8,32
10002,2,1,1999,0,0,0,28,0,32,12,24,0,0
10003,1,1,1999,0,0,0,33,0,0,0,0,0,0
10004,1,1,1999,0,26,0,0,0,0,17,0,0,18
10004,2,1,1999,0,0,0,0,0,2,0,0,0,0
10005,1,1,1999,0,0,0,0,0,0,0,0,0,0
10006,1,1,1999,22,22,22,22,22,22,22,22,22,22
10007,0,1,1999,0,0,0,29,0,0,0,0,0,0
10007,1,1,1999,0,0,0,0,0,0,0,0,0,0
10008,1,1,1999,0,8,0,0,0,0,24,15,0,9
10008,2,1,1999,0,0,0,0,0,7,0,0,0,0
10009,1,1,1999,0,0,0,0,0,0,0,0,0,0
10009,2,1,1999,0,0,0,0,0,0,0,0,0,0
10010,0,1,1999,8,0,0,0,0,24,0,0,0,0
10010,0,2,1999,0,0,0,0,0,0,0,0,0,0
10010,0,3,1999,0,0,0,12,17,0,0,0,0,3
10010,1,1,1999,0,0,0,0,0,0,0,0,0,0
10011,1,1,1999,0,0,0,0,0,0,0,0,0,0
10011,2,1,1999,0,0,0,0,0,0,9,0,0,0
10012,0,1,1999,8,6,15,0,3,9,18,23,0,14
10012,1,1,1999,0,0,0,0,0,0,0,0,0,0
10013,1,1,1999,0,10,0,0,0,0,0,0,0,0
10014,1,1,1999,0,0,0,0,0,0,0,0,0,0
10014,2,1,1999,27,27,27,27,27,27,27,27,27,27
10015,1,1,1999,0,0,0,0,0,0,0,0,9,0
10016,1,1,1999,12,17,8,13,22,20,17,0,26,15
10017,1,1,1999,0,0,0,0,0,0,9,0,0,0
10017,2,1,1999,0,0,0,0,0,0,0,0,0,0
10018,1,1,1999,0,0,16,0,14,13,0,22,10,12
10019,0,1,1999,0,0,0,0,0,0,0,0,0,0
10019,1,1,1999,0,0,0,0,0,0,0,0,0,0
10020,1,1,1999,0,0,0,0,0,0,0,0,0,0
10020,2,1,1999,0,0,0,0,0,0,0,0,0,0
10021,1,1,1999,22,22,22,22,22,22,22,22,22,22
10021,2,1,1999,0,0,0,0,0,0,0,0,0,0
10022,1,1,1999,0,0,0,0,0,0,0,0,0,0
10023,1,1,1999,0,0,0,0,0,0,0,0,0,0
10023,2,1,1999,0,0,0,14,0,0,0,0,0,0
10024,1,1,1999,0,0,0,23,0,0,0,16,23,0
10025,1,1,1999,0,0,0,0,0,0,0,0,0,0
10025,2,1,1999,13,0,0,0,0,0,0,0,0,0
10026,1,1,1999,10,12,26,23,0,16,22,26,19,14
10027,1,1,1999,0,0,0,0,0,0,0,0,0,0
10027,2,1,1999,8,27,41,26,0,12,15,18,20,23
10028,1,1,1999,14,0,0,0,0,0,0,0,0,0
10029,1,1,1999,0,0,0,0,0,0,0,0,0,0
10030,1,1,1999,20,20,20,20,20,20,20,20,20,20
10030,2,1,1999,0,0,0,0,0,0,0,0,20,0
10031,1,1,1999,0,0,0,0,0,0,0,0,0,26
10032,1,1,1999,22,0,0,0,0,0,0,0,15,0
10032,2,1,1999,0,0,0,0,0,0,0,0,0,0
10033,1,1,1999,31,31,31,31,31,31,31,31,31,31
10034,1,1,1999,0,0,0,0,0,0,0,0,0,0
10034,2,1,1999,0,0,0,0,0,0,0,0,0,0
