ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2000,27,31,15,24,27,28,30,17,0,0
10002,2000,20,20,20,20,20,20,20,20,20,20
10003,2000,0,0,0,0,0,0,0,0,0,0
10004,2000,24,15,11,18,37,15,29,21,21,30
10005,2000,0,0,0,0,0,0,0,0,0,0
10006,2000,0,0,0,0,0,0,0,0,0,0
10007,2000,0,0,0,0,0,0,11,0,0,0
10008,2000,0,0,0,0,0,0,0,0,0,0
10009,2000,8,8,8,8,8,8,8,8,8,8
10010,2000,0,31,0,20,14,12,0,0,0,0
10011,2000,0,0,0,9,0,0,0,11,0,0
10012,2000,14,18,29,15,3,11,10,40,16,18
10013,2000,0,0,0,0,0,0,0,0,0,0
10014,2000,10,10,10,10,10,10,10,10,10,10
10015,2000,13,13,13,13,13,13,13,13,13,13
10016,2000,0,11,0,0,8,18,14,0,22,0
10017,2000,23,23,23,23,23,23,23,23,23,23
10018,2000,0,0,0,0,0,0,0,0,0,0
10019,2000,0,0,0,0,0,0,0,0,0,0
10020,2000,0,0,0,0,0,0,0,0,0,0
10021,2000,0,0,0,0,0,0,0,0,0,0
10022,2000,0,0,0,0,0,0,0,0,0,0
10023,2000,22,22,22,22,22,22,22,22,22,22
10024,2000,17,17,17,17,17,17,17,17,17,17
10025,2000,0,0,0,0,22,0,19,0,0,0
10026,2000,15,15,15,15,15,15,15,15,15,15
10027,2000,0,0,0,0,0,0,0,0,0,0
10028,2000,0,19,0,0,0,0,0,0,19,0
10029,2000,0,0,0,0,0,0,0,0,0,0
10030,2000,40,40,40,40,40,40,40,40,40,40
10031,2000,26,26,26,26,26,26,26,26,26,26
10032,2000,3,17,14,28,17,0,35,10,12,7
10033,2000,0,0,0,0,0,0,0,0,0,0
10034,2000,11,9,28,37,20,16,30,14,20,20
10035,2000,0,0,0,0,0,0,0,0,0,0
10036,2000,0,0,0,0,0,0,0,0,0,0
10037,2000,0,0,0,0,0,0,12,0,0,0
10038,2000,22,22,22,22,22,22,22,22,22,22
