st_case,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10001,0,23,22,11,9,21,13,28,27,29,2001
10002,22,17,16,0,0,0,0,13,0,0,2001
10003,16,0,31,0,0,28,0,0,16,0,2001
10004,16,12,0,27,14,8,0,0,10,0,2001
10005,0,0,0,0,0,0,0,0,0,0,2001
10006,0,0,0,0,0,0,0,0,0,0,2001
10007,0,0,0,0,22,0,4,0,0,0,2001
10008,0,0,0,0,0,0,0,0,0,0,2001
10009,0,0,0,0,0,0,0,0,0,0,2001
10010,0,0,0,0,0,0,0,9,0,0,2001
10011,0,0,0,0,0,0,0,0,0,0,2001
10012,0,0,0,36,0,0,0,0,0,0,2001
10013,18,19,21,15,25,17,0,0,0,23,2001
10014,17,10,11,17,0,24,0,22,20,0,2001
10015,11,0,22,3,11,6,4,7,8,0,2001
10016,24,20,28,21,8,12,19,15,31,32,2001
10017,0,0,0,0,0,0,0,0,0,0,2001
10018,10,5,14,31,16,0,22,13,16,0,2001
10019,37,25,17,16,9,12,0,19,16,17,2001
10020,13,19,0,7,27,21,0,22,7,0,2001
10021,0,0,0,0,0,0,0,0,0,0,2001
10022,4,4,4,4,4,4,4,4,4,4,2001
10023,17,0,0,0,0,0,25,17,0,0,2001
10024,5,27,13,12,13,11,14,13,0,11,2001
10025,0,0,0,0,0,0,0,0,0,0,2001
10026,19,0,0,0,0,0,0,0,0,9,2001
10027,41,8,28,26,12,12,31,10,9,23,2001
10028,0,17,15,0,0,0,0,21,0,0,2001
10029,0,0,0,0,0,0,0,0,0,0,2001
10030,0,0,0,0,14,0,0,0,0,0,2001
10031,0,0,13,0,0,0,0,0,0,0,2001
10032,8,0,0,4,0,16,0,0,11,0,2001
10033,12,6,8,5,15,6,11,8,12,0,2001
10034,0,0,0,0,0,0,0,0,0,0,2001
10035,0,0,0,0,0,0,0,0,0,0,2001
10036,13,0,0,0,0,0,0,0,0,0,2001
10037,0,0,13,0,0,0,22,0,0,0,2001
10038,17,0,18,25,21,0,18,21,0,0,2001
10039,0,0,27,0,0,0,0,0,23,0,2001
10040,0,0,0,0,0,0,0,0,0,0,2001
10041,14,10,0,14,13,21,0,7,23,15,2001
10042,17,3,14,16,0,26,21,19,0,24,2001
10043,0,0,0,0,0,8,20,0,11,0,2001
10044,20,11,0,0,21,0,0,0,0,0,2001
10045,0,0,0,0,0,0,0,0,0,0,2001
10046,21,0,0,0,28,0,0,21,0,0,2001
10047,0,0,0,0,0,0,0,0,0,0,2001
10048,0,0,0,0,0,0,0,0,0,0,2001
10049,0,13,0,0,0,0,20,8,0,17,2001
10050,23,16,12,14,21,7,5,22,6,9,2001
10051,0,0,0,0,0,0,0,0,0,8,2001
10052,0,0,0,0,0,0,0,0,0,0,2001
10053,0,0,0,0,0,0,0,0,0,0,2001
10054,0,0,0,0,0,0,0,0,0,0,2001
10055,0,0,0,0,0,0,21,11,0,0,2001
10056,0,38,14,4,27,29,16,19,14,18,2001
10057,0,0,31,26,0,0,0,0,0,0,2001
10058,22,21,0,0,0,0,26,0,0,0,2001
10059,6,10,0,19,12,14,0,0,15,10,2001
10060,0,0,0,0,0,0,0,0,0,0,2001
10061,0,0,0,0,0,16,0,0,0,0,2001
10062,0,0,0,23,0,0,0,0,0,0,2001
10063,0,0,0,0,0,0,0,0,0,10,2001
10064,0,0,0,0,0,0,0,0,0,0,2001
10065,0,0,0,0,17,0,0,0,0,0,2001
10066,12,18,14,0,13,4,25,0,18,15,2001
10067,0,0,14,20,0,11,24,0,35,17,2001
10068,0,0,0,0,0,0,0,0,0,0,2001
10069,0,0,0,0,15,0,0,0,0,0,2001
10070,25,26,10,23,14,17,0,28,14,22,2001
10071,0,17,0,12,15,0,23,2,0,9,2001
10072,15,22,0,4,19,0,11,11,0,25,2001
10073,0,8,0,0,0,0,0,0,16,0,2001
10074,17,0,5,33,0,0,0,0,0,0,2001
10075,0,0,0,0,0,0,0,0,0,0,2001
10076,0,0,0,0,0,0,0,0,0,0,2001
10077,0,0,0,0,0,0,0,0,0,0,2001
10078,0,0,0,0,0,0,0,0,0,0,2001
10079,26,31,0,15,24,17,18,29,7,18,2001
10080,24,0,0,0,0,0,11,0,0,14,2001
10081,30,24,13,6,13,0,12,30,23,15,2001
10082,8,23,18,22,13,20,11,12,16,20,2001
10083,13,0,0,0,0,0,0,0,0,0,2001
10084,7,20,16,28,20,19,16,27,10,19,2001
10085,0,29,0,10,21,33,17,0,28,22,2001
10086,15,7,23,13,9,11,7,4,19,16,2001
10087,0,0,0,0,0,0,0,0,0,0,2001
10088,17,0,0,0,0,0,0,0,0,0,2001
10089,0,0,0,0,0,0,0,0,0,0,2001
10090,19,0,0,0,0,0,0,0,0,0,2001
10091,0,0,0,21,0,0,0,0,0,0,2001
10092,11,0,10,26,23,18,0,0,14,0,2001
10093,0,0,0,0,0,0,0,0,0,0,2001
10094,16,0,17,0,4,0,22,0,0,0,2001
10095,9,18,30,13,15,25,7,10,15,15,2001
10096,16,0,0,14,0,13,16,17,0,22,2001
10097,0,0,0,0,0,0,0,0,0,0,2001
10098,0,0,0,0,0,0,0,0,0,0,2001
10099,0,0,0,0,0,0,0,0,0,0,2001
10100,11,5,0,0,0,15,20,25,9,11,2001
10101,0,0,0,0,0,0,0,0,0,0,2001
10102,0,0,0,0,0,0,0,0,0,0,2001
10103,0,0,0,0,0,0,0,0,0,0,2001
10104,19,20,21,0,0,0,6,19,11,28,2001
10105,16,23,25,34,18,8,24,9,19,17,2001
10106,0,0,0,0,0,0,16,0,0,15,2001
10107,0,0,0,0,0,0,0,0,0,0,2001
10108,0,0,0,0,0,20,0,0,0,0,2001
10109,0,0,7,0,0,9,23,7,14,0,2001
10110,0,0,0,0,0,0,0,0,0,0,2001
10111,0,0,11,11,25,16,23,0,14,0,2001
10112,0,0,2,13,14,9,0,4,25,15,2001
10113,20,21,18,17,15,25,24,27,41,14,2001
10114,0,0,0,0,8,0,10,0,0,0,2001
10115,0,29,15,0,0,0,0,0,0,0,2001
10116,0,0,29,0,0,0,0,0,0,0,2001
10117,0,0,0,0,0,0,0,0,0,0,2001
10118,12,0,0,0,0,0,0,0,0,0,2001
10119,0,0,0,0,0,0,12,0,0,0,2001
10120,0,0,10,0,21,0,15,0,10,0,2001
10121,0,19,0,0,19,0,0,13,0,0,2001
10122,0,0,0,0,0,0,0,0,0,0,2001
10123,0,0,4,0,0,0,0,0,0,0,2001
10124,23,23,23,23,23,23,23,23,23,23,2001
10125,0,0,0,0,0,0,11,0,12,0,2001
10126,0,0,8,5,17,4,18,8,3,27,2001
10127,0,0,0,0,0,0,0,0,0,0,2001
10128,0,24,8,0,0,9,0,33,0,0,2001
10129,0,0,0,0,0,0,0,0,0,0,2001
10130,0,0,0,0,0,0,0,0,16,0,2001
10131,0,0,0,0,13,0,0,0,0,0,2001
10132,0,24,0,0,0,0,20,0,0,0,2001
10133,7,0,9,4,34,4,11,15,8,6,2001
10134,32,23,24,18,0,11,13,16,8,11,2001
10135,0,0,0,0,0,0,0,0,0,0,2001
10136,27,27,27,27,27,27,27,27,27,27,2001
10137,37,0,7,15,0,0,0,0,0,9,2001
10138,0,0,5,0,9,0,20,0,0,0,2001
10139,0,0,0,0,16,0,12,0,0,0,2001
10140,11,22,14,0,14,6,0,0,0,29,2001
10141,0,0,0,0,39,0,7,18,31,27,2001
10142,0,0,0,0,0,0,0,0,0,0,2001
10143,0,0,0,0,0,0,0,0,0,0,2001
10144,0,0,0,0,0,0,0,0,0,0,2001
10145,21,21,21,21,21,21,21,21,21,21,2001
10146,0,0,0,0,0,0,0,0,0,0,2001
10147,0,0,0,0,9,0,0,0,0,0,2001
10148,18,18,18,18,18,18,18,18,18,18,2001
10149,0,0,0,0,0,0,0,0,0,0,2001
10150,18,27,42,10,13,14,14,8,12,18,2001
10151,0,0,0,0,0,0,0,0,12,0,2001
10152,0,0,0,0,0,0,0,0,0,0,2001
10153,0,0,0,28,15,0,30,0,33,15,2001
10154,0,0,0,0,0,0,0,0,0,18,2001
10155,0,0,0,0,15,17,0,0,0,0,2001
10156,12,0,0,0,0,10,0,12,0,0,2001
10157,16,11,29,28,20,17,9,26,15,18,2001
10158,20,20,20,20,20,20,20,20,20,20,2001
10159,0,0,0,0,0,0,0,0,0,0,2001
10160,0,13,27,24,8,15,34,19,25,0,2001
10161,0,0,0,24,0,0,0,0,0,0,2001
10162,0,13,0,5,0,4,0,12,0,0,2001
10163,13,13,13,13,13,13,13,13,23,13,2001
10164,19,20,19,28,14,23,13,13,16,21,2001
10165,0,0,0,13,17,0,0,0,0,29,2001
10166,0,0,0,0,0,0,0,0,0,0,2001
10167,0,0,0,0,0,0,0,0,0,0,2001
10168,0,0,0,0,0,0,0,0,0,0,2001
10169,0,0,0,0,0,0,0,0,0,0,2001
10170,0,0,0,0,0,0,0,0,0,0,2001
10171,0,0,0,0,6,21,0,0,0,0,2001
10172,12,14,21,25,14,12,15,25,15,16,2001
10173,24,24,17,27,18,13,33,18,21,28,2001
10174,0,0,0,0,0,0,0,0,9,0,2001
10175,0,2,9,0,0,0,0,0,0,16,2001
10176,20,5,5,23,8,17,10,25,15,29,2001
10177,0,3,0,0,0,0,0,0,0,0,2001
10178,0,0,0,19,0,0,0,0,0,0,2001
10179,27,9,28,31,3,26,6,17,0,18,2001
10180,0,8,18,0,0,0,0,0,0,0,2001
10181,0,0,0,0,0,0,0,0,0,0,2001
10182,0,0,0,0,0,0,0,0,0,0,2001
10183,17,0,19,0,0,0,0,0,0,0,2001
10184,0,18,0,11,0,0,17,14,14,0,2001
10185,21,21,21,21,21,21,21,21,21,21,2001
10186,0,0,0,0,0,0,0,0,0,0,2001
10187,27,0,0,0,0,0,0,0,18,18,2001
10188,0,0,35,0,0,0,0,0,0,0,2001
10189,0,0,0,0,0,0,0,0,0,0,2001
10190,0,17,0,18,0,0,0,15,0,0,2001
10191,0,0,0,0,0,0,0,0,0,0,2001
10192,17,14,0,0,18,0,11,7,0,20,2001
10193,0,0,0,0,0,0,0,0,0,0,2001
10194,0,0,0,0,0,0,0,0,0,15,2001
10195,0,0,0,0,0,0,12,0,0,0,2001
10196,18,0,0,0,0,0,0,30,13,0,2001
10197,0,0,0,16,0,0,0,0,0,0,2001
10198,22,2,23,21,18,14,0,25,15,36,2001
10199,0,10,0,5,0,0,0,0,0,0,2001
10200,23,20,10,10,24,26,18,18,45,32,2001
10201,10,7,12,14,23,11,8,11,12,10,2001
10202,0,0,0,0,0,0,0,0,0,0,2001
10203,0,0,0,2,0,0,0,0,7,0,2001
10204,19,0,10,0,0,0,8,0,0,0,2001
10205,0,0,0,0,0,0,0,0,16,0,2001
10206,19,19,19,19,19,19,19,19,19,19,2001
10207,0,20,0,0,0,0,11,0,0,0,2001
10208,0,0,0,0,0,0,12,11,0,0,2001
10209,0,0,0,0,0,0,0,0,0,0,2001
10210,0,0,13,0,0,6,0,0,0,0,2001
10211,9,0,9,0,0,0,10,25,0,0,2001
10212,13,23,29,21,30,14,23,35,13,12,2001
10213,0,0,0,0,0,0,0,0,0,0,2001
10214,0,0,0,17,0,0,0,0,0,0,2001
10215,0,0,0,18,0,0,0,5,0,5,2001
10216,32,15,31,11,11,45,15,17,13,5,2001
10217,20,0,17,34,0,5,28,0,9,12,2001
10218,0,19,17,0,6,20,0,14,0,27,2001
10219,34,19,9,3,23,38,0,26,17,17,2001
10220,0,0,0,0,0,0,0,0,0,0,2001
10221,0,0,0,0,0,0,0,0,0,0,2001
10222,25,25,25,25,25,25,25,25,25,25,2001
10223,0,11,0,9,0,18,28,0,28,0,2001
10224,0,0,0,0,0,0,0,0,0,0,2001
10225,27,27,27,27,27,27,27,27,27,27,2001
10226,0,0,0,0,0,0,0,0,0,0,2001
10227,0,0,0,0,0,0,0,0,0,0,2001
10228,0,0,0,0,0,0,42,0,0,0,2001
10229,0,13,24,0,16,9,11,33,22,12,2001
10230,0,0,0,0,22,0,0,0,0,0,2001
10231,31,18,21,0,21,18,9,18,27,18,2001
10232,0,0,0,0,0,0,0,0,0,0,2001
10233,0,17,0,21,27,40,14,13,10,12,2001
10234,0,23,0,0,0,0,0,0,0,0,2001
