YEAR,st_case,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2001,10001,1,1,0,23,22,11,9,21,13,28,27,29
2001,10002,1,1,22,17,16,0,0,0,0,13,0,0
2001,10003,1,1,16,0,31,0,0,28,0,0,16,0
2001,10004,1,1,16,12,0,27,14,8,0,0,10,0
2001,10004,2,1,0,0,0,0,0,0,0,0,0,0
2001,10005,1,1,0,0,0,0,0,0,0,0,0,0
2001,10006,0,1,0,0,0,0,0,0,0,0,0,0
2001,10006,1,1,0,0,0,0,0,0,0,0,0,0
2001,10007,1,1,0,0,0,0,22,0,4,0,0,0
2001,10007,2,1,0,0,0,0,0,0,0,0,0,0
2001,10008,1,1,0,0,0,0,0,0,0,0,0,0
2001,10008,2,1,0,0,0,0,0,0,0,0,0,0
2001,10009,1,1,0,0,0,0,0,0,0,0,0,0
2001,10009,2,1,0,0,0,0,0,0,0,0,0,0
2001,10010,1,1,0,0,0,0,0,0,0,9,0,0
2001,10010,2,1,0,0,0,0,0,0,0,0,0,0
2001,10011,1,1,0,0,0,0,0,0,0,0,0,0
2001,10012,1,1,0,0,0,36,0,0,0,0,0,0
2001,10013,1,1,18,19,21,15,25,17,0,0,0,23
2001,10014,1,1,17,10,11,17,0,24,0,22,20,0
2001,10015,1,1,11,0,22,3,11,6,4,7,8,0
2001,10016,1,1,24,20,28,21,8,12,19,15,31,32
2001,10017,1,1,0,0,0,0,0,0,0,0,0,0
2001,10018,1,1,10,5,14,31,16,0,22,13,16,0
2001,10019,1,1,37,25,17,13,9,12,0,19,16,17
2001,10019,2,1,0,0,0,16,0,0,0,0,0,0
2001,10020,1,1,13,19,0,7,27,21,0,22,7,0
2001,10021,1,1,0,0,0,0,0,0,0,0,0,0
2001,10021,2,1,0,0,0,0,0,0,0,0,0,0
2001,10022,1,1,4,4,4,4,4,4,4,4,4,4
2001,10023,1,1,17,0,0,0,0,0,0,0,0,0
2001,10023,2,1,0,0,0,0,0,0,0,17,0,0
2001,10023,3,1,0,0,0,0,0,0,25,0,0,0
2001,10024,1,1,0,27,13,0,0,0,14,0,0,0
2001,10024,2,1,5,7,12,12,13,11,14,13,0,11
2001,10025,1,1,0,0,0,0,0,0,0,0,0,0
2001,10026,1,1,19,0,0,0,0,0,0,0,0,9
2001,10027,1,1,41,8,28,26,12,12,31,10,9,23
2001,10028,1,1,0,17,15,0,0,0,0,21,0,0
2001,10029,1,1,0,0,0,0,0,0,0,0,0,0
2001,10029,2,1,0,0,0,0,0,0,0,0,0,0
2001,10030,1,1,0,0,0,0,14,0,0,0,0,0
2001,10030,2,1,0,0,0,0,0,0,0,0,0,0
2001,10031,1,1,0,0,0,0,0,0,0,0,0,0
2001,10031,2,1,0,0,13,0,0,0,0,0,0,0
2001,10032,1,1,8,0,0,4,0,16,0,0,11,0
2001,10033,0,1,0,4,0,0,15,0,11,8,0,0
2001,10033,1,1,12,6,8,5,13,6,0,0,12,0
2001,10034,1,1,0,0,0,0,0,0,0,0,0,0
2001,10034,2,1,0,0,0,0,0,0,0,0,0,0
2001,10035,1,1,0,0,0,0,0,0,0,0,0,0
2001,10035,2,1,0,0,0,0,0,0,0,0,0,0
2001,10036,1,1,13,0,0,0,0,0,0,0,0,0
2001,10037,1,1,0,0,13,0,0,0,22,0,0,0
2001,10038,1,1,17,0,18,25,21,0,18,21,0,0
2001,10039,1,1,0,0,27,0,0,0,0,0,23,0
2001,10040,1,1,0,0,0,0,0,0,0,0,0,0
2001,10040,2,1,0,0,0,0,0,0,0,0,0,0
2001,10041,1,1,14,10,0,14,13,21,0,7,23,15
2001,10042,1,1,17,3,14,16,0,26,21,19,0,24
2001,10043,1,1,0,0,0,0,0,8,20,0,11,0
2001,10043,2,1,0,0,0,0,0,0,0,0,0,0
2001,10044,1,1,20,11,0,0,21,0,0,0,0,0
2001,10044,2,1,0,0,0,0,0,0,0,0,0,0
2001,10045,1,1,0,0,0,0,0,0,0,0,0,0
2001,10046,1,1,0,0,0,0,28,0,0,21,0,0
2001,10046,2,1,14,0,0,0,0,0,0,0,0,0
2001,10046,3,1,21,0,0,0,9,0,0,0,0,0
2001,10047,1,1,0,0,0,0,0,0,0,0,0,0
2001,10047,2,1,0,0,0,0,0,0,0,0,0,0
2001,10048,1,1,0,0,0,0,0,0,0,0,0,0
2001,10048,2,1,0,0,0,0,0,0,0,0,0,0
2001,10049,1,1,0,13,0,0,0,0,20,8,0,17
2001,10049,2,1,0,0,0,0,0,0,0,0,0,0
2001,10050,1,1,23,16,12,14,21,7,5,22,6,9
2001,10051,1,1,0,0,0,0,0,0,0,0,0,8
2001,10051,2,1,0,0,0,0,0,0,0,0,0,0
2001,10052,1,1,0,0,0,0,0,0,0,0,0,0
2001,10053,0,1,0,0,0,0,0,0,0,0,0,0
2001,10053,1,1,0,0,0,0,0,0,0,0,0,0
2001,10054,1,1,0,0,0,0,0,0,0,0,0,0
2001,10055,1,1,0,0,0,0,0,0,21,11,0,0
2001,10056,1,1,0,38,14,4,27,29,16,19,14,18
2001,10057,1,1,0,0,31,26,0,0,0,0,0,0
2001,10057,2,1,0,0,0,0,0,0,0,0,0,0
2001,10058,1,1,22,21,0,0,0,0,26,0,0,0
2001,10059,1,1,6,10,0,19,12,14,0,0,15,10
2001,10059,2,1,0,0,0,0,0,0,0,0,0,0
2001,10060,0,1,0,0,0,0,0,0,0,0,0,0
2001,10060,1,1,0,0,0,0,0,0,0,0,0,0
2001,10061,1,1,0,0,0,0,0,16,0,0,0,0
2001,10062,1,1,0,0,0,0,0,0,0,0,0,0
2001,10062,2,1,0,0,0,0,0,0,0,0,0,0
2001,10062,3,1,0,0,0,23,0,0,0,0,0,0
2001,10063,0,1,0,0,0,0,0,0,0,0,0,10
2001,10063,1,1,0,0,0,0,0,0,0,0,0,0
2001,10064,1,1,0,0,0,0,0,0,0,0,0,0
2001,10064,2,1,0,0,0,0,0,0,0,0,0,0
2001,10065,1,1,0,0,0,0,17,0,0,0,0,0
2001,10066,1,1,12,18,14,0,13,4,25,0,18,15
2001,10066,2,1,2,0,0,0,0,0,0,0,0,0
2001,10067,1,1,0,0,14,20,0,11,24,0,35,17
2001,10068,1,1,0,0,0,0,0,0,0,0,0,0
2001,10069,1,1,0,0,0,0,10,0,0,0,0,0
2001,10069,2,1,0,0,0,0,15,0,0,0,0,0
2001,10070,1,1,25,26,10,23,14,17,0,28,14,22
2001,10071,1,1,0,17,0,12,15,0,23,2,0,9
2001,10071,2,1,0,0,0,0,0,0,0,0,0,0
2001,10072,1,1,15,22,0,4,19,0,11,11,0,25
2001,10073,1,1,0,8,0,0,0,0,0,0,16,0
2001,10074,1,1,17,0,5,33,0,0,0,0,0,0
2001,10075,1,1,0,0,0,0,0,0,0,0,0,0
2001,10075,2,1,0,0,0,0,0,0,0,0,0,0
