ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10001,0,0,0,0,0,0,0,0,0,0,2002
10002,0,0,0,0,0,0,0,0,0,0,2002
10003,12,0,28,0,0,24,0,0,8,14,2002
10004,20,0,23,0,18,3,0,0,0,9,2002
10005,21,40,10,18,14,22,18,28,0,29,2002
10006,0,9,0,0,0,0,0,0,0,0,2002
10007,0,8,0,0,10,0,0,0,0,0,2002
10008,0,0,0,0,0,0,0,0,0,0,2002
10009,7,9,21,29,22,14,29,24,14,14,2002
10010,0,0,0,0,0,0,0,0,0,0,2002
10011,0,0,0,0,0,0,0,0,0,0,2002
10012,16,28,12,9,15,27,12,2,4,10,2002
10013,21,15,9,24,11,24,23,25,23,27,2002
10014,0,0,0,0,0,0,0,0,0,0,2002
10015,30,27,22,26,16,11,11,20,13,15,2002
10016,0,0,0,0,0,0,0,0,0,0,2002
10017,10,17,12,19,13,12,26,8,20,11,2002
10019,0,0,0,0,0,0,0,28,0,0,2002
10020,15,15,15,15,15,15,15,15,15,15,2002
10021,0,0,0,0,0,0,0,0,0,0,2002
10022,0,0,0,0,0,0,0,0,0,0,2002
10023,0,0,0,0,0,18,22,0,18,0,2002
10024,0,0,34,11,0,0,2,0,22,9,2002
10025,0,0,0,0,0,0,0,0,0,0,2002
10026,0,0,0,0,11,0,0,0,0,0,2002
10027,8,0,19,18,8,17,16,10,11,8,2002
10028,25,0,0,13,0,30,23,25,15,22,2002
10029,0,0,0,0,0,0,0,14,0,0,2002
10030,0,21,0,0,0,0,0,0,0,0,2002
10031,0,0,0,0,0,0,0,0,0,0,2002
10032,0,0,0,0,0,0,0,0,0,0,2002
10033,0,0,0,0,0,0,0,0,0,0,2002
10034,17,12,0,0,14,23,19,12,16,12,2002
10035,0,0,0,26,22,0,0,14,0,0,2002
10036,14,14,12,13,20,21,18,10,0,18,2002
10037,18,18,18,18,18,18,18,18,18,18,2002
10038,18,18,18,18,18,18,18,18,18,18,2002
10039,0,0,0,0,0,0,0,4,0,0,2002
10040,12,20,0,12,11,9,13,0,17,3,2002
10041,0,0,0,0,0,0,0,0,0,0,2002
10042,23,0,15,9,10,7,14,19,0,14,2002
10043,0,6,0,0,0,0,0,0,0,0,2002
10044,9,0,0,0,0,0,0,0,0,0,2002
10045,0,0,0,0,0,0,0,0,0,0,2002
10046,0,0,0,0,0,6,0,0,0,10,2002
10047,0,0,0,0,0,0,0,0,0,0,2002
10048,10,10,10,10,10,10,10,10,10,10,2002
10049,0,0,0,0,0,0,0,0,0,0,2002
10050,16,16,16,16,16,16,16,16,16,16,2002
10051,2,2,2,2,2,2,2,2,2,2,2002
10052,0,0,0,0,0,0,0,0,0,0,2002
10053,0,0,0,0,8,0,0,0,19,0,2002
10054,0,0,18,0,0,0,19,0,12,8,2002
10055,22,22,22,22,22,22,22,22,22,22,2002
10056,0,0,0,0,0,0,0,0,0,0,2002
10057,20,0,0,0,39,0,13,0,12,0,2002
10058,0,0,0,0,0,0,0,0,0,0,2002
10059,0,0,0,0,0,0,0,0,0,0,2002
10060,14,14,14,14,14,14,14,14,14,14,2002
10061,26,26,26,26,26,26,26,26,26,26,2002
10062,0,0,0,0,0,0,0,0,0,0,2002
10063,0,0,0,9,0,0,0,0,0,0,2002
10064,0,0,0,0,0,0,0,0,0,0,2002
10065,0,0,0,0,0,0,0,0,0,14,2002
10066,5,5,5,5,5,5,5,5,5,5,2002
10067,40,40,40,40,40,40,40,40,40,40,2002
10068,0,0,0,0,0,0,0,0,0,0,2002
10069,0,0,0,0,0,0,0,0,0,0,2002
10070,0,0,0,0,0,0,0,0,0,0,2002
10071,0,0,0,0,0,0,0,0,0,0,2002
10072,20,20,20,20,20,20,20,20,20,20,2002
10073,0,0,0,0,0,0,0,0,0,0,2002
10074,32,32,32,32,32,32,32,32,32,32,2002
10075,17,17,17,17,17,17,17,17,17,17,2002
10076,0,0,0,0,0,0,9,0,0,0,2002
10077,0,0,0,0,0,0,0,0,0,0,2002
10078,20,0,0,19,0,0,0,11,0,0,2002
10079,28,4,0,22,18,18,0,12,16,19,2002
10080,0,0,0,0,0,0,0,0,0,0,2002
10081,27,27,27,27,27,27,27,27,27,27,2002
10082,3,0,0,0,0,0,0,33,0,0,2002
10083,9,10,15,26,13,16,8,5,11,25,2002
10084,21,4,9,18,10,25,5,44,26,21,2002
10085,6,6,6,6,6,6,6,6,6,6,2002
10086,18,18,18,18,18,18,18,18,18,18,2002
10087,0,0,0,0,18,0,0,0,0,0,2002
10088,0,0,0,0,0,0,0,0,0,0,2002
10089,32,32,32,32,32,32,32,32,32,32,2002
10090,24,19,14,6,12,23,25,12,31,20,2002
10091,0,0,0,0,0,13,0,0,0,0,2002
10092,0,0,0,0,0,0,0,0,0,0,2002
10093,0,0,0,0,0,0,0,0,21,0,2002
10094,2,2,2,2,2,2,2,2,2,2,2002
10095,0,18,0,0,0,0,0,0,28,0,2002
10096,10,0,0,0,0,0,0,14,0,18,2002
10097,0,18,0,0,0,0,0,0,0,0,2002
10098,21,33,14,17,0,20,0,0,17,0,2002
10099,10,37,9,19,7,8,10,4,17,2,2002
10100,0,0,0,0,0,0,0,0,0,0,2002
10101,0,18,0,11,12,0,0,12,0,0,2002
10102,21,21,21,21,21,21,21,21,21,21,2002
10103,10,0,0,0,0,14,0,8,0,0,2002
10104,14,14,14,14,14,14,14,14,14,14,2002
10105,0,0,0,0,0,0,0,0,0,0,2002
10106,0,0,0,0,0,0,0,0,0,0,2002
10107,0,0,0,0,0,0,0,0,0,0,2002
10108,11,11,11,11,11,11,11,11,11,11,2002
10109,0,0,34,0,0,0,0,0,0,14,2002
10110,15,13,29,28,17,12,15,0,0,18,2002
10111,12,12,12,12,12,12,12,12,12,12,2002
10112,16,16,16,16,16,16,16,16,16,16,2002
10113,0,0,0,0,0,0,0,0,0,0,2002
10114,0,0,10,0,0,0,0,0,0,0,2002
10115,0,0,0,27,0,0,0,0,0,0,2002
10116,0,0,0,0,0,0,0,0,0,0,2002
10117,0,0,0,0,0,0,0,0,0,0,2002
10118,0,0,34,0,0,14,0,0,0,14,2002
10119,0,0,0,0,0,8,0,0,0,0,2002
10120,16,26,31,0,19,21,26,32,13,9,2002
10121,16,16,16,16,16,16,16,16,16,16,2002
10122,0,30,0,14,0,0,0,0,11,0,2002
10123,0,0,0,0,0,0,0,0,0,0,2002
10124,0,0,0,0,0,0,0,0,0,0,2002
10125,0,0,0,0,23,0,0,0,15,16,2002
10126,0,0,0,0,0,0,0,0,0,0,2002
10127,0,0,0,0,0,0,0,0,0,0,2002
10128,18,18,18,18,18,18,18,22,18,18,2002
10129,25,25,25,25,25,25,25,25,25,25,2002
10130,0,0,0,0,24,0,15,34,19,0,2002
10131,0,0,0,0,0,0,0,0,0,0,2002
10132,21,35,6,16,12,15,11,0,0,10,2002
10133,28,7,12,10,13,22,7,14,15,26,2002
10134,6,0,0,0,0,0,0,0,0,0,2002
10135,19,19,19,19,19,19,19,19,19,19,2002
10136,21,21,21,21,21,21,21,21,21,21,2002
10137,3,3,3,26,3,3,3,3,3,3,2002
10138,0,0,0,0,0,19,0,0,0,0,2002
10139,0,0,0,0,0,0,0,0,0,0,2002
10140,17,17,12,12,16,13,7,8,8,10,2002
10141,0,0,0,0,0,0,0,0,0,0,2002
10142,0,0,0,0,0,0,0,0,0,0,2002
10143,0,13,0,0,0,0,0,18,0,0,2002
10144,0,0,0,0,0,0,0,0,0,0,2002
10145,28,0,0,0,0,0,0,0,0,0,2002
10146,23,31,12,31,6,22,13,21,18,8,2002
10147,26,6,9,3,9,23,25,0,17,35,2002
10148,0,0,0,0,0,0,0,0,0,0,2002
10149,0,0,0,0,0,0,0,0,0,0,2002
10150,0,0,0,0,0,0,0,0,0,0,2002
10151,0,0,0,0,0,0,0,0,0,0,2002
10152,0,0,0,0,0,0,0,0,0,0,2002
10154,0,0,0,0,0,0,0,0,0,0,2002
10155,0,0,0,0,0,0,0,0,0,0,2002
10156,0,0,0,0,0,0,0,0,0,0,2002
10157,0,0,0,0,0,0,0,0,0,0,2002
10158,0,0,0,0,0,0,0,0,0,0,2002
10159,22,22,22,22,22,22,22,22,22,22,2002
10160,19,18,18,11,13,19,15,12,28,28,2002
10161,0,0,7,0,0,0,22,0,0,0,2002
10162,0,0,0,0,0,0,0,0,0,0,2002
10163,11,11,11,11,11,11,11,11,11,11,2002
10164,0,27,0,16,0,0,0,8,0,17,2002
10165,20,20,20,20,20,20,20,20,20,20,2002
10166,0,0,0,0,0,0,0,0,0,0,2002
10167,15,15,15,15,15,15,15,15,15,15,2002
10168,19,19,19,19,19,19,19,19,19,19,2002
10169,0,0,0,0,0,0,0,0,0,13,2002
10170,0,0,0,0,0,0,0,0,0,0,2002
10171,0,0,0,0,0,0,0,0,0,0,2002
10172,0,0,0,8,20,0,0,40,0,0,2002
10173,0,0,0,0,0,0,0,0,0,0,2002
10174,0,0,0,0,0,0,0,0,0,0,2002
10175,19,14,21,23,22,12,15,17,27,26,2002
10176,31,37,0,0,8,12,16,0,24,22,2002
10177,0,0,0,0,0,0,0,0,0,0,2002
10178,6,0,0,28,32,20,7,0,12,9,2002
10179,0,0,0,0,23,0,0,0,0,0,2002
10180,0,0,0,0,0,0,0,0,0,0,2002
10181,30,15,13,23,24,8,8,8,17,21,2002
10182,12,3,0,16,10,3,15,22,13,0,2002
10183,0,0,0,0,0,0,0,0,0,0,2002
10184,17,27,9,12,0,13,0,29,40,12,2002
10185,0,0,0,0,0,0,0,0,0,0,2002
10186,5,5,5,5,5,5,5,5,5,5,2002
10187,0,0,0,0,0,0,0,0,0,0,2002
10188,0,0,0,0,0,0,0,0,0,0,2002
10189,0,0,0,0,0,0,0,0,0,0,2002
10190,15,22,15,5,42,18,26,16,15,22,2002
10191,0,12,0,29,21,0,9,14,16,6,2002
10192,0,0,0,0,0,0,0,0,9,0,2002
10193,12,16,33,8,14,9,23,23,13,17,2002
10194,0,0,0,0,0,0,0,0,0,0,2002
10195,0,0,0,0,0,0,0,0,0,0,2002
10196,23,31,24,45,29,13,27,25,29,20,2002
