YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,1,10001,1,2,6,1,1,1,2,4,1,3,1990,2,2
2003,1,10002,3,2,6,1,1,1,2,4,2,3,1980,2,2
2003,1,10003,1,2,2,2,2,2,2,4,1,3,1989,2,2
2003,1,10004,1,2,6,1,2,2,2,4,1,3,1990,2,2
2003,1,10005,1,2,2,2,1,1,2,4,2,3,1997,2,2
2003,2,10005,3,2,2,2,1,1,2,4,2,3,1997,2,2
2003,1,10006,1,6,6,1,1,1,2,4,1,3,1974,2,2
2003,1,10007,1,3,3,2,2,2,2,4,1,3,1989,2,2
2003,2,10007,2,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10008,2,2,6,2,1,1,2,4,1,3,2000,2,2
2003,1,10009,4,4,4,1,1,1,2,4,1,3,1994,2,1
2003,2,10009,6,4,4,2,1,1,1,4,2,3,2001,2,2
2003,1,10010,2,2,2,1,1,1,1,4,1,3,1996,2,2
2003,1,10011,1,2,6,1,2,2,2,4,2,3,1979,2,1
2003,1,10012,1,4,5,2,1,1,2,4,1,3,1993,2,2
2003,1,10013,2,2,2,2,1,1,2,4,1,3,1991,2,2
2003,2,10013,2,2,2,2,1,1,2,4,2,3,1991,2,2
2003,1,10014,6,4,4,2,3,3,3,4,2,3,1992,2,2
2003,2,10014,3,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10015,1,2,6,1,1,1,2,4,1,3,1995,2,2
2003,1,10016,1,2,2,2,1,1,2,4,2,3,1992,2,2
2003,1,10017,3,6,6,1,1,1,2,4,1,3,1999,2,2
2003,1,10018,2,1,1,1,1,1,2,4,1,3,2002,2,2
2003,1,10019,2,5,5,2,1,1,2,4,2,3,1993,2,2
2003,2,10019,6,2,2,1,1,1,1,4,2,3,2000,2,2
2003,1,10020,2,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10021,1,5,5,2,1,1,2,4,2,3,1998,2,2
2003,2,10021,2,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10022,2,2,6,1,1,1,1,4,1,3,1986,2,2
2003,1,10023,2,2,2,2,1,1,2,4,2,3,2003,2,2
2003,2,10023,1,5,5,2,1,1,2,4,2,3,1994,2,2
2003,1,10024,6,2,2,2,1,1,1,4,1,3,2000,2,2
2003,2,10024,6,3,3,1,1,1,1,4,2,3,2003,2,2
2003,1,10025,3,5,5,2,1,1,2,4,1,3,1996,2,2
2003,2,10025,6,2,2,2,1,1,1,4,2,3,2002,2,2
2003,1,10026,1,1,1,1,2,2,2,4,1,3,2002,2,2
2003,1,10027,1,4,4,2,2,2,2,4,2,3,2000,2,2
2003,2,10027,6,2,2,2,1,1,1,4,1,3,2000,2,2
2003,3,10027,6,2,2,1,1,1,1,4,1,3,1997,2,2
2003,4,10027,6,2,2,2,3,3,3,4,1,3,2003,2,2
2003,5,10027,4,4,4,2,1,1,2,4,2,3,2001,2,2
2003,6,10027,6,2,2,2,1,1,1,4,1,3,1997,2,2
2003,7,10027,6,4,4,2,1,1,1,4,2,3,2003,2,2
2003,1,10028,3,2,2,2,1,1,2,4,1,3,1998,2,2
2003,1,10029,3,2,2,2,1,1,1,4,1,3,1996,2,2
2003,1,10030,1,5,5,2,1,1,2,4,2,3,2001,2,2
2003,2,10030,5,2,2,2,1,1,1,4,1,3,1993,2,2
2003,1,10031,3,3,3,2,1,1,2,4,2,3,1994,1,2
2003,2,10031,6,2,2,2,1,2,1,4,2,3,2002,2,2
2003,1,10032,1,2,2,2,1,1,2,4,1,3,1994,2,2
2003,2,10032,6,4,4,2,1,1,1,4,2,3,1997,2,2
2003,1,10033,3,5,3,1,1,1,2,4,1,3,1998,2,2
2003,1,10034,1,2,6,1,1,1,2,4,2,3,2002,2,2
2003,1,10035,1,3,3,2,1,1,2,4,2,3,1989,2,2
2003,2,10035,6,2,2,2,1,1,1,4,2,3,1999,2,2
2003,1,10036,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,2,10036,6,4,4,2,3,3,3,4,2,3,1982,2,2
2003,1,10037,1,5,5,2,1,1,2,4,2,3,1999,2,2
2003,2,10037,3,2,2,1,1,1,2,4,2,3,1999,2,2
2003,1,10038,1,2,2,2,1,1,2,4,2,3,1990,2,2
2003,1,10039,1,2,2,2,1,1,2,4,2,3,1987,2,2
2003,1,10040,1,2,2,2,1,1,2,4,1,3,1988,2,2
2003,1,10041,6,2,2,2,1,1,1,4,2,3,1999,2,1
2003,1,10042,1,3,3,2,1,1,1,4,2,3,1976,2,2
2003,2,10042,4,2,2,2,1,1,2,4,2,3,1995,2,2
2003,1,10043,1,2,2,2,2,2,2,4,2,3,1991,2,2
2003,2,10043,2,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10044,1,1,1,1,1,1,2,4,2,3,1984,2,2
2003,1,10045,1,1,1,1,2,2,2,4,2,3,1998,2,2
2003,1,10046,1,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10047,2,4,4,2,3,3,3,4,2,3,1986,2,2
2003,2,10047,1,2,2,2,1,1,2,4,2,3,1992,2,2
2003,1,10048,1,5,5,2,1,1,2,4,2,3,2002,2,2
2003,2,10048,1,2,2,2,1,1,2,4,2,3,1992,2,2
2003,1,10049,1,5,5,2,1,1,2,4,2,3,1995,2,2
2003,2,10049,4,2,2,2,1,1,2,4,2,3,1996,2,2
2003,1,10050,2,2,2,1,1,1,2,4,2,3,2000,2,2
2003,1,10051,1,5,5,2,1,1,2,4,2,3,1994,2,2
2003,2,10051,4,2,2,2,2,2,2,4,2,3,1996,2,2
2003,1,10052,3,2,2,1,1,1,2,4,2,3,1995,2,2
2003,1,10053,7,2,2,2,4,1,2,1,2,3,2002,2,2
2003,2,10053,1,4,4,2,1,1,2,4,2,3,2002,2,2
2003,1,10054,2,1,1,1,1,1,2,4,1,3,1989,2,2
2003,1,10055,6,2,2,2,1,1,1,4,2,3,2001,2,2
2003,1,10056,1,2,2,1,1,1,2,4,1,3,2002,2,2
2003,1,10057,1,2,2,2,2,2,2,4,1,3,2000,2,2
2003,1,10058,1,2,2,2,1,1,2,4,2,3,1997,1,2
2003,1,10059,1,4,4,1,1,1,2,4,2,3,1995,2,2
2003,1,10060,2,2,2,2,1,1,2,4,2,3,2001,2,2
2003,1,10061,6,2,2,2,1,1,1,4,2,3,1998,1,2
2003,2,10061,4,4,2,2,1,1,2,4,2,3,1990,2,2
2003,3,10061,6,5,5,2,1,1,1,4,2,3,1997,2,2
2003,1,10062,1,2,2,2,1,1,2,4,1,3,1992,2,2
2003,1,10063,1,2,2,1,1,1,2,4,1,3,1997,2,2
2003,2,10063,1,2,2,2,1,1,2,4,2,3,2003,2,2
2003,1,10064,1,5,5,2,2,2,2,4,2,3,1990,2,2
2003,1,10065,2,5,5,2,1,1,2,4,1,3,1986,2,2
2003,1,10066,3,2,2,2,1,1,2,4,1,3,1996,2,2
2003,2,10066,1,2,2,2,1,1,2,4,2,3,1985,2,2
2003,1,10067,1,2,2,2,1,1,2,4,2,3,1993,2,2
2003,1,10068,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,2,10068,6,5,5,2,1,1,1,4,2,3,2002,2,2
2003,3,10068,6,2,2,2,1,1,1,4,2,3,1998,2,2
2003,1,10069,6,3,2,2,1,1,1,4,2,3,1995,2,2
2003,2,10069,1,5,3,2,1,1,2,4,1,3,1995,2,2
2003,3,10069,1,2,2,2,1,1,2,4,2,3,1996,2,2
2003,1,10070,1,2,2,2,1,1,2,4,1,3,1999,2,2
2003,1,10071,1,3,3,2,2,2,2,4,1,3,1990,2,2
2003,1,10072,1,1,1,1,1,1,2,4,1,3,2002,2,2
2003,1,10073,1,2,2,2,1,1,2,4,2,3,1989,2,2
2003,2,10073,2,2,2,1,1,1,2,4,2,3,2000,2,2
2003,1,10074,1,1,1,1,1,1,2,4,1,3,1996,2,2
2003,1,10075,2,1,1,1,1,1,2,4,2,3,1996,2,2
2003,1,10076,1,2,2,2,1,1,2,4,1,3,1999,2,2
2003,2,10076,3,2,2,2,1,1,2,4,2,3,2002,2,2
