YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2004,10001,1,1,0,0,0,0,0,0,0,0,0,0
2004,10001,2,1,0,0,0,0,0,0,0,0,0,0
2004,10002,1,1,16,15,20,32,22,17,12,21,18,44
2004,10003,1,1,0,11,0,0,6,0,0,0,0,10
2004,10004,0,1,0,14,0,0,0,0,0,16,8,0
2004,10004,1,1,0,0,0,0,0,0,0,0,0,0
2004,10005,1,1,0,0,0,0,0,0,0,0,0,0
2004,10006,1,1,19,20,23,19,22,23,30,22,7,30
2004,10006,2,1,0,0,0,0,0,0,0,0,0,0
2004,10007,1,1,0,0,14,0,0,0,0,0,0,0
2004,10008,0,1,0,0,0,0,0,0,0,0,0,0
2004,10008,1,1,0,0,0,0,0,0,0,0,0,0
2004,10008,2,1,16,0,17,17,0,13,0,0,0,17
2004,10009,1,1,0,0,0,0,0,0,0,0,0,0
2004,10009,2,1,0,0,0,0,0,0,22,8,0,0
2004,10010,1,1,16,15,20,5,22,6,17,20,16,10
2004,10011,1,1,17,6,27,11,15,22,16,19,25,13
2004,10012,1,1,0,0,0,0,4,0,0,0,0,0
2004,10012,2,1,10,27,27,18,21,11,17,29,16,4
2004,10013,1,1,0,0,0,0,0,0,0,0,0,0
2004,10013,2,1,0,0,0,0,0,0,0,0,0,0
2004,10014,1,1,22,9,24,0,14,17,18,8,0,15
2004,10015,1,1,0,0,0,0,0,0,0,0,0,0
2004,10016,1,1,0,0,0,0,0,21,0,0,0,0
2004,10016,2,1,0,0,0,0,0,0,0,0,0,0
2004,10017,1,1,0,10,11,28,10,15,18,0,0,14
2004,10018,1,1,10,10,0,0,0,22,0,0,0,0
2004,10019,1,1,22,0,15,0,0,0,0,0,8,0
2004,10020,1,1,10,15,0,0,25,0,0,0,0,0
2004,10021,1,1,0,14,14,14,0,8,15,21,0,0
2004,10022,1,1,0,0,11,0,0,0,0,23,20,0
2004,10023,1,1,0,0,0,0,0,0,0,0,0,0
2004,10023,2,1,0,0,0,0,8,0,0,0,11,0
2004,10024,1,1,25,34,18,32,22,29,18,12,28,19
2004,10025,1,1,0,0,0,0,0,0,0,0,0,0
2004,10025,2,1,0,0,0,0,0,0,0,0,0,0
2004,10026,1,1,0,0,13,0,0,0,0,0,0,0
2004,10026,2,1,0,0,0,0,0,0,0,0,0,0
2004,10027,1,1,0,0,0,0,0,0,0,0,0,0
2004,10028,1,1,27,21,0,0,0,0,0,0,0,17
2004,10029,1,1,0,0,16,0,0,0,0,20,0,9
2004,10029,2,1,0,0,27,10,0,0,17,0,14,0
2004,10030,1,1,24,6,12,8,0,9,4,0,18,23
2004,10031,1,1,0,0,0,0,0,0,0,0,0,0
2004,10031,2,1,13,0,0,0,0,0,0,0,0,0
2004,10033,1,1,0,10,0,0,0,0,0,0,0,0
2004,10033,2,1,0,0,0,0,0,0,0,0,0,0
2004,10034,1,1,0,0,0,0,0,0,0,0,0,0
2004,10035,1,1,0,0,0,0,0,0,0,0,0,0
2004,10035,2,1,0,0,0,0,0,0,0,0,0,0
2004,10035,3,1,0,0,0,0,0,0,0,0,0,0
2004,10036,1,1,0,0,0,0,0,0,0,0,0,0
2004,10036,2,1,0,13,17,0,0,0,0,0,28,17
2004,10037,1,1,35,10,35,15,14,21,12,10,10,0
2004,10038,0,1,22,33,0,17,41,0,19,43,28,11
2004,10038,1,1,0,0,0,0,0,0,0,0,0,0
2004,10038,2,1,0,0,0,0,0,0,0,0,0,0
2004,10039,1,1,10,47,6,17,22,15,11,27,19,25
2004,10040,1,1,0,0,0,0,0,15,0,0,0,12
2004,10041,1,1,0,8,25,14,23,30,20,31,11,9
2004,10042,1,1,17,15,16,19,0,13,29,14,24,20
2004,10043,1,1,10,0,37,27,0,0,0,0,0,0
2004,10044,1,1,0,0,0,0,0,0,0,7,2,0
2004,10045,1,1,0,0,0,0,0,0,0,0,0,9
