VEH_NO,PER_NO,ST_CASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
1,1,10001,13,13,13,13,13,13,13,13,13,13
1,1,10002,0,0,0,0,0,0,0,0,0,0
1,1,10003,27,27,27,27,27,27,27,27,27,27
2,1,10003,0,0,0,0,0,0,0,0,0,0
1,1,10004,0,0,0,0,0,0,0,0,0,0
2,1,10004,0,0,0,0,0,0,0,0,0,0
1,1,10005,10,10,10,10,10,10,10,10,10,10
2,1,10005,22,22,22,22,22,22,22,22,22,22
1,1,10006,0,0,0,0,0,0,0,0,0,0
2,1,10006,0,0,0,0,0,0,0,0,0,0
3,1,10006,0,0,0,0,0,0,0,0,0,0
1,1,10007,0,0,0,0,0,0,0,0,0,0
2,1,10007,0,0,0,0,0,0,0,0,0,0
1,1,10008,0,0,0,0,0,0,0,0,0,0
1,1,10009,0,0,0,0,0,0,0,0,0,0
2,1,10009,0,0,0,0,0,0,0,0,0,0
3,1,10009,0,0,0,0,0,0,0,0,0,0
4,1,10009,0,0,0,0,0,0,0,0,0,0
1,1,10010,27,27,27,27,27,27,27,27,27,27
1,1,10011,14,15,31,0,20,17,11,12,17,28
1,1,10012,37,37,37,37,37,37,37,37,37,37
0,1,10013,0,0,0,0,0,0,0,0,0,0
1,1,10013,21,0,0,0,0,0,0,0,0,0
2,1,10013,0,30,0,0,22,3,0,0,0,0
1,1,10014,17,17,17,17,17,17,17,17,17,17
1,1,10015,27,27,27,27,27,27,27,27,27,27
1,1,10016,0,23,0,0,0,0,0,0,0,0
0,1,10017,0,0,0,0,37,0,0,17,0,0
1,1,10017,0,0,0,0,0,0,0,0,0,0
0,1,10018,0,0,0,0,0,0,0,0,0,0
1,1,10018,0,0,0,0,0,0,0,0,0,0
1,1,10019,0,10,0,0,0,0,0,0,0,20
1,1,10020,0,0,0,0,0,0,0,0,0,0
2,1,10020,0,0,0,0,0,0,0,0,0,0
1,1,10021,24,24,24,24,24,24,24,24,24,24
1,1,10022,0,0,0,0,0,0,0,0,0,0
2,1,10022,0,0,0,0,13,0,0,0,0,0
3,1,10022,0,0,0,0,0,0,0,0,0,0
4,1,10022,0,0,0,0,0,0,0,0,0,0
5,1,10022,0,0,0,0,0,0,0,0,0,0
1,1,10023,0,0,0,0,0,0,0,0,0,0
2,1,10023,0,0,0,0,0,0,0,0,0,0
1,1,10024,0,0,0,0,0,0,0,0,0,0
1,1,10025,11,11,11,11,11,11,11,11,11,11
2,1,10025,0,0,0,0,0,0,11,0,0,0
1,1,10026,18,18,18,18,18,18,18,18,18,18
0,1,10027,0,0,30,0,35,0,36,20,15,16
1,1,10027,0,0,0,0,0,0,0,0,0,0
1,1,10028,10,22,7,22,9,2,13,0,0,12
2,1,10028,0,0,0,0,0,0,0,0,0,0
1,1,10029,0,0,0,0,0,0,0,0,0,0
2,1,10029,0,0,0,0,0,0,0,0,7,0
1,1,10030,0,0,0,0,0,0,0,0,0,0
1,1,10031,0,0,0,0,0,0,0,0,0,0
2,1,10031,25,0,26,0,0,0,0,0,0,0
1,1,10032,54,22,11,21,13,29,20,15,17,28
1,1,10033,26,26,26,26,26,26,26,26,26,26
1,1,10034,18,18,18,18,18,18,18,18,18,18
1,1,10035,0,0,0,0,0,0,0,10,25,10
1,1,10036,10,0,0,8,22,0,0,12,0,19
2,1,10036,0,0,0,0,0,0,0,0,0,0
1,1,10037,0,0,0,0,0,0,11,0,0,0
2,1,10037,0,0,0,0,0,0,0,0,0,0
1,1,10038,0,0,0,0,0,0,0,0,0,0
2,1,10038,0,0,0,0,0,0,0,0,0,0
1,1,10039,0,0,0,0,0,0,0,0,0,0
2,1,10039,0,0,0,0,0,0,0,0,0,0
1,1,10040,0,0,0,12,0,0,2,0,12,0
2,1,10040,0,0,0,0,0,0,0,0,0,0
0,1,10041,26,0,35,8,36,24,36,0,25,46
1,1,10041,0,12,0,0,6,0,26,0,0,0
1,1,10042,0,0,0,0,0,0,0,0,0,0
2,1,10042,0,0,0,0,0,0,11,0,0,0
1,1,10043,0,0,0,0,0,0,0,0,0,0
1,1,10044,0,0,0,0,0,9,0,0,0,5
2,1,10044,0,0,0,0,0,0,0,14,0,0
1,1,10045,0,0,0,0,0,0,0,0,0,0
1,1,10046,0,0,0,0,0,0,0,0,0,0
1,1,10047,0,0,0,0,0,0,0,0,0,7
1,1,10048,0,0,0,0,0,0,0,0,0,0
1,1,10049,0,0,0,0,0,0,0,0,0,0
2,1,10049,0,0,0,0,0,0,0,0,0,0
1,1,10050,0,0,0,0,0,0,0,0,0,0
1,1,10051,0,0,0,0,0,0,0,0,0,0
2,1,10051,0,0,0,0,0,12,0,10,0,0
1,1,10052,9,16,0,0,25,0,0,0,16,0
1,1,10053,0,0,0,0,0,0,0,0,0,0
1,1,10054,11,0,13,0,0,0,10,20,18,11
1,1,10055,0,0,0,22,0,23,3,12,0,11
2,1,10055,0,0,0,0,0,0,0,0,0,0
1,1,10056,35,35,35,35,35,35,35,35,35,35
1,1,10057,0,0,0,0,0,0,0,0,0,0
2,1,10057,0,0,0,0,0,0,0,0,0,0
1,1,10058,0,0,5,0,2,0,0,0,7,12
2,1,10058,0,0,0,0,0,0,0,0,0,0
3,1,10058,0,0,0,0,0,0,0,0,0,10
1,1,10059,7,7,7,7,7,7,7,7,7,7
1,1,10060,0,0,0,0,0,0,7,0,0,0
2,1,10060,0,0,0,0,0,0,0,0,0,0
1,1,10061,0,0,0,10,0,16,22,0,0,0
0,1,10062,1,0,13,21,16,0,0,13,0,38
1,1,10062,0,0,0,0,0,0,27,11,0,0
1,1,10063,0,0,0,0,0,0,0,0,0,0
2,1,10063,0,0,0,0,0,0,0,0,0,0
1,1,10064,24,24,24,24,24,24,24,24,24,24
1,1,10065,19,24,9,19,21,15,29,17,20,6
1,1,10066,0,0,0,0,0,0,0,0,0,0
1,1,10067,0,0,0,0,0,0,0,0,0,0
1,1,10068,0,0,0,0,0,0,0,0,0,0
0,1,10069,0,20,0,15,26,12,26,34,23,0
1,1,10069,0,0,0,0,0,0,0,0,0,0
1,1,10070,0,0,14,0,0,0,0,0,0,0
1,1,10071,0,0,0,0,0,0,0,10,0,0
2,1,10071,0,0,0,0,0,0,0,0,0,0
1,1,10072,35,23,16,11,20,14,18,6,14,21
2,1,10072,8,0,0,0,0,0,0,0,0,0
1,1,10073,0,0,0,0,0,0,0,0,0,0
2,1,10073,0,0,0,0,0,0,0,0,0,0
1,1,10074,0,0,0,0,0,0,0,0,0,0
2,1,10074,0,0,0,0,0,0,0,0,0,0
1,1,10075,0,0,0,0,0,0,0,0,0,0
1,1,10076,3,3,3,3,3,3,3,3,3,3
2,1,10076,0,0,0,0,0,0,0,0,0,0
1,1,10077,20,20,20,20,20,20,20,20,20,20
1,1,10078,0,0,0,0,0,0,0,0,0,0
2,1,10078,0,0,0,0,0,0,0,0,0,0
1,1,10079,0,0,0,0,0,0,0,0,0,0
1,1,10080,0,0,0,0,0,0,0,0,0,0
2,1,10080,0,0,0,0,0,0,0,0,0,0
1,1,10081,16,16,16,16,16,16,16,16,16,16
1,1,10082,24,0,13,28,33,11,21,13,13,22
1,1,10083,0,0,0,0,0,0,0,0,0,0
2,1,10083,11,0,0,0,0,0,0,0,0,0
0,1,10084,0,0,0,0,0,0,0,0,0,0
1,1,10084,0,0,0,0,0,0,0,0,0,0
1,1,10085,25,25,25,25,25,25,25,25,25,25
2,1,10085,0,0,0,0,0,0,0,0,0,0
3,1,10085,0,0,0,0,0,0,0,0,0,0
1,1,10086,41,41,41,41,41,41,41,41,41,41
