VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_CARG,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,ST_CASE,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_ID,FLDCD_TR,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1HGCB7664MA0,1,H,G,C,B,7,6,6,4,M,A,0,1,3,0,37,32,4,1,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,5,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,10013,37032,1991,AER,***,4D,00000000000,*,1071,0,,2923,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,1,12,1,0,2
4V4ND4RJ8YN7,4,V,4,N,D,4,R,J,8,Y,N,7,1,1,0,51,884,66,98,6,0,0,99,0,1,6,5,1,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,10215,51884,2000,VVN,VVN,DS,57456011,D,9999,9999,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,55,1,0,1
1FVACWDC95HV,1,F,V,A,C,W,D,C,9,5,H,V,1,2,0,82,898,61,1,3,0,0,99,0,0,1,2,1,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,4,10308,82898,2005,16M,FM2,CC,57263096,D,9999,9999,,,6,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,45,1,0,1
JN1HS36P1KW0,J,N,1,H,S,3,6,P,1,K,W,0,1,2,0,35,32,2,1,6,0,0,99,0,0,0,0,0,0,0,10,10,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,10415,35032,1989,24S,***,2H,00000000000,*,974,0,,2690,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,5,0,1
1G1LT53T9PY2,1,G,1,L,T,5,3,T,9,P,Y,2,1,3,0,20,19,4,1,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,10415,20019,1993,COL,***,4D,00000000000,*,1034,0,,2763,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,5,0,1
2GCEC19K5K12,2,G,C,E,C,1,9,K,5,K,1,2,1,4,0,20,471,30,1,6,0,0,99,0,0,0,0,0,0,0,6,6,0,2,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,10415,20471,1989,GC1,GM4,PC,00000000000,G,1415,1555,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,5,0,1
1HGCB7652MA1,1,H,G,C,B,7,6,5,2,M,A,1,1,5,0,37,32,4,1,6,0,0,99,0,0,0,0,0,0,0,11,11,0,2,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,10415,37032,1991,ALE,***,4D,00000000000,*,1071,0,,2504,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,5,0,1
1HGCM72545A0,1,H,G,C,M,7,2,5,4,5,A,0,1,3,1,37,32,4,1,6,0,0,99,0,0,0,0,0,0,0,1,9,0,6,2,9,0,18,0,99,8,12,1,99,99,99,99,99,99,17,0,0,3,10476,37032,2005,ULX,***,CP,00000000000,*,1051,0,,3102,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,12,3,0,2
2GCEK13T5513,2,G,C,E,K,1,3,T,5,5,1,3,1,3,0,20,481,31,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10482,20481,2005,SK1,SIL,CW,00000000000,G,1435,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,12,5,0,2
2GCEK13T5414,2,G,C,E,K,1,3,T,5,4,1,4,1,4,0,20,481,31,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10482,20481,2004,SK1,SIL,CW,00000000000,G,1435,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,12,5,0,2
