ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,6,0,0,0,0,0,0
10003,19,19,19,19,19,19,19,19,19,19
10004,0,0,0,0,0,0,0,0,0,0
10005,6,6,6,6,6,6,6,6,6,6
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,27,0,0,0,0,0,0,13,0
10009,5,0,6,24,12,0,16,14,29,27
10010,23,23,23,23,23,23,23,23,23,23
10011,0,0,7,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,13,13,13,13,13,13,13,13,13,13
10015,0,0,0,0,0,0,0,0,0,0
10016,21,13,34,0,22,25,0,0,14,42
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,5,0,0,0,13
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,15,0,0,29
10022,9,9,9,9,9,9,9,9,9,9
10023,0,0,0,0,0,0,0,0,0,0
10024,14,14,14,14,14,14,14,14,14,14
10025,0,0,0,0,0,0,0,0,0,0
10026,0,0,0,0,0,0,0,0,0,0
10027,17,17,17,17,17,17,17,17,17,17
10028,0,0,0,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,37,37,37,37,37,37,37,37,37,37
10031,0,0,0,0,0,0,0,0,0,0
10032,15,24,23,0,21,9,0,20,15,0
10033,0,0,0,0,0,0,0,0,0,0
10034,20,30,0,0,18,26,0,16,0,0
10035,18,12,23,12,11,12,24,3,23,9
10036,0,0,0,0,0,0,0,0,0,0
10037,42,0,17,29,16,22,24,18,10,13
10038,0,0,0,0,0,0,0,0,0,0
10039,25,0,8,0,0,0,0,0,0,0
10040,18,18,18,18,18,18,18,18,18,18
10041,0,0,0,0,0,0,0,0,0,0
10042,36,36,36,36,36,36,36,36,36,36
10043,0,0,21,0,0,0,0,0,0,0
10044,0,0,0,14,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,6,6,6,6,6,6,6,6,6,6
10047,44,44,44,44,44,44,44,44,44,44
10048,17,35,7,13,15,10,18,14,0,15
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,0,0,19,0,0,0,0,0,0,0
10052,0,0,0,0,0,0,0,0,0,0
10053,15,15,15,15,15,15,15,15,15,15
10054,0,0,22,18,0,26,0,14,14,21
10055,0,0,23,0,0,7,0,0,0,0
10056,15,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,18,18,18,18,18,18,18,18,18,18
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,9,14,10,23,15,8,5,4,7,15
10063,0,0,0,0,0,0,0,0,0,0
10064,22,22,22,22,22,22,22,22,22,22
10065,0,0,0,0,0,0,0,0,0,0
10066,0,0,0,0,0,0,7,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,12,0,0,0
10071,0,0,0,0,10,0,0,0,0,0
10072,0,0,0,0,0,0,0,6,0,0
10073,0,0,0,0,0,0,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,0,0,15,0,0,0,0,0,0,0
10076,0,0,0,0,0,0,0,0,0,0
10077,10,10,10,10,10,10,10,10,10,10
10078,0,0,0,0,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,0,0,0,0,0,5,0,0,0,0
10081,0,0,0,0,0,0,0,0,0,0
10082,0,1,0,0,7,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,0,0
10084,0,0,0,0,0,0,0,0,0,0
10085,0,7,19,0,7,23,12,0,14,0
10086,19,9,20,12,6,7,14,18,29,6
10087,15,15,15,15,15,15,15,15,15,27
10088,0,0,0,0,0,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,27,27,27,27,27,27,27,27,27,27
10091,0,0,0,0,0,0,0,0,0,0
10092,13,13,13,13,13,13,13,13,13,13
10093,0,0,0,0,0,0,0,0,0,0
10094,10,10,10,10,10,10,10,10,10,10
10095,0,0,0,0,0,0,0,0,0,0
10096,8,8,8,8,8,8,8,8,8,8
10097,0,0,0,0,0,0,0,0,12,0
10098,9,4,11,0,21,33,14,0,0,12
10099,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,0
10101,14,19,2,21,23,22,16,20,25,15
10102,25,25,25,25,25,25,25,25,25,25
10103,0,0,0,22,0,0,0,23,14,0
10104,10,18,18,20,0,14,16,17,15,19
10105,0,0,0,0,0,0,0,0,0,0
10106,7,5,10,0,8,13,23,0,4,10
10107,26,0,11,31,0,12,24,15,6,10
10108,0,0,0,0,0,0,0,0,0,0
10109,0,0,0,0,0,0,0,0,0,0
10110,20,22,30,18,10,25,7,9,15,10
10111,0,0,0,0,0,0,0,0,0,0
10112,0,8,0,0,0,0,0,0,0,0
10113,18,0,8,0,15,16,9,10,6,12
10114,27,27,27,27,27,27,27,27,27,27
10115,20,20,20,20,20,20,20,20,20,20
10116,16,17,0,0,0,13,0,0,17,0
10117,0,0,0,0,0,0,0,0,0,0
10118,26,26,26,26,26,26,26,26,26,26
10119,14,5,0,0,0,0,0,0,0,0
10120,0,0,0,0,0,0,0,0,0,10
10121,0,7,0,3,0,11,17,0,5,7
10122,0,0,0,0,0,0,0,0,0,0
10123,0,0,0,0,0,0,0,13,0,15
10124,0,0,0,0,0,0,0,0,0,0
10125,30,17,22,18,43,19,9,20,19,19
10126,0,0,0,7,0,0,0,0,0,0
10127,17,15,15,14,14,32,20,18,24,14
10128,14,14,14,14,14,14,14,14,14,14
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,9,32,24,21,0,0,0,33
10131,3,3,3,3,3,3,3,3,3,3
10132,0,0,0,0,0,0,0,7,0,0
10133,0,0,0,0,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0
10135,0,0,0,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0
10137,25,25,25,25,25,25,25,25,25,25
10138,0,24,6,31,9,4,30,0,20,17
10139,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,0
10141,24,20,13,0,4,34,7,15,15,11
10142,0,0,0,0,0,0,0,0,0,0
10143,34,34,34,34,34,34,34,34,34,34
10144,0,0,0,0,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,15,9,0
10146,25,4,0,0,22,0,0,0,0,0
10147,6,0,12,0,22,21,7,20,0,18
10148,19,24,26,17,8,15,22,19,14,29
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,3,20,0,0,0,0
10151,16,0,0,0,0,0,0,0,0,0
10152,0,0,0,0,0,0,11,0,0,0
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,13,16,12,0,26,0,0,4,33,9
10158,0,0,0,0,0,0,0,0,0,0
10159,19,39,23,22,16,11,29,16,16,25
10160,0,0,0,0,0,0,15,0,2,0
10161,0,5,0,0,0,0,0,0,0,0
10162,0,11,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,12,0,0
10164,11,0,6,0,0,0,18,0,0,15
10165,19,19,19,19,19,19,19,19,19,19
10166,0,0,0,0,0,0,0,0,0,0
10167,12,15,25,11,20,10,28,19,21,13
10168,16,16,16,16,16,16,16,16,16,16
10169,21,0,27,19,13,12,24,16,18,20
10170,0,0,0,0,0,0,0,0,0,0
10171,13,18,18,18,8,20,18,31,26,8
10172,21,0,0,0,0,0,10,14,0,8
10173,19,17,19,28,25,8,0,13,18,20
10174,5,5,5,5,5,5,5,5,5,5
10175,0,0,0,0,0,0,0,0,0,0
10176,10,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,16,16,24,17,14,7,33,21,18,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,16,28,13,18,29,8,26,25,12,33
10183,0,0,0,0,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,16,39,33,26,27,13,14,13,12,15
10187,7,0,0,0,0,0,7,7,0,18
10188,0,0,0,0,0,0,7,0,0,0
10189,14,14,14,14,14,14,14,14,14,14
10190,7,7,7,7,7,7,7,7,7,7
10191,0,0,0,0,0,0,0,0,0,0
10192,14,14,14,14,14,14,14,14,14,14
10193,0,0,0,0,0,0,0,0,0,0
10194,0,0,0,16,0,0,0,14,0,0
10195,27,21,0,0,24,16,33,23,20,16
10196,0,0,0,0,0,0,0,0,0,0
10197,19,9,8,13,15,4,37,16,20,13
10198,3,0,24,24,20,6,23,15,0,18
10199,0,0,0,0,0,0,0,0,0,0
10200,24,22,10,15,15,22,33,28,49,6
10201,0,0,0,0,0,7,0,10,0,0
10202,0,0,0,0,0,0,0,0,0,0
10203,21,13,3,14,7,27,16,21,19,17
10204,0,0,0,0,0,0,0,0,0,0
10205,25,25,25,25,25,25,25,25,25,25
10206,0,0,0,0,0,0,0,0,0,0
10207,18,18,18,18,18,18,18,18,18,18
10208,0,0,0,0,0,0,0,0,0,0
10209,0,0,0,0,0,0,0,0,0,0
10210,0,0,0,0,0,0,0,0,0,8
10211,0,0,0,0,0,0,0,0,0,0
10212,14,14,14,14,14,14,14,14,14,14
10213,7,7,7,7,7,7,7,7,7,7
10214,26,28,25,28,12,8,14,12,22,16
10215,0,0,0,0,0,0,0,0,0,0
10216,9,5,19,13,12,9,17,12,8,19
10217,21,25,20,0,34,29,23,0,17,24
10218,0,0,0,0,0,0,0,0,0,0
10219,21,11,29,21,17,37,23,19,9,14
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,11,11,11,11,11,11,11,11,11,11
10223,0,4,0,0,0,17,6,0,0,14
10224,0,0,0,0,0,0,0,0,0,0
10225,24,24,24,24,24,24,24,24,24,24
10226,15,15,15,15,15,15,15,15,15,15
10227,0,0,0,0,0,0,0,0,0,0
10228,0,0,0,0,0,0,0,0,0,0
10229,5,5,5,5,5,5,5,5,17,5
10230,0,0,0,0,17,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0
10232,0,0,0,0,0,0,0,0,0,0
10233,6,6,6,6,6,6,6,6,6,6
10234,17,0,0,0,14,22,14,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10236,13,13,33,30,19,48,21,8,15,33
10237,0,0,0,0,0,7,0,0,0,0
10238,16,16,16,16,16,16,16,16,16,16
10239,0,0,0,0,0,0,0,9,0,0
10240,30,30,30,30,30,30,30,30,30,30
10241,15,18,22,19,18,30,13,21,12,30
10242,24,24,24,24,24,24,24,24,24,24
10243,0,0,0,0,0,0,0,0,0,0
10244,28,28,28,28,28,28,28,28,28,28
10245,17,17,17,17,17,17,17,17,17,17
10246,25,26,16,14,22,16,0,15,8,18
10247,0,0,0,0,6,5,0,0,0,0
10248,0,0,0,0,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,0,0
10250,0,14,0,13,0,0,0,0,0,19
10251,0,0,0,0,0,0,0,0,0,0
10252,0,0,18,0,0,0,0,0,0,0
10253,0,0,0,0,0,0,0,0,0,0
10254,0,0,0,0,0,0,11,0,0,0
10255,0,0,0,0,0,0,0,0,0,0
10256,0,3,0,0,0,0,0,0,0,0
10257,0,0,0,0,0,0,0,0,0,0
10258,14,14,14,14,14,14,14,14,14,14
10259,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,17,17,17,17,17,17,17,17,17,17
10262,0,0,0,0,0,0,0,0,0,0
10263,0,5,31,0,0,0,0,5,0,14
10264,0,0,0,0,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,16,0,7,0,0,0,0
10268,23,23,23,23,23,23,23,23,23,23
10269,18,18,18,18,18,18,18,18,18,18
10270,0,0,0,0,0,0,0,0,0,0
10271,0,20,13,17,19,0,0,16,17,0
10272,0,0,0,6,0,0,0,0,0,0
10273,21,0,4,0,9,0,21,18,10,24
10274,22,22,22,22,22,22,22,22,22,22
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,14,0,0,0,0
10277,0,0,0,0,0,0,0,0,0,0
10278,19,4,24,37,19,9,15,23,22,26
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0
10282,0,0,0,0,0,0,0,0,0,0
10283,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,12,0,0,0,0
10285,31,31,31,31,31,31,31,31,31,31
10286,13,19,22,19,26,29,25,26,18,14
10287,0,0,22,22,0,4,13,0,13,0
10288,20,24,36,29,15,14,30,25,20,22
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,6,0,0,0,0,0
10291,40,29,24,21,13,27,18,13,25,18
