VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1FTEF25HXSNA,1,F,T,E,F,2,5,H,X,S,N,A,1,2,0,12,481,31,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,18,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,10039,0,12481,1995,F25,COF,PK,000000000,G,00000000000,1330,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,1,23,0,0,1
2GCEC19Z2S11,2,G,C,E,C,1,9,Z,2,S,1,1,1,3,0,20,481,31,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,9,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,10073,0,20481,1995,GC1,GM4,PC,000000000,G,00000000000,1415,1555,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,2,12,2,0,2
1G2WJ52KXWF2,1,G,2,W,J,5,2,K,X,W,F,2,1,4,0,22,20,4,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,9,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,10073,0,22020,1998,GFS,***,4D,000000000,*,00000000000,1105,0,,3373,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,2,12,2,0,2
1HTWHAAR18J6,1,H,T,W,H,A,A,R,1,8,J,6,1,2,1,84,881,63,1,6,0,0,99,1,0,0,0,0,2,4,0,0,6,6,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,88,10136,0,84881,2008,740,70S,TM,888888888,D,88888888888,0,0,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,14,9,0,1
1FTRW07603KD,1,F,T,R,W,0,7,6,0,3,K,D,1,3,0,12,481,31,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10428,0,12481,2003,F1S,COF,CW,000000000,G,00000000000,1385,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,12,2,0,2
1HGES16541L0,1,H,G,E,S,1,6,5,4,1,L,0,1,2,0,37,31,4,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10441,0,37031,2001,UCL,***,4D,000000000,*,00000000000,1031,0,,2515,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,7,42,0,0,1
WVWRH63B22P1,W,V,W,R,H,6,3,B,2,2,P,1,1,2,0,30,46,4,1,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10446,0,30046,2002,PGX,***,4D,000000000,*,00000000000,1064,0,,3250,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,9,0,1
1GYEK63R8YR1,1,G,Y,E,K,6,3,R,8,Y,R,1,1,3,0,19,421,15,1,6,0,0,99,1,0,0,0,0,0,0,0,0,4,4,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10446,0,19421,2000,ESC,***,UT,000000000,*,00000000000,1175,0,,5573,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,9,0,1
2GCEK19T9X12,2,G,C,E,K,1,9,T,9,X,1,2,1,4,0,20,481,31,1,6,0,0,99,1,0,0,0,0,0,0,0,0,4,4,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10446,0,20481,1999,SK1,SIL,3C,000000000,G,00000000000,1435,1575,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,9,0,1
1FTRX17W13NA,1,F,T,R,X,1,7,W,1,3,N,A,1,5,0,12,481,31,1,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10446,0,12481,2003,F15,COF,4C,000000000,G,00000000000,1385,1571,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,9,0,1
