A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,VEH_NO,PER_NO,ST_CASE,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
2,3,6,3,3,3,5,2,2,1,1,10001,2009,1,2,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,2,1,10001,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,0,1,10002,2009,4,2,1,1,2,3,1,1,3
3,5,9,6,6,6,8,5,2,1,1,10002,2009,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,1,10003,2009,1,2,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,2,10003,2009,2,2,3,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,2,1,10003,2009,1,1,4,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,10004,2009,1,2,1,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,2,1,10004,2009,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,2,2,10004,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,10005,2009,1,2,4,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,1,1,10006,2009,1,1,1,1,1,2,2,1,1
3,5,9,6,6,6,8,4,2,2,1,10006,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,1,10007,2009,1,2,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,0,1,10008,2009,3,2,1,1,2,3,1,1,3
3,5,8,5,5,5,7,4,2,1,1,10008,2009,1,3,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,1,10009,2009,1,2,2,1,1,2,2,1,1
2,2,5,2,2,2,4,2,2,1,1,10010,2009,1,2,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,1,2,10010,2009,2,2,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,1,3,10010,2009,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,2,1,10010,2009,1,2,1,1,1,2,2,1,1
2,2,5,2,2,2,4,1,2,2,2,10010,2009,2,2,1,1,1,2,2,1,1
1,1,3,1,1,1,3,1,1,2,3,10010,2009,2,1,1,1,1,2,1,1,1
