VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
1N4AL11D06C1,1,N,4,A,L,1,1,D,0,6,C,1,1,3,0,35,47,4,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,3,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10071,0,35047,2006,ASL,***,4D,000000000,*,00000000000,1102,0,,2915,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,9,20,27,12,1,2
1GNEC13V94J2,1,G,N,E,C,1,3,V,9,4,J,2,1,4,0,20,421,15,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,10071,0,20421,2004,CTA,***,UT,000000000,*,00000000000,1160,0,,4828,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,9,20,27,12,1,2
1FMPU18L0YLB,1,F,M,P,U,1,8,L,0,Y,L,B,1,2,0,12,422,15,18,6,0,0,999,1,0,0,0,1,0,0,0,0,0,0,8,8,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,10285,0,12422,2000,EPT,***,UT,000000000,*,00000000000,1191,0,,5401,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,5,22,1,5,25,0,1
4S2CM58W6X43,4,S,2,C,M,5,8,W,6,X,4,3,1,2,0,38,402,14,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,9,9,0,6,3,9,0,0,0,99,8,13,0,99,99,99,99,99,99,17,0,0,3,0,10323,0,38402,1999,ROD,***,UT,000000000,*,00000000000,1064,0,,3528,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,5,30,0,20,14,5,1
1LNLM81W8SY7,1,L,N,L,M,8,1,W,8,S,Y,7,1,3,0,13,1,4,92,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,10323,0,13001,1995,EXC,***,4D,000000000,*,00000000000,1174,0,,4031,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,5,30,0,20,14,5,1
1G4CW52K4TH6,1,G,4,C,W,5,2,K,4,T,H,6,1,4,0,18,3,4,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,8,8,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,10323,0,18003,1996,PKA,***,4D,000000000,*,00000000000,1108,0,,3536,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,5,30,0,20,14,5,1
1GCDS1364681,1,G,C,D,S,1,3,6,4,6,8,1,1,3,3,20,473,30,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,11,11,0,6,2,9,0,0,0,99,8,13,0,99,99,99,99,99,99,17,0,0,3,0,10493,0,20473,2006,RDO,CAL,CW,000000000,G,00000000000,1260,0,,,1,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,8,14,11,3,12,5,2
CMWRT115P700,C,M,W,R,T,1,1,5,P,7,0,0,1,2,0,98,998,92,0,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,9,2,9,0,0,0,99,8,13,0,99,99,99,99,99,99,17,0,0,3,0,10512,0,98998,2007,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,9,9,22,2,14,1,1
1N6AD07U56C4,1,N,6,A,D,0,7,U,5,6,C,4,1,3,0,35,472,30,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,9,9,0,2,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,10534,0,35472,2006,CEO,FRT,CW,000000000,G,00000000000,1259,0,,,1,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,8,14,9,20,12,5,2
1FMZU67E52UD,1,F,M,Z,U,6,7,E,5,2,U,D,1,3,0,12,473,30,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,11,11,0,6,2,9,1,0,0,99,8,13,0,99,99,99,99,99,99,17,0,0,3,0,10594,0,12473,2002,EPR,***,UT,000000000,*,00000000000,1259,0,,4120,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,10,20,18,45,12,3,2
