YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2010,1,10001,81,1,1,4,2,1,4,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,0,0,0
2010,1,10002,35,1,1,4,2,2,4,2,6,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10003,97,1,1,4,2,2,1,1,2,1,6,1,1,3,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10004,115,1,1,4,2,2,1,2,4,2,3,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10005,117,1,1,4,2,1,1,2,1,2,5,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10006,21,1,1,4,1,1,4,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
2010,1,10007,97,2,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,0,0,0
2010,1,10008,9,1,1,4,1,2,4,1,4,1,1,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10009,51,1,1,4,1,2,4,2,5,2,1,1,2,1,2,2,1,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,1,0,0,0
2010,1,10010,113,1,1,4,1,2,1,1,5,1,4,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10011,95,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10012,91,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10013,125,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10014,9,1,1,4,1,2,1,2,4,2,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10015,47,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
