ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,11,11,11,11,11,11,11,11,11,11
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,0,0,0,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,19,19,19,19,19,19,19,19,19,19
10011,0,0,0,0,0,0,0,0,0,0
10012,8,8,8,8,8,8,8,8,8,8
10013,20,20,20,20,20,20,20,20,20,20
10014,0,0,0,0,0,0,0,0,0,0
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,8,8,8,8,8,8,8,8,8,8
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,0,25,20,0,18,30,15,17,9,26
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0,14,0,0
10029,7,0,0,0,0,0,0,43,0,0
10030,12,12,12,12,12,12,12,12,12,12
10031,16,16,16,16,16,16,16,16,16,16
10032,0,0,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,4
10035,0,18,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,10,21,6,16,15,25,18,40,14,25
10040,0,0,0,0,0,20,0,0,0,0
10041,13,13,13,13,13,13,13,13,13,13
10042,0,0,0,32,0,0,0,0,0,0
10043,34,34,34,34,34,34,34,34,34,34
10044,21,21,21,21,21,21,21,21,21,21
10045,27,27,27,27,27,27,27,27,27,27
10046,14,14,14,14,14,14,14,14,14,14
10047,0,0,0,0,0,0,0,0,0,0
10048,0,0,41,0,0,0,0,0,0,0
10049,0,0,0,0,12,0,0,13,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,0,0,0,0,0,0,0,0,0,0
10052,18,18,18,18,18,18,18,18,18,18
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,0,0,0,0,0,0,0,28,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,25,15,22,13,31,28,16,12,13,30
10062,0,0,0,0,0,0,0,0,0,0
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,0,0,0,0,0,0,0,0,0,0
10066,0,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,8,0,0,0,0,0,0,0
10071,0,23,29,11,17,15,0,20,16,0
10072,0,0,0,0,0,0,0,0,0,0
10073,0,0,0,0,0,0,0,0,0,0
10074,19,19,19,19,19,19,19,19,19,19
10075,18,20,18,18,18,18,18,18,18,18
10076,14,14,14,14,14,14,14,14,14,14
10077,0,23,0,0,16,0,0,0,0,0
10078,28,28,28,28,28,28,28,28,28,28
10079,0,0,0,0,0,0,0,0,0,0
10080,0,0,0,0,0,0,0,0,0,0
10081,16,23,37,33,15,24,10,15,25,43
10082,0,0,0,0,0,0,0,0,0,0
10083,17,17,17,17,17,17,17,17,17,17
10084,0,0,0,0,0,0,0,0,0,0
10085,23,23,23,23,23,23,23,23,23,23
10086,0,0,0,0,0,0,0,0,0,0
10087,0,0,0,0,0,0,0,0,0,0
10088,10,10,10,10,10,10,10,10,10,10
10089,0,0,0,15,0,0,0,0,0,33
10090,20,20,20,20,20,20,20,20,20,20
10091,22,22,22,22,22,22,22,22,22,22
10092,0,0,0,0,0,0,0,0,0,0
10093,0,0,0,0,0,0,0,0,0,0
10094,0,0,0,0,21,7,0,0,0,0
10095,12,12,12,12,12,12,12,12,12,12
10096,16,16,16,16,16,16,16,16,16,16
10097,30,4,4,18,9,4,4,4,12,4
10098,4,18,17,14,6,13,19,29,0,13
10099,30,0,0,9,28,21,8,0,0,10
10100,20,8,8,8,8,8,8,8,20,8
10101,13,13,13,13,13,13,13,13,13,13
10102,0,0,0,0,0,0,0,10,13,0
10103,0,0,0,0,0,0,0,0,0,0
10104,0,0,0,0,0,0,0,0,0,0
10105,0,0,0,0,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,0,0
10107,3,3,21,8,3,3,3,3,14,3
10108,0,0,0,0,0,0,0,0,0,0
10109,13,17,0,0,18,0,15,13,0,19
10110,31,0,0,0,17,0,0,0,0,0
10111,26,10,0,10,16,16,0,26,25,10
10112,20,20,20,20,20,20,20,20,20,20
10113,0,0,0,0,0,0,0,0,0,0
10114,14,14,14,14,14,14,14,14,14,14
10115,0,0,0,0,0,0,0,0,0,0
10117,28,28,28,28,28,28,28,28,28,28
10118,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0
10120,15,0,0,0,0,30,0,0,10,0
10121,14,0,0,0,0,0,0,0,0,0
10122,17,14,14,14,14,14,14,14,14,14
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,0,0,0,0,0,0,0
10125,15,15,15,15,15,15,15,15,15,15
10126,0,0,0,0,0,0,0,0,0,0
10127,0,24,32,0,25,9,0,5,0,19
10128,19,19,19,19,19,19,19,19,19,19
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,0,0,0
10131,0,0,0,0,26,0,0,0,0,0
10132,0,0,0,0,0,0,0,0,0,0
10133,0,0,0,0,0,0,0,0,0,0
10134,11,11,11,11,11,11,11,11,11,11
10135,0,0,0,0,0,0,0,0,0,0
10136,12,0,0,0,0,0,0,22,0,0
10137,0,0,30,0,0,0,0,0,0,0
10138,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,0
10141,0,0,0,0,0,0,0,0,0,0
10142,2,2,2,2,2,2,2,2,2,2
10143,0,0,0,0,0,0,0,0,0,0
10144,16,16,16,16,16,16,16,16,16,16
10145,20,20,20,20,20,20,20,20,20,20
10146,12,12,12,12,12,12,12,12,12,12
10147,0,0,0,0,0,0,0,0,0,0
10148,6,6,6,6,6,6,6,6,6,6
10149,0,0,0,0,0,0,0,0,0,0
10150,22,28,0,7,0,0,29,20,0,0
10151,0,0,0,0,0,0,0,0,0,0
10152,7,7,7,7,7,7,7,7,7,7
10153,0,0,0,0,0,0,0,0,0,0
10154,0,7,0,0,0,0,0,0,0,19
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,23,25,0,34,14,0,22,0,26,0
10158,0,0,0,0,0,0,0,0,0,0
10159,31,31,31,31,31,31,31,31,31,31
10160,0,0,0,0,0,0,0,0,0,0
10161,0,0,0,0,0,0,0,0,0,0
10162,24,24,24,24,24,24,24,24,24,24
10163,0,0,0,0,0,0,0,0,15,0
10164,0,8,0,19,0,0,19,36,0,14
10165,0,0,0,0,0,0,0,0,0,0
10166,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,13,13,13,13,13,13,13,13,13,13
10171,0,0,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,26,26,26,26,26,26,26,26,26,26
10174,0,0,0,0,0,0,0,0,0,0
10175,28,28,28,28,28,28,28,28,28,28
10176,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,16,0,0
10178,9,9,9,9,9,9,9,9,9,9
10179,26,26,26,26,26,26,26,26,26,26
10180,2,2,2,2,2,2,2,2,2,2
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,0,0,0,0,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,0,0
10185,6,6,6,6,6,6,6,6,6,6
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,0,0,0,0,0,0,0,0,0,0
10189,11,11,11,11,11,11,11,11,11,11
10190,0,0,0,0,0,0,0,0,0,0
10191,30,30,30,30,30,30,30,30,30,30
10192,31,0,0,0,11,0,27,0,21,0
10193,0,0,0,0,0,0,0,22,0,0
10194,32,31,27,27,27,27,27,27,27,27
10195,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0
10200,34,11,11,21,10,2,36,27,24,22
10201,0,0,0,0,0,0,0,0,0,0
10202,1,1,1,1,1,1,1,1,1,1
10203,0,0,0,0,0,0,0,0,0,0
10204,26,26,26,26,26,26,26,26,26,26
10205,0,0,0,0,0,0,0,0,0,0
10206,6,6,6,6,14,9,6,6,6,6
10207,0,0,0,0,0,0,0,0,0,0
10208,0,0,2,0,0,9,0,0,0,0
10209,17,17,17,17,17,17,17,17,17,17
10210,17,17,17,17,17,17,17,17,17,17
10211,7,7,7,7,7,7,7,7,7,7
10212,23,23,23,23,23,23,23,23,23,23
10213,31,0,16,0,0,0,0,0,0,0
10214,12,0,11,0,0,23,2,42,0,0
10215,0,10,0,0,0,0,0,0,28,6
10216,0,0,0,0,0,0,0,0,0,0
10217,0,23,0,0,0,0,0,0,22,0
10218,0,17,25,0,0,0,16,0,25,0
10219,0,0,0,0,8,0,0,0,0,18
10220,13,13,13,13,13,13,13,13,13,13
10221,0,11,0,0,0,0,0,0,0,0
10222,0,0,0,0,0,0,0,12,0,0
10223,0,0,0,0,0,0,0,0,0,0
10224,2,2,2,2,2,2,2,2,2,2
10225,0,0,0,0,0,0,0,0,0,0
10226,0,0,0,0,31,0,0,0,0,0
10227,22,22,22,22,22,22,22,22,22,22
10228,36,36,36,36,36,36,36,36,36,36
10229,31,10,20,21,7,30,21,18,26,6
10230,19,19,19,19,19,19,19,19,19,19
10231,0,0,0,40,14,0,0,12,16,0
10232,0,0,0,0,0,0,0,0,0,0
10233,0,0,0,0,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10237,36,36,36,36,36,36,36,36,36,36
10238,13,13,13,13,13,13,13,13,13,13
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,22,0,0,0,0,0,0,0
10241,0,12,0,0,0,0,0,0,0,0
10242,0,7,0,0,0,0,0,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,9,9,9,9,9,9,9,9,9,9
10245,0,0,0,0,0,0,0,0,0,0
10246,0,0,0,0,0,0,0,0,0,0
10247,3,3,3,3,3,3,3,3,3,3
10248,0,0,0,0,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,40,0
10250,9,9,9,9,9,9,9,9,9,9
10251,0,0,0,0,0,0,14,0,0,0
