ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,11,11,11,11,11,11,11,11,11,11
10002,1,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,0,0,0,0,0,0,0
10003,3,1,0,0,0,0,0,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10004,2,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,0,0,0,0,0,0,0,0,0
10005,2,1,0,0,0,0,0,0,0,0,0,0
10006,1,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,0,0,0,0,0,0,0,0,0,0
10009,1,1,0,0,0,0,0,0,0,0,0,0
10010,1,1,19,19,19,19,19,19,19,19,19,19
10010,2,1,0,0,0,0,0,0,0,0,0,0
10011,1,1,0,0,0,0,0,0,0,0,0,0
10012,1,1,8,8,8,8,8,8,8,8,8,8
10013,1,1,20,20,20,20,20,20,20,20,20,20
10014,1,1,0,0,0,0,0,0,0,0,0,0
10014,2,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,0,0,0,0,0,0,0,0,0,0
10016,2,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,0,0,0,0,0,0
10018,1,1,0,0,0,0,0,0,0,0,0,0
10018,2,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,8,8,8,8,8,8,8,8,8,8
10020,1,1,0,0,0,0,0,0,0,0,0,0
10020,2,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,0,0,0,0,0,0,0,0,0,0
10021,2,1,0,0,0,0,0,0,0,0,0,0
10022,0,1,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10023,2,1,0,0,0,0,0,0,0,0,0,0
10024,0,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,0,0,0,0,0,0
10024,2,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,0,25,20,0,18,30,15,17,9,26
10026,1,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,0,0,0,0,0,0,0,0,0,0
10028,2,1,0,0,0,0,0,0,0,14,0,0
10029,1,1,7,0,0,0,0,0,0,43,0,0
10030,1,1,12,12,12,12,12,12,12,12,12,12
10031,1,1,16,16,16,16,16,16,16,16,16,16
10032,1,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,0,0,0,0,0,0,0,0,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,0,0,0,0,0,0,0,0,4
10035,1,1,0,18,0,0,0,0,0,0,0,0
10036,0,1,0,0,0,0,0,0,0,0,0,0
10036,1,1,0,0,0,0,0,0,0,0,0,0
10036,2,1,0,0,0,0,0,0,0,0,0,0
10036,3,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,0,0,0,0,0,0,0,0,0,0
10038,1,1,0,0,0,0,0,0,0,0,0,0
10038,2,1,0,0,0,0,0,0,0,0,0,0
10039,1,1,10,21,6,16,15,25,18,40,14,25
10040,1,1,0,0,0,0,0,0,0,0,0,0
10040,2,1,0,0,0,0,0,20,0,0,0,0
10041,1,1,13,13,13,13,13,13,13,13,13,13
10042,1,1,0,0,0,32,0,0,0,0,0,0
10042,2,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,34,34,34,34,34,34,34,34,34,34
10043,2,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,21,21,21,21,21,21,21,21,21,21
10045,1,1,27,27,27,27,27,27,27,27,27,27
10046,1,1,14,14,14,14,14,14,14,14,14,14
10047,1,1,0,0,0,0,0,0,0,0,0,0
10047,2,1,0,0,0,0,0,0,0,0,0,0
10048,1,1,0,0,41,0,0,0,0,0,0,0
10049,1,1,0,0,0,0,0,0,0,0,0,0
10049,2,1,0,0,0,0,12,0,0,13,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10050,2,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,0,0,0,0,0,0,0,0,0,0
10051,2,1,0,0,0,0,0,0,0,0,0,0
10052,1,1,18,18,18,18,18,18,18,18,18,18
10053,1,1,0,0,0,0,0,0,0,0,0,0
10053,2,1,0,0,0,0,0,0,0,0,0,0
10054,1,1,0,0,0,0,0,0,0,0,0,0
10054,2,1,0,0,0,0,0,0,0,0,0,0
10055,1,1,0,0,0,0,0,0,0,0,0,0
10055,2,1,0,0,0,0,0,0,0,0,0,0
10056,1,1,0,0,0,0,0,0,0,28,0,0
10056,2,1,0,0,0,0,0,0,0,0,0,0
10057,1,1,0,0,0,0,0,0,0,0,0,0
