STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10141,2,1,0,11,3,16,14,14,0,2,0,1,6,2,404,2404,14,1989,1J4FJ38L3KL5,1,J,4,F,J,3,8,L,3,K,L,5,T,JEEP,PNR,4W,89,17,,1,0,1014,CHK,G,,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,5,4,3,8,0,0,0,0
1,10215,2,1,0,31,3,22,0,14,0,3,0,1,6,12,481,12481,31,9999,F60CEE52971,F,6,0,C,E,E,5,2,9,7,1,,P,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,6,4,12,0,0,0,0
1,10288,3,2,0,3,6,14,17,12,6,3,0,1,6,37,31,37031,4,2007,1HGFA16887L0,1,H,G,F,A,1,6,8,8,7,L,0,P,HOND,UAX,4D,7,17,2807,,0,1063,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,4,1,12,0,0,0,0
1,10288,4,2,0,3,6,14,17,12,6,3,0,1,6,52,401,52401,14,2000,JA4LS31H6YP0,J,A,4,L,S,3,1,H,6,Y,P,0,P,MITS,MNS,UT,0,17,3835,,0,1073,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,1,12,0,0,0,0
1,10288,5,2,0,3,6,14,17,12,6,3,0,1,6,37,402,37402,14,2008,JHLRE48778C0,J,H,L,R,E,4,8,7,7,8,C,0,P,HOND,CRV,UT,8,17,3549,,0,1031,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,2,1,12,0,0,0,0
1,10327,2,1,0,19,6,18,45,14,0,3,0,1,6,12,481,12481,31,2006,1FTRX14W96NA,1,F,T,R,X,1,4,W,9,6,N,A,T,FORD,F15,4C,6,17,,2,0,1450,COF,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,6,2,12,0,0,0,0
1,10327,3,1,0,19,6,18,45,14,0,3,0,1,6,23,481,23481,31,1996,2GTEK19R5T15,2,G,T,E,K,1,9,R,5,T,1,5,T,GMC,SK1,PC,96,17,,2,1555,1415,SIE,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,10,6,2,12,0,0,0,0
1,10352,2,1,0,27,6,2,22,8,0,2,0,1,6,12,481,12481,31,2000,1FTZX0720YKA,1,F,T,Z,X,0,7,2,0,Y,K,A,T,FORD,F15,4C,0,17,,1,0,1385,COF,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,9,2,3,12,0,0,0,0
1,10501,2,1,1,31,8,7,20,14,0,3,0,93,6,86,881,86881,66,2000,1M1AE07Y6YW0,1,M,1,A,E,0,7,Y,6,Y,W,0,T,MACK,CX6,TM,0,17,,8,0,0,600,D,,1,57,1247419,571247419,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,3,12,0,0,0,0
1,10576,2,1,0,16,10,10,10,14,0,2,0,1,6,35,402,35402,14,2004,5N1ED28Y84C6,5,N,1,E,D,2,8,Y,8,4,C,6,P,NISS,XTR,UT,4,17,3924,,0,1043,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
1,10576,3,1,0,16,10,10,10,14,0,2,0,1,6,39,36,39036,4,2003,SAJEA51D73XD,S,A,J,E,A,5,1,D,7,3,X,D,P,JAGU,XT2,4D,3,17,3516,,0,1067,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,10,2,1,12,0,0,0,0
1,10616,2,1,0,30,10,23,30,18,0,3,0,1,6,20,421,20421,15,1999,1GNEC13R1XJ4,1,G,N,E,C,1,3,R,1,X,J,4,P,CHEV,CTA,UT,99,17,4865,,0,1175,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,8,6,2,12,0,0,0,0
1,10616,3,1,0,30,10,23,30,18,0,3,0,1,6,7,482,7482,31,2007,1D7HA16K97J6,1,D,7,H,A,1,6,K,9,7,J,6,T,DODG,S1T,PK,7,17,,2,1605,1405,RPC,G,996,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,8,2,1,14,0,0,0,0
1,10758,3,2,1,28,11,1,51,12,2,3,0,1,6,6,51,6051,4,2006,2C3KA53G46H2,2,C,3,K,A,5,3,G,4,6,H,2,P,CHRY,3TR,4D,6,17,3651,,0,1200,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,10,6,2,12,0,0,0,0
