STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
1,10022,0,1,1
1,10024,0,1,1
1,10036,0,1,1
1,10083,0,1,1
1,10095,0,1,1
1,10097,0,1,1
1,10107,0,1,1
1,10120,0,1,1
1,10123,0,1,1
1,10127,0,1,1
1,10141,0,1,1
1,10141,0,2,1
1,10157,0,1,1
1,10187,0,1,3
1,10187,0,2,3
1,10192,0,1,1
1,10194,0,1,1
1,10223,0,1,1
1,10257,0,1,1
1,10270,0,1,3
1,10279,0,1,1
1,10281,0,1,1
1,10285,0,1,1
1,10289,0,1,1
1,10309,0,1,1
1,10315,0,1,1
1,10316,0,1,1
1,10324,0,1,1
1,10328,0,1,1
1,10352,0,1,1
1,10363,0,1,1
1,10380,0,1,1
1,10383,0,1,1
1,10396,0,1,1
1,10401,0,1,1
1,10448,0,1,1
1,10486,0,1,2
1,10496,0,1,1
1,10535,0,1,1
1,10536,0,1,1
1,10540,0,1,1
1,10555,0,1,1
1,10576,0,1,1
1,10576,0,2,1
1,10586,0,1,1
1,10587,0,1,1
1,10617,0,1,1
1,10625,0,1,1
1,10628,0,1,1
1,10628,0,2,1
1,10635,0,1,1
1,10636,0,1,1
1,10655,0,1,1
1,10660,0,1,1
1,10669,0,1,1
1,10669,0,2,1
1,10680,0,1,1
1,10684,0,1,3
1,10694,0,1,1
1,10702,0,1,1
1,10707,0,1,3
1,10719,0,1,1
1,10721,0,1,1
1,10735,0,1,1
1,10737,0,1,1
1,10738,0,1,1
1,10738,0,2,1
1,10743,0,1,1
1,10751,0,1,1
1,10759,0,1,1
1,10761,0,1,1
1,10766,0,1,1
1,10767,0,1,1
1,10790,0,1,1
2,20001,0,1,1
2,20002,0,1,1
2,20007,0,1,1
2,20024,0,1,1
2,20024,0,2,1
2,20027,0,1,1
2,20039,0,1,1
4,40020,0,1,1
4,40022,0,1,2
4,40031,0,1,1
4,40041,0,1,1
4,40045,0,1,5
4,40050,0,1,1
4,40051,0,1,1
4,40052,0,1,1
4,40055,0,1,1
4,40065,0,1,1
4,40066,0,1,5
4,40067,0,1,1
4,40072,0,1,1
4,40074,0,1,1
4,40079,0,1,2
4,40081,0,1,1
4,40088,0,1,1
4,40090,0,1,1
4,40090,0,2,1
4,40090,0,3,1
4,40090,0,4,1
4,40090,0,5,1
4,40090,0,6,1
4,40098,0,1,1
4,40100,0,1,1
4,40101,0,1,1
4,40106,0,1,1
4,40111,0,1,1
4,40115,0,1,1
4,40118,0,1,1
4,40119,0,1,1
4,40122,0,1,1
4,40123,0,1,1
4,40124,0,1,1
4,40130,0,1,1
4,40131,0,1,1
4,40133,0,1,1
4,40134,0,1,1
4,40140,0,1,1
4,40146,0,1,1
4,40148,0,1,1
4,40149,0,1,1
4,40150,0,1,1
4,40152,0,1,1
4,40153,0,1,1
4,40155,0,1,1
4,40156,0,1,1
4,40163,0,1,1
4,40164,0,1,1
4,40165,0,1,1
4,40170,0,1,1
4,40175,0,1,1
4,40176,0,1,1
4,40178,0,1,1
4,40182,0,1,1
4,40184,0,1,1
4,40187,0,1,1
4,40188,0,1,1
4,40194,0,1,1
4,40205,0,1,1
4,40208,0,1,1
4,40210,0,1,1
4,40214,0,1,1
4,40215,0,1,1
4,40217,0,1,1
4,40221,0,1,1
4,40222,0,1,1
4,40228,0,1,1
4,40230,0,1,1
4,40231,0,1,9
4,40239,0,1,1
4,40240,0,1,1
4,40246,0,1,1
4,40258,0,1,1
4,40259,0,1,1
4,40264,0,1,1
4,40273,0,1,1
4,40288,0,1,1
4,40292,0,1,1
4,40295,0,1,1
4,40297,0,1,1
4,40299,0,1,1
4,40309,0,1,1
4,40316,0,1,1
4,40324,0,1,1
4,40329,0,1,1
4,40343,0,1,1
4,40344,0,1,1
4,40348,0,1,1
4,40353,0,1,1
4,40363,0,1,1
4,40369,0,1,1
4,40378,0,1,1
4,40382,0,1,1
4,40396,0,1,1
4,40398,0,1,1
4,40398,0,2,1
4,40405,0,1,1
4,40406,0,1,1
4,40408,0,1,1
4,40409,0,1,1
4,40409,0,2,1
4,40411,0,1,1
4,40412,0,1,1
4,40413,0,1,1
4,40417,0,1,1
4,40450,0,1,1
4,40452,0,1,9
4,40463,0,1,1
4,40464,0,1,1
4,40465,0,1,1
4,40469,0,1,1
4,40485,0,1,1
4,40489,0,1,1
4,40491,0,1,1
4,40497,0,1,1
4,40503,0,1,1
4,40518,0,1,1
4,40520,0,1,1
4,40520,0,2,1
4,40522,0,1,1
4,40525,0,1,1
4,40526,0,1,1
4,40527,0,1,1
4,40528,0,1,1
4,40529,0,1,1
4,40530,0,1,1
4,40531,0,1,1
4,40535,0,1,1
4,40538,0,1,1
4,40541,0,1,9
4,40547,0,1,9
4,40549,0,1,1
4,40553,0,1,1
4,40555,0,1,1
4,40556,0,1,9
4,40561,0,1,1
4,40570,0,1,9
4,40576,0,1,1
4,40578,0,1,1
4,40581,0,1,1
4,40583,0,1,1
4,40584,0,1,1
4,40586,0,1,1
4,40587,0,1,1
4,40588,0,1,1
4,40590,0,1,1
4,40591,0,1,1
4,40599,0,1,1
4,40600,0,1,2
4,40604,0,1,1
4,40622,0,1,1
4,40629,0,1,1
4,40637,0,1,1
4,40641,0,1,1
4,40646,0,1,1
4,40647,0,1,1
4,40652,0,1,1
4,40653,0,1,1
4,40659,0,1,1
4,40662,0,1,3
4,40663,0,1,1
4,40667,0,1,1
4,40671,0,1,1
4,40671,0,2,1
4,40674,0,1,1
4,40676,0,1,1
4,40677,0,1,1
4,40680,0,1,1
4,40685,0,1,1
4,40687,0,1,1
4,40689,0,1,1
4,40694,0,1,1
4,40699,0,1,1
4,40701,0,1,1
4,40704,0,1,1
4,40706,0,1,1
4,40709,0,1,1
4,40710,0,1,1
4,40711,0,1,1
4,40712,0,1,1
4,40713,0,1,9
4,40715,0,1,1
4,40715,0,2,1
4,40719,0,1,1
5,50025,0,1,1
5,50028,0,1,8
5,50035,0,1,8
5,50076,0,1,8
5,50099,0,1,8
5,50100,0,1,1
5,50138,0,1,8
5,50150,0,1,8
5,50163,0,1,8
5,50167,0,1,8
5,50181,0,1,1
5,50188,0,1,8
5,50191,0,1,9
5,50208,0,1,8
5,50208,0,2,8
5,50208,0,3,1
5,50220,0,1,1
5,50222,0,1,1
5,50228,0,1,8
5,50239,0,1,8
5,50244,0,1,8
5,50260,0,1,8
5,50263,0,1,8
5,50305,0,1,8
5,50312,0,1,8
5,50361,0,1,1
5,50372,0,1,1
5,50405,0,1,1
5,50412,0,1,8
5,50426,0,1,8
5,50435,0,1,8
5,50446,0,1,1
5,50451,0,1,8
5,50462,0,1,8
5,50467,0,1,8
5,50475,0,1,8
5,50485,0,1,1
5,50486,0,1,8
5,50487,0,1,8
5,50489,0,1,8
5,50515,0,1,8
5,50517,0,1,1
6,60002,0,1,8
6,60010,0,1,2
6,60012,0,1,8
6,60017,0,1,1
6,60019,0,1,8
6,60020,0,1,8
6,60021,0,1,8
6,60037,0,1,1
6,60049,0,1,8
6,60058,0,1,8
6,60061,0,1,8
6,60062,0,1,8
6,60066,0,1,8
6,60067,0,1,8
6,60069,0,1,8
6,60071,0,1,8
6,60071,0,2,8
6,60073,0,1,1
6,60074,0,1,8
6,60074,0,2,8
6,60074,0,3,8
6,60076,0,1,8
6,60078,0,1,1
6,60087,0,1,8
6,60093,0,1,8
6,60094,0,1,8
6,60095,0,1,8
6,60096,0,1,8
6,60098,0,1,8
6,60099,0,1,8
6,60102,0,1,8
6,60104,0,1,8
6,60105,0,1,8
6,60107,0,1,8
6,60108,0,1,8
6,60109,0,1,8
6,60110,0,1,8
6,60117,0,1,8
6,60120,0,1,1
6,60125,0,1,8
6,60126,0,1,2
6,60128,0,1,8
6,60129,0,1,8
6,60130,0,1,2
6,60131,0,1,1
6,60134,0,1,1
6,60139,0,1,8
6,60140,0,1,8
6,60143,0,1,8
6,60145,0,1,8
6,60147,0,1,8
6,60150,0,1,8
6,60150,0,2,8
6,60153,0,1,1
6,60155,0,1,1
6,60156,0,1,1
6,60159,0,1,1
6,60160,0,1,8
6,60161,0,1,8
6,60165,0,1,1
6,60166,0,1,1
6,60168,0,1,8
6,60171,0,1,8
6,60179,0,1,8
6,60183,0,1,1
6,60184,0,1,1
6,60187,0,1,1
6,60191,0,1,1
6,60192,0,1,8
6,60194,0,1,1
6,60202,0,1,8
6,60202,0,2,8
6,60205,0,1,1
6,60206,0,1,1
6,60208,0,1,1
6,60211,0,1,1
6,60216,0,1,8
6,60223,0,1,8
6,60224,0,1,8
6,60225,0,1,8
6,60227,0,1,1
6,60228,0,1,1
6,60233,0,1,1
6,60238,0,1,8
6,60239,0,1,8
6,60240,0,1,8
6,60241,0,1,8
6,60242,0,1,8
6,60246,0,1,8
6,60246,0,2,8
6,60247,0,1,1
6,60249,0,1,8
6,60251,0,1,8
6,60252,0,1,8
6,60254,0,1,8
6,60255,0,1,8
6,60257,0,1,8
6,60259,0,1,8
6,60260,0,1,8
6,60261,0,1,8
6,60262,0,1,8
6,60263,0,1,8
6,60263,0,2,8
6,60264,0,1,8
6,60265,0,1,8
6,60266,0,1,8
6,60268,0,1,8
6,60273,0,1,8
6,60274,0,1,8
6,60282,0,1,8
6,60285,0,1,8
6,60296,0,1,8
6,60297,0,1,8
6,60299,0,1,8
6,60317,0,1,1
6,60318,0,1,1
6,60319,0,1,1
6,60325,0,1,8
6,60326,0,1,8
6,60327,0,1,8
6,60328,0,1,8
6,60329,0,1,8
6,60333,0,1,8
6,60336,0,1,8
6,60336,0,2,1
6,60343,0,1,8
6,60348,0,1,2
6,60349,0,1,8
6,60355,0,1,8
6,60357,0,1,1
6,60358,0,1,1
6,60360,0,1,1
6,60361,0,1,1
6,60364,0,1,8
6,60365,0,1,1
6,60367,0,1,8
6,60368,0,1,1
6,60375,0,1,8
6,60378,0,1,8
6,60379,0,1,8
6,60380,0,1,8
6,60381,0,1,8
6,60382,0,1,8
6,60384,0,1,1
6,60388,0,1,8
6,60390,0,1,8
6,60396,0,1,8
6,60397,0,1,8
6,60398,0,1,8
6,60400,0,1,1
6,60403,0,1,8
6,60404,0,1,8
6,60407,0,1,8
6,60410,0,1,8
6,60413,0,1,8
6,60415,0,1,8
6,60418,0,1,8
6,60419,0,1,1
6,60421,0,1,2
6,60423,0,1,1
6,60424,0,1,1
6,60428,0,1,8
6,60443,0,1,8
6,60444,0,1,8
6,60451,0,1,8
6,60455,0,1,8
6,60456,0,1,1
6,60458,0,1,8
6,60489,0,1,8
6,60494,0,1,8
6,60496,0,1,8
6,60498,0,1,1
6,60506,0,1,8
6,60531,0,1,8
6,60532,0,1,8
6,60539,0,1,8
6,60544,0,1,8
6,60546,0,1,1
6,60547,0,1,8
6,60553,0,1,1
6,60566,0,1,8
6,60569,0,1,1
6,60569,0,2,1
6,60581,0,1,1
6,60582,0,1,8
6,60584,0,1,8
6,60585,0,1,1
6,60586,0,1,8
6,60589,0,1,8
6,60592,0,1,8
6,60596,0,1,8
6,60605,0,1,8
6,60605,0,2,8
6,60614,0,1,8
6,60622,0,1,8
6,60623,0,1,8
6,60628,0,1,1
6,60628,0,2,1
6,60633,0,1,1
6,60634,0,1,8
6,60643,0,1,8
6,60643,0,2,8
6,60645,0,1,1
6,60660,0,1,8
6,60663,0,1,8
6,60664,0,1,8
6,60666,0,1,8
6,60668,0,1,8
6,60673,0,1,8
6,60677,0,1,8
6,60679,0,1,1
6,60679,0,2,1
6,60680,0,1,9
6,60681,0,1,8
6,60682,0,1,8
6,60692,0,1,8
6,60696,0,1,8
6,60703,0,1,8
6,60705,0,1,8
6,60711,0,1,8
6,60716,0,1,2
6,60720,0,1,8
6,60721,0,1,8
6,60731,0,1,8
6,60737,0,1,8
6,60739,0,1,8
6,60744,0,1,8
6,60769,0,1,8
6,60769,0,2,8
