STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,1,1,55,63,9999,55
1,10001,2,1,2,1,55,67,9999,55
1,10001,3,1,3,1,99,42,9999,55
1,10001,4,1,4,1,55,67,9999,55
1,10001,5,1,5,1,0,1,9999,55
1,10001,6,1,6,1,99,42,9999,55
1,10001,7,1,7,1,0,2,9999,55
1,10002,1,1,1,1,55,64,9999,55
1,10002,2,1,2,1,12,30,9999,55
1,10003,1,1,1,1,13,12,2,12
1,10003,3,1,2,1,55,63,9999,55
1,10003,4,1,3,1,12,12,3,12
1,10003,1,2,1,1,13,12,2,12
1,10003,2,2,2,2,55,64,9999,55
1,10003,4,3,1,1,12,12,3,12
1,10004,1,1,1,2,12,12,1,12
1,10004,3,1,2,1,55,64,9999,55
1,10004,4,1,3,1,0,1,9999,55
1,10004,1,2,1,2,12,12,1,12
1,10004,2,2,2,2,55,64,9999,55
1,10005,1,1,1,1,55,65,9999,55
1,10005,2,1,2,1,11,12,2,2
1,10005,3,1,3,1,55,63,9999,55
1,10005,4,1,4,1,1,38,9999,55
1,10005,5,1,5,1,12,42,9999,55
1,10005,6,1,6,1,0,2,9999,55
1,10005,2,2,1,1,11,12,2,2
1,10006,1,1,1,1,55,63,9999,55
1,10006,2,1,2,1,3,32,9999,55
1,10006,3,1,3,1,0,1,9999,55
1,10007,1,1,1,1,55,64,9999,55
1,10007,2,1,2,1,12,53,9999,55
1,10007,3,1,3,1,12,32,9999,55
1,10007,4,1,4,1,55,67,9999,55
1,10007,5,1,5,1,13,42,9999,55
1,10008,1,1,1,1,55,64,9999,55
1,10008,2,1,2,1,3,31,9999,55
1,10008,3,1,3,1,1,34,9999,55
1,10008,4,1,4,1,0,1,9999,55
1,10009,1,1,1,1,55,64,9999,55
1,10009,2,1,2,1,0,1,9999,55
1,10010,1,1,1,2,12,12,1,2
1,10010,2,1,2,1,55,64,9999,55
1,10010,1,2,1,2,12,12,1,2
1,10010,3,2,2,2,55,63,9999,55
