YEAR,ST_CASE,VEH_NO,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2014,10001,1,1,2,,1,2,2,2,4,1,3,2011,2,2
2014,10002,1,2,2,,2,2,2,2,4,2,3,1997,2,2
2014,10003,1,1,2,,2,2,2,2,4,2,3,2004,2,2
2014,10003,2,1,5,,2,2,2,2,4,2,3,1997,2,2
2014,10004,1,2,2,,2,1,1,2,4,2,3,1999,2,2
2014,10004,2,4,2,,2,1,1,2,4,2,3,1997,2,2
2014,10004,3,6,5,,2,1,1,1,4,2,3,2010,2,2
2014,10005,1,1,2,,1,1,1,2,4,2,3,2005,2,2
2014,10006,1,1,2,,2,1,1,2,4,2,3,2010,2,1
2014,10007,1,1,5,,2,2,2,2,4,1,3,1995,2,2
2014,10007,2,1,5,,2,1,1,2,4,1,3,1997,2,2
2014,10008,1,2,4,,2,1,1,1,4,2,3,1997,2,2
2014,10008,2,6,2,,2,1,1,1,4,2,3,1999,2,2
2014,10009,1,1,2,,2,1,1,2,4,2,3,1999,2,2
2014,10009,2,6,2,,2,2,2,2,4,2,3,2014,2,2
2014,10009,3,3,2,,2,1,1,2,4,2,3,2009,2,2
2014,10010,1,2,2,,2,1,1,2,4,2,3,2001,2,2
2014,10010,2,1,2,,2,2,2,2,4,2,3,1992,2,2
2014,10011,1,3,2,,1,1,1,2,4,1,3,2003,2,2
2014,10012,1,2,2,,2,1,1,2,4,2,3,2001,2,2
2014,10013,1,4,2,,1,2,2,2,4,1,3,1994,2,2
2014,10014,1,2,2,,2,1,1,2,4,2,3,1994,2,2
2014,10015,1,3,2,,2,3,3,3,4,2,3,2010,2,2
2014,10015,2,1,2,,2,1,1,2,4,2,3,1997,2,2
2014,10016,1,3,2,,1,2,2,2,4,2,3,1995,1,2
2014,10017,1,1,5,,2,1,1,2,4,2,3,1998,2,2
2014,10017,2,2,2,,2,1,1,1,4,2,3,2002,2,2
2014,10018,1,2,1,,1,1,1,1,4,1,3,1998,2,2
2014,10019,1,1,2,,2,1,1,2,4,1,3,2010,2,2
2014,10020,1,2,5,,2,2,2,2,4,2,3,2000,2,2
2014,10021,1,2,2,,2,1,1,2,4,2,3,2005,2,2
2014,10022,1,1,2,,2,1,1,1,4,1,3,2005,2,2
2014,10023,1,1,3,,2,1,1,2,4,2,3,2000,2,2
2014,10023,2,3,2,,2,1,1,2,4,1,3,2006,2,2
2014,10024,1,2,2,,2,1,1,2,4,2,3,2000,2,2
2014,10024,2,6,2,,2,1,1,1,4,2,3,2010,2,2
2014,10025,1,1,3,,2,1,1,2,4,2,3,1994,2,2
2014,10025,2,1,2,,2,1,1,2,4,2,3,2002,2,2
2014,10025,3,1,2,,2,1,1,2,4,2,3,2003,2,2
2014,10026,1,1,2,,1,1,1,2,4,2,3,1995,2,2
2014,10027,1,2,2,,2,1,1,2,4,2,3,1999,2,2
2014,10027,2,2,2,,2,1,1,1,4,2,3,2005,2,2
2014,10028,1,1,2,,2,1,1,2,4,1,3,2007,2,2
2014,10029,1,1,2,,2,1,1,2,4,2,3,2012,2,2
2014,10029,2,1,5,,2,1,1,2,4,2,3,2003,2,2
2014,10029,3,3,2,,2,2,2,2,4,2,3,1997,2,2
2014,10030,1,3,1,,1,2,2,2,4,1,3,2003,2,2
2014,10031,1,1,5,,2,1,1,2,4,2,3,1998,2,2
2014,10031,2,2,2,,2,1,1,2,4,2,3,1999,2,2
2014,10032,1,2,5,,2,2,2,2,4,2,3,1999,2,2
2014,10033,1,2,2,,2,1,1,1,4,2,3,1986,2,2
2014,10033,2,1,2,,2,1,1,2,4,2,3,1994,2,2
2014,10034,1,3,2,,1,1,1,1,4,2,3,1997,2,2
2014,10035,1,1,5,,2,1,1,2,4,2,3,1999,2,2
2014,10035,2,2,2,,2,1,1,1,4,2,3,1998,2,2
2014,10036,1,1,4,,2,1,1,2,4,1,3,1999,2,2
2014,10037,1,1,2,,2,1,1,2,4,2,3,2002,2,2
2014,10037,2,3,4,,2,3,3,3,4,2,3,2007,2,2
2014,10038,1,1,2,,2,2,2,2,4,2,3,2005,2,2
2014,10039,1,2,2,,1,1,1,2,4,1,3,1997,2,2
2014,10039,2,1,4,,2,1,1,2,4,2,3,1994,2,2
2014,10039,3,3,5,,2,1,1,2,4,2,3,2013,2,2
2014,10039,4,1,2,,2,1,1,2,4,2,3,2004,2,2
2014,10040,1,2,2,,2,1,1,2,4,2,3,2002,2,2
2014,10041,1,1,2,,2,1,1,2,4,2,3,1995,2,2
2014,10042,1,2,2,,2,1,1,2,4,1,3,2003,2,2
2014,10042,2,3,2,,2,1,1,2,4,2,3,2006,2,2
2014,10042,3,2,2,,2,1,1,1,4,2,3,1996,2,2
2014,10042,4,2,2,,2,1,1,2,4,2,3,2011,2,2
2014,10043,1,2,5,,2,2,2,2,4,1,3,2005,2,2
2014,10044,1,3,2,,1,1,1,2,4,1,3,2004,2,2
2014,10044,2,1,4,,2,1,1,2,4,2,3,2002,2,2
2014,10045,1,1,2,,2,1,1,2,4,1,3,2006,2,2
2014,10046,1,3,5,,2,1,1,2,4,2,3,2012,2,2
2014,10046,2,2,2,,2,1,1,2,4,2,3,2004,2,2
2014,10047,1,1,1,,1,1,1,2,4,1,3,2002,2,2
2014,10048,1,2,2,,2,1,1,2,4,1,3,1996,2,2
2014,10048,2,2,2,,2,1,1,2,4,2,3,2003,2,2
2014,10048,3,2,6,,2,1,1,2,4,2,3,2012,2,2
2014,10049,1,3,2,,2,1,1,2,4,1,3,1996,2,2
2014,10050,1,1,2,,1,1,1,2,4,1,3,2011,2,2
2014,10051,1,2,3,,2,1,1,2,4,2,3,2012,2,2
2014,10051,2,6,2,,1,1,1,1,4,2,3,1996,2,2
2014,10052,1,1,5,,2,1,1,2,4,1,3,2004,2,2
2014,10053,1,2,2,,2,1,1,2,4,2,3,2002,2,2
2014,10053,2,2,2,,2,1,1,2,4,2,3,1997,2,2
2014,10054,1,1,2,,1,1,1,2,4,2,3,2013,1,2
2014,10055,1,2,2,,2,1,1,2,4,2,3,2004,1,2
2014,10056,1,1,1,,2,2,2,2,4,2,3,2000,2,2
2014,10057,1,1,2,,2,1,1,2,4,2,3,2011,2,1
2014,10058,1,3,4,,2,1,1,2,4,2,3,2006,2,2
2014,10058,2,6,2,,2,1,1,2,4,2,3,1999,2,2
2014,10058,3,1,4,,2,1,1,2,4,2,3,2010,2,2
2014,10058,4,3,4,,2,1,1,2,4,2,3,2013,2,2
2014,10058,5,6,4,,2,1,1,1,4,2,3,2012,2,2
2014,10059,1,1,2,,2,1,1,2,4,1,3,2005,2,2
2014,10059,2,2,2,,2,1,1,2,4,2,3,2006,2,2
2014,10060,1,7,1,,2,4,2,2,2,2,3,2005,2,2
2014,10061,1,2,2,,2,1,1,1,4,2,3,2008,2,2
2014,10062,1,2,2,,2,1,1,2,4,2,3,1983,2,2
2014,10063,1,7,2,,2,4,2,2,2,1,3,2006,2,2
2014,10064,1,3,1,,1,2,2,2,4,2,3,2002,2,1
2014,10065,1,1,2,,2,1,1,2,4,2,3,1995,2,2
2014,10065,2,1,2,,2,2,2,2,4,2,3,2004,2,2
2014,10066,1,2,2,,1,2,2,2,4,2,3,1989,2,2
2014,10067,1,2,2,,2,1,1,2,4,2,3,2013,2,2
2014,10067,2,1,2,,2,1,1,2,4,2,3,2007,2,2
2014,10067,3,2,5,,2,1,1,2,4,2,3,2004,2,2
2014,10068,1,1,2,,2,1,1,2,4,2,3,2014,2,2
2014,10068,2,3,2,,2,1,1,2,4,2,3,2005,2,2
2014,10069,1,4,2,,2,1,1,2,4,2,3,2007,2,2
2014,10069,2,4,2,,2,1,1,2,4,1,3,2013,2,2
2014,10070,1,1,2,,2,1,1,2,4,1,3,2002,2,2
2014,10070,2,1,2,,2,1,1,2,4,2,3,2013,2,2
2014,10071,1,6,2,,2,1,1,1,4,2,3,1992,2,2
2014,10072,1,2,2,,2,1,1,2,4,2,3,2002,2,2
2014,10073,1,1,2,,2,2,2,2,4,2,3,2005,2,2
2014,10073,2,6,2,,2,1,1,1,4,2,3,2000,2,2
2014,10074,1,3,2,,2,1,1,2,4,2,3,2003,2,2
2014,10075,1,1,2,,2,1,1,2,4,1,3,2013,2,2
2014,10075,2,6,4,,2,1,1,1,4,2,3,2011,2,2
2014,10076,1,3,7,,1,2,2,2,4,2,3,1997,2,2
2014,10077,1,1,6,,1,2,2,2,4,2,3,1994,2,1
2014,10078,1,2,1,,1,1,1,2,4,2,3,1993,2,2
2014,10079,1,1,5,,2,1,1,2,4,2,3,2002,2,2
2014,10079,2,2,2,,2,1,1,2,4,2,3,1986,2,2
2014,10080,1,2,2,,1,2,2,2,4,2,3,2007,2,2
2014,10081,1,1,4,,2,3,3,3,4,2,3,1989,2,2
2014,10081,2,6,2,,2,1,1,1,4,2,3,2014,2,2
2014,10082,1,1,2,,2,1,1,2,4,2,3,2011,1,2
2014,10083,1,1,3,,2,1,1,2,4,1,3,2009,2,2
2014,10083,2,6,2,,2,1,1,1,4,2,3,2013,2,2
2014,10084,1,3,1,,1,2,2,2,4,1,3,2003,2,2
2014,10085,1,1,2,,2,2,2,2,4,1,3,2009,2,2
2014,10086,1,1,5,,2,1,1,2,4,1,3,2007,2,2
2014,10087,1,1,2,,2,1,1,2,4,2,3,2012,2,2
2014,10087,2,1,2,,2,1,1,2,4,2,3,2004,2,2
2014,10088,1,1,2,,1,1,1,2,4,2,3,2002,2,2
2014,10089,1,1,2,,2,1,1,2,4,2,3,2011,2,2
2014,10089,2,6,4,,2,1,1,1,4,2,3,1993,2,2
2014,10090,1,2,2,,2,1,1,2,4,2,3,2008,2,2
2014,10090,2,3,5,,2,1,1,2,4,2,3,2007,2,2
2014,10091,1,3,3,,1,1,1,2,4,2,3,2002,2,2
2014,10091,2,2,2,,2,1,1,2,4,2,3,2013,2,2
2014,10092,1,1,2,,2,1,1,2,4,2,3,2012,2,2
2014,10092,2,3,2,,2,1,1,2,4,2,3,2003,2,2
2014,10092,3,1,2,,2,1,1,2,4,2,3,1995,2,2
2014,10093,1,1,6,,1,2,2,2,4,2,3,2001,2,2
2014,10094,1,2,5,,2,2,2,2,4,1,3,1993,2,2
2014,10095,1,2,2,,2,1,1,1,4,2,3,1990,2,2
2014,10095,2,2,2,,2,1,1,2,4,2,3,2006,2,2
2014,10095,3,2,2,,2,1,1,2,4,2,3,2001,2,2
2014,10096,1,1,2,,2,1,1,2,4,2,3,2011,2,2
2014,10097,1,3,1,,1,2,2,2,4,1,3,2003,2,2
2014,10098,1,2,2,,1,1,1,2,4,2,3,1997,2,2
2014,10098,2,2,2,,2,1,1,2,4,2,3,2002,2,2
2014,10098,3,1,2,,2,1,1,2,4,2,3,2001,2,2
2014,10099,1,1,6,,1,1,1,2,4,1,3,2010,2,2
2014,10100,1,1,2,,2,1,1,2,4,2,3,2003,2,2
2014,10101,1,2,7,,1,1,1,2,4,2,3,1995,2,2
2014,10102,1,1,5,,1,2,2,2,4,1,3,2004,2,2
2014,10102,2,1,5,,2,1,1,2,4,2,3,2007,2,2
2014,10103,1,1,3,,2,2,2,2,4,2,3,1995,2,2
2014,10103,2,3,2,,2,1,1,2,4,2,3,2014,2,2
2014,10104,1,3,2,,1,1,1,2,4,2,3,2007,2,1
2014,10105,1,3,6,,2,1,1,2,4,2,3,2003,2,2
2014,10105,2,1,2,,2,1,1,2,4,2,3,2005,2,2
2014,10106,1,1,5,,1,1,1,2,4,1,3,2005,2,2
2014,10107,1,2,3,,1,1,1,2,4,1,3,2000,2,2
2014,10108,1,1,2,,2,1,1,2,4,2,3,1991,2,2
2014,10108,2,6,5,,2,1,1,1,4,2,3,2007,2,2
2014,10109,1,2,1,,1,1,1,2,4,1,3,2000,2,2
2014,10110,1,1,4,,2,2,2,2,4,2,3,1998,2,1
2014,10111,1,3,3,,2,1,1,2,4,2,3,1997,1,2
2014,10111,2,7,2,,2,4,1,2,1,2,3,2005,2,2
2014,10112,1,3,1,,1,1,1,2,4,2,3,2002,2,2
2014,10113,1,3,2,,1,1,1,2,4,2,3,2004,2,2
2014,10114,1,3,2,,1,2,2,2,4,1,3,2000,2,2
2014,10115,1,2,2,,1,1,1,2,4,1,3,2004,2,2
2014,10116,1,4,2,,2,2,2,2,4,1,3,1992,2,2
2014,10117,1,1,2,,2,1,1,2,4,1,3,2004,2,2
2014,10118,1,1,6,,1,1,1,2,4,1,3,1992,2,2
2014,10119,1,3,2,,2,1,1,2,4,2,3,2003,1,2
2014,10120,1,3,2,,1,2,2,2,4,1,3,2007,2,2
2014,10121,1,2,2,,2,1,1,1,4,2,3,2005,2,2
2014,10122,1,8,2,,2,1,1,1,4,2,3,2001,2,2
2014,10123,1,2,2,,2,1,1,2,4,2,3,1989,1,2
2014,10123,2,6,4,,2,1,1,1,4,2,3,2013,2,2
2014,10124,1,4,2,,2,1,1,2,4,2,3,2001,2,2
2014,10125,1,2,2,,1,2,2,2,4,2,3,1990,2,1
2014,10126,1,1,4,,2,2,2,2,4,1,3,1992,2,2
2014,10127,1,1,3,,2,1,1,2,4,2,3,2005,2,2
2014,10128,1,1,2,,2,1,1,2,4,2,3,2010,2,2
2014,10129,1,1,2,,2,1,1,2,4,2,3,2001,2,2
2014,10129,2,2,2,,2,1,1,2,4,2,3,1997,2,2
2014,10129,3,1,2,,2,1,1,2,4,2,3,1999,2,2
2014,10129,4,2,2,,2,1,1,2,4,2,3,1997,2,2
2014,10130,1,2,2,,2,2,2,2,4,2,3,1995,2,2
2014,10131,1,1,2,,2,1,1,2,4,2,3,1988,2,2
2014,10131,2,1,2,,2,1,1,2,4,2,3,2011,2,2
2014,10132,1,2,2,,1,2,2,2,4,1,3,2003,2,2
2014,10132,2,1,4,,2,3,3,3,4,2,3,2014,2,2
2014,10133,1,2,2,,2,1,1,2,4,2,3,1999,2,1
2014,10134,1,3,2,,2,1,1,2,4,1,3,2012,2,2
2014,10134,2,2,5,,2,1,1,2,4,2,3,2001,2,2
2014,10135,1,2,2,,2,1,1,2,4,2,3,1999,2,2
