ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,7,7,7,7,7,7,7,7,7,7
10002,1,1,16,16,16,16,16,16,16,16,16,16
10003,1,1,0,15,15,15,0,33,8,0,23,6
10004,1,1,18,6,23,31,19,17,14,16,28,31
10005,1,1,10,0,0,0,0,0,9,0,0,29
10006,1,1,23,7,0,32,11,0,8,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,21,21,21,21,21,21,21,21,21,21
10009,1,1,0,0,0,0,0,0,0,0,0,0
10009,2,1,0,0,0,0,0,0,0,0,14,0
10010,1,1,10,10,10,10,10,10,10,10,10,10
10011,1,1,0,0,0,0,0,0,0,0,0,0
10011,2,1,23,0,13,0,0,0,9,12,0,0
10012,1,1,0,0,0,0,0,0,0,0,0,0
10013,0,1,0,0,0,0,0,0,0,0,0,0
10013,0,2,20,0,14,15,0,0,0,0,0,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10014,1,1,22,22,22,22,22,22,22,22,22,22
10014,2,1,0,0,0,0,13,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10015,2,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,26,26,26,26,26,26,26,26,26,26
10017,1,1,12,12,12,12,12,12,12,12,12,12
10018,1,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,13,17,16,17,25,7,0,8,16,28
10020,2,1,9,9,9,9,9,9,9,9,9,9
10021,1,1,0,0,0,0,0,0,0,0,0,0
10021,2,1,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,19,12
10022,2,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10024,0,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,21,19,22,22,24,22,12,0,33,29
10025,2,1,0,0,0,0,0,0,0,0,0,0
10026,1,1,0,0,0,0,0,0,0,0,0,0
10026,2,1,8,0,0,0,0,0,0,0,3,0
10026,3,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,25,25,25,25,25,25,25,25,25,25
10028,1,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,0,0,0,0,0,0,0,0,0,0
10029,2,1,0,0,0,0,0,0,0,0,0,0
10030,1,1,15,0,24,21,17,0,20,0,0,34
10031,1,1,0,0,0,0,0,0,0,0,0,0
10031,2,1,0,0,0,0,0,0,0,0,0,0
10031,3,1,0,0,0,0,0,0,0,0,0,0
10032,1,1,0,0,0,0,0,0,0,0,0,0
10032,2,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,0,0,0,0,0,0,0,0,0
10033,2,1,0,0,0,0,0,0,0,0,0,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,0,0,11,0,0,0,0,0,0
10035,1,1,0,0,0,0,0,0,0,0,0,0
10035,2,1,0,0,0,0,0,0,0,0,0,0
10036,0,1,0,0,0,0,0,0,0,0,0,0
10036,1,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,0,0,0,0,0,0,0,0,0,0
10038,1,1,0,0,0,0,0,0,0,0,0,0
10038,2,1,0,0,0,0,0,0,0,0,0,0
10039,0,1,0,0,0,0,0,0,0,0,0,0
10039,1,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,0,0,0,0,0,0,0,0,0,0
10040,2,1,0,0,0,0,0,0,0,0,0,0
10041,1,1,0,0,4,0,0,0,0,0,0,0
10041,2,1,0,0,0,0,0,0,0,0,0,0
10041,3,1,0,0,0,0,0,0,0,0,0,0
10042,1,1,33,21,14,22,0,0,10,11,17,15
10042,2,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,13,7,21,14,6,19,12,13,12,32
10044,1,1,0,0,0,0,0,0,24,0,0,0
10045,1,1,0,0,0,0,0,0,0,0,0,0
10046,1,1,0,0,0,0,0,0,0,0,0,0
10047,1,1,13,18,26,16,5,12,27,25,19,38
10047,2,1,0,0,0,23,0,13,0,0,9,0
10048,1,1,0,0,0,0,0,0,0,0,0,0
10048,2,1,0,0,0,0,0,0,0,0,0,0
10048,3,1,0,0,0,0,0,0,0,0,0,0
10049,1,1,0,0,0,15,0,0,0,0,0,0
10049,2,1,0,0,0,0,0,0,0,0,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10050,2,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,0,0,0,0,0,0,0,7,0,0
10051,2,1,0,0,0,0,0,0,0,0,0,0
10052,0,1,35,35,35,35,35,35,35,35,35,35
10052,1,1,0,0,0,0,0,0,0,0,0,0
10053,1,1,14,14,14,14,14,14,14,14,14,14
10054,1,1,0,0,0,0,0,0,0,0,0,0
10054,2,1,0,0,0,0,0,0,0,0,0,0
10055,1,1,0,0,0,0,0,0,0,0,0,0
10055,2,1,0,0,13,0,0,0,0,19,0,24
10056,1,1,8,8,8,8,8,8,8,8,8,8
10057,1,1,0,0,0,0,0,0,0,0,0,0
10057,2,1,0,0,0,0,0,15,0,21,0,0
10058,1,1,10,24,0,36,0,0,0,0,0,0
10059,1,1,0,0,0,0,0,0,0,0,0,0
10059,2,1,5,0,0,0,0,0,0,0,0,0
10059,3,1,7,7,7,7,7,7,7,7,7,7
10060,1,1,0,0,0,0,0,0,0,0,0,0
10060,2,1,0,0,0,0,0,0,0,0,0,0
10061,1,1,0,0,0,0,0,0,0,0,0,0
10061,2,1,0,0,0,0,0,0,0,0,0,0
10061,3,1,0,0,0,0,0,0,0,20,0,0
10062,1,1,0,0,0,13,0,0,0,0,0,0
10063,1,1,16,18,5,8,0,23,6,15,3,8
10063,2,1,0,0,0,0,0,0,0,0,0,0
10063,3,1,0,6,0,0,0,0,0,0,0,0
10063,4,1,0,0,0,0,0,0,0,0,0,0
