STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,1,1,55,64,5555,55
1,10001,2,1,2,1,8,42,9999,77
1,10001,3,1,3,1,98,42,9999,77
1,10001,4,1,4,1,0,1,9999,77
1,10002,1,1,1,1,55,63,5555,55
1,10002,2,1,2,1,0,1,9999,77
1,10002,3,1,3,1,98,52,9999,77
1,10003,1,1,1,1,55,63,5555,55
1,10003,2,1,2,1,12,14,2,6
1,10003,2,2,1,1,12,14,2,6
1,10004,1,1,1,1,55,64,5555,55
1,10004,2,1,2,1,12,25,9999,77
1,10005,1,1,1,1,55,63,5555,55
1,10005,2,1,2,1,9,42,9999,77
1,10006,1,1,1,1,55,63,5555,55
1,10006,2,1,2,1,55,69,5555,55
1,10006,3,1,3,1,55,68,5555,55
1,10006,4,1,4,1,55,64,5555,55
1,10006,5,1,5,1,12,42,9999,77
1,10006,6,1,6,1,0,1,9999,77
1,10007,1,1,1,1,55,63,5555,55
1,10007,2,1,2,1,12,42,9999,77
1,10008,1,1,1,1,55,63,5555,55
1,10008,2,1,2,1,10,32,9999,77
1,10008,3,1,3,1,55,67,5555,55
1,10008,4,1,4,1,0,1,9999,77
1,10008,5,1,5,1,13,30,9999,77
1,10008,6,1,6,1,98,42,9999,77
1,10009,2,1,1,2,12,12,1,12
1,10009,1,2,1,2,55,68,5555,55
1,10009,2,2,2,2,12,12,1,12
1,10010,1,1,1,1,55,68,5555,55
1,10010,2,1,2,1,55,64,5555,55
1,10010,3,1,3,1,0,1,9999,77
1,10010,4,1,4,1,9,32,9999,77
1,10011,1,1,1,2,12,12,1,12
1,10011,1,2,1,2,12,12,1,12
1,10012,1,1,1,1,55,68,5555,55
1,10012,2,1,2,1,55,64,5555,55
1,10012,3,1,3,1,11,42,9999,77
1,10012,4,1,4,1,12,42,9999,77
1,10013,1,1,1,1,55,63,5555,55
1,10013,2,1,2,1,12,8,9999,77
1,10013,3,1,3,1,19,8,9999,77
1,10013,4,1,4,1,55,69,5555,55
1,10013,5,1,5,1,55,64,5555,55
1,10013,6,1,6,1,12,24,9999,77
1,10014,1,1,1,1,55,68,5555,55
1,10014,3,1,2,1,12,12,2,12
1,10014,2,2,1,2,55,68,5555,55
1,10014,3,2,2,1,12,12,2,12
1,10015,1,1,1,1,55,68,5555,55
1,10015,2,1,2,1,12,12,2,12
1,10015,2,2,1,1,12,12,2,12
1,10016,1,1,1,1,55,63,5555,55
1,10016,2,1,2,1,55,69,5555,55
1,10016,3,1,3,1,55,68,5555,55
1,10016,4,1,4,1,55,64,5555,55
1,10016,5,1,5,1,12,42,9999,77
1,10016,6,1,6,1,12,38,9999,77
1,10017,1,1,1,1,55,68,5555,55
1,10017,2,1,2,1,55,68,5555,55
1,10017,3,1,3,1,55,63,5555,55
1,10017,4,1,4,1,12,34,9999,77
1,10017,5,1,5,1,0,1,9999,77
1,10018,1,1,1,1,55,63,5555,55
1,10018,2,1,2,1,12,34,9999,77
1,10018,3,1,3,1,10,42,9999,77
1,10018,4,1,4,1,2,42,9999,77
1,10018,5,1,5,1,0,1,9999,77
1,10018,6,1,6,1,13,42,9999,77
1,10019,1,1,1,1,55,63,5555,55
1,10019,2,1,2,1,55,69,5555,55
1,10019,3,1,3,1,55,63,5555,55
1,10019,4,1,4,1,6,34,9999,77
1,10019,5,1,5,1,5,42,9999,77
1,10019,6,1,6,1,0,1,9999,77
1,10020,1,1,1,1,12,12,2,9
1,10020,1,2,1,1,12,12,2,9
1,10020,2,2,2,2,55,63,5555,55
1,10020,3,2,3,2,0,1,9999,77
1,10020,4,2,4,2,98,14,3,3
1,10020,4,3,1,2,98,14,3,3
1,10021,1,1,1,2,12,12,1,3
1,10021,2,1,2,1,55,64,5555,55
1,10021,3,1,3,1,8,30,9999,77
1,10021,4,1,4,1,0,1,9999,77
1,10021,1,2,1,2,12,12,1,3
1,10022,1,1,1,1,12,12,2,1
1,10022,1,2,1,1,12,12,2,1
1,10022,2,2,2,2,55,63,5555,55
1,10022,3,2,3,2,98,34,9999,77
1,10022,4,2,4,2,12,39,9999,77
1,10022,5,2,5,2,19,14,3,6
1,10022,6,2,6,2,19,14,4,8
1,10022,5,3,1,2,19,14,3,6
1,10022,6,4,1,2,19,14,4,8
1,10023,1,1,1,1,55,63,5555,55
1,10023,2,1,2,1,1,34,9999,77
1,10023,3,1,3,1,6,42,9999,77
1,10023,4,1,4,1,0,2,9999,77
1,10024,1,1,1,1,55,63,5555,55
1,10024,2,1,2,1,12,8,9999,77
1,10024,3,1,3,1,98,18,9999,77
1,10024,4,1,4,1,19,14,2,5
1,10024,5,1,5,1,12,39,9999,77
1,10024,4,2,1,1,19,14,2,5
1,10025,1,1,1,2,12,12,1,10
1,10025,1,2,1,2,12,12,1,10
1,10026,1,1,1,1,55,64,5555,55
1,10026,2,1,2,1,0,1,9999,77
1,10026,3,1,3,1,55,65,5555,55
1,10026,4,1,4,2,12,12,1,13
1,10026,4,2,1,2,12,12,1,13
1,10026,5,2,2,3,12,12,2,6
1,10026,5,3,1,3,12,12,2,6
