ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,29,0,15,22,14,16,30,0,8
10003,0,0,0,0,0,0,11,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,14,0,0,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,2,0,0,0,0,0,0,0,0
10009,20,20,20,20,20,20,20,20,20,20
10010,0,0,0,0,0,0,0,0,0,0
10011,0,0,0,0,15,0,0,8,0,18
10012,15,15,15,15,15,15,15,15,15,15
10013,19,0,0,0,0,13,0,0,0,0
10014,15,15,15,15,15,15,15,15,15,15
10015,0,0,0,0,0,0,0,0,0,0
10016,18,18,18,18,18,18,18,18,18,18
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,8,8,8,8,8,8,8,8,8,8
10020,0,0,0,0,0,0,0,0,0,5
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,25,0,0
10024,0,0,0,20,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,0,0
10026,6,16,0,17,0,4,12,10,0,7
10027,0,0,0,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0,0,0,0
10029,5,20,27,23,14,16,22,7,32,20
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,17,17,17,17,17,17,17,17,17,17
10038,0,0,0,0,0,0,0,0,0,0
10039,0,0,0,0,0,0,0,0,0,0
10040,13,13,13,13,13,13,13,13,13,13
10041,0,0,0,0,0,0,0,0,0,0
10042,6,0,23,14,19,0,15,28,19,24
10043,0,0,0,0,0,0,0,0,0,21
10044,0,0,0,0,16,0,0,0,0,0
10045,0,0,13,0,0,0,0,16,15,12
10046,0,0,0,0,0,0,0,0,0,0
10047,19,19,19,19,19,19,19,19,19,19
10048,6,6,6,6,6,6,6,6,6,6
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,26,0,3,14,13,17,9,10,31,0
10052,0,0,0,0,0,0,0,0,0,0
10053,14,0,0,10,24,15,7,19,25,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,33,24,0,0,8,23,23,0,22,0
10057,0,0,0,0,0,0,0,33,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,6
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,24,24,24,24,24,24,24,24,24,24
10063,0,0,0,16,0,0,0,0,0,0
10064,20,20,20,20,20,20,20,20,20,20
10065,0,0,0,0,0,0,8,0,0,0
