STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
1,10006,0,1,12
1,10007,0,1,3
1,10008,0,1,12
1,10010,0,1,3
1,10017,0,1,8
1,10027,0,1,3
1,10032,0,1,3
1,10034,0,1,3
1,10055,0,1,3
1,10061,0,1,3
1,10077,0,1,8
1,10080,0,1,12
1,10094,0,1,3
1,10103,0,1,3
1,10113,0,1,5
1,10115,0,1,5
1,10125,0,1,3
1,10141,0,1,3
1,10142,0,1,5
1,10143,0,1,5
1,10144,0,1,3
1,10146,0,1,5
1,10152,0,1,3
1,10160,0,1,6
1,10162,0,1,3
1,10168,0,1,3
1,10183,0,1,5
1,10186,0,1,3
1,10197,0,1,14
1,10216,0,1,3
1,10225,0,1,16
1,10257,0,1,5
1,10261,0,1,14
1,10278,0,1,5
1,10280,0,1,12
1,10302,0,1,5
1,10313,0,1,3
1,10317,0,1,3
1,10328,0,1,99
1,10343,0,1,3
1,10349,0,1,5
1,10358,0,1,3
1,10372,0,1,6
1,10376,0,1,3
1,10389,0,1,12
1,10389,0,2,12
1,10395,0,1,5
1,10406,0,1,8
1,10408,0,1,9
1,10408,0,1,12
1,10410,0,1,3
1,10423,0,1,5
1,10424,0,1,3
1,10426,0,1,8
1,10428,0,1,5
1,10436,0,1,3
1,10457,0,1,3
1,10458,0,1,3
1,10481,0,1,5
1,10482,0,1,6
1,10496,0,1,5
1,10503,0,1,8
1,10504,0,1,3
1,10508,0,1,8
1,10525,0,1,6
1,10529,0,1,3
1,10537,0,1,3
1,10548,0,1,5
1,10555,0,1,3
1,10558,0,1,3
1,10563,0,1,8
1,10564,0,1,3
1,10571,0,1,8
1,10584,0,1,3
1,10601,0,1,3
1,10625,0,1,3
1,10637,0,1,5
1,10649,0,1,5
1,10653,0,1,8
1,10654,0,1,3
1,10660,0,1,3
1,10660,0,1,12
1,10665,0,1,5
1,10668,0,1,9
1,10669,0,1,3
1,10675,0,1,3
1,10683,0,1,3
1,10693,0,1,5
1,10706,0,1,5
1,10708,0,1,8
1,10716,0,1,6
1,10725,0,1,8
1,10725,0,1,12
1,10728,0,1,3
1,10740,0,1,5
1,10743,0,1,8
1,10746,0,1,5
1,10748,0,1,3
1,10751,0,1,8
1,10751,0,2,8
1,10756,0,1,99
1,10759,0,1,3
1,10762,0,1,14
1,10767,0,1,5
1,10771,0,1,3
1,10773,0,1,3
1,10776,0,1,3
1,10778,0,1,3
1,10791,0,1,3
1,10793,0,1,3
1,10794,0,1,3
1,10804,0,1,5
1,10813,0,1,3
1,10822,0,1,3
1,10824,0,1,5
1,10830,0,1,3
1,10831,0,1,5
1,10834,0,1,3
1,10836,0,1,3
1,10862,0,1,3
1,10863,0,1,8
1,10867,0,1,12
1,10874,0,1,8
1,10874,0,1,12
1,10879,0,1,8
1,10882,0,1,3
2,20010,0,1,8
2,20013,0,1,9
