YEAR,ST_CASE,VEH_NO,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO,A_FIRE_EXP
2018,10001,1,6,2,,1,1,1,1,4,2,3,2018,2,2,1
2018,10002,1,1,2,,2,2,2,2,4,1,3,9999,2,2,2
2018,10003,1,3,2,,2,2,2,2,4,2,3,2008,2,2,1
2018,10003,2,6,2,,2,1,1,2,4,2,3,2001,2,2,1
2018,10004,1,2,2,,2,2,2,2,4,2,3,2004,2,2,1
2018,10005,1,6,2,,2,1,1,1,4,2,3,2016,2,2,1
2018,10005,2,6,4,,2,1,1,1,4,2,3,2016,2,2,1
2018,10006,1,2,2,,2,1,1,2,4,1,3,2011,2,2,1
2018,10007,1,2,2,,2,1,1,2,4,2,3,2014,2,2,1
2018,10008,1,2,2,,2,1,1,2,4,2,3,2004,2,2,1
2018,10008,2,1,4,,2,3,3,3,4,2,3,2016,2,2,1
2018,10009,1,7,2,,2,4,1,1,1,1,3,2013,2,2,1
2018,10010,1,1,2,,2,1,1,2,4,2,3,2013,2,2,1
2018,10011,1,3,2,,2,1,1,2,4,2,3,2016,2,2,1
2018,10011,2,3,2,,2,1,1,2,4,2,3,2016,2,2,1
2018,10011,3,1,2,,2,1,1,2,4,2,3,2007,2,2,1
2018,10012,1,1,1,,1,2,2,2,4,1,3,2005,2,2,1
2018,10013,1,1,2,,2,1,1,2,4,2,3,2015,2,2,1
2018,10013,2,1,2,,2,1,1,2,4,2,3,2008,2,2,1
2018,10013,3,1,2,,2,1,1,2,4,2,3,2005,2,2,1
2018,10014,1,2,2,,2,2,2,2,4,2,3,2010,2,2,1
2018,10014,2,1,2,,2,1,1,2,4,2,3,2016,2,2,1
2018,10015,1,1,2,,2,1,1,1,4,2,3,2016,2,2,1
2018,10016,1,2,2,,1,1,1,2,4,2,3,2002,1,2,1
2018,10017,1,1,2,,2,1,1,2,4,2,3,2010,2,2,1
2018,10018,1,2,2,,2,1,1,2,4,2,3,2001,2,2,1
2018,10018,2,6,3,,2,1,1,1,4,2,3,2009,2,2,1
2018,10019,1,1,2,,2,1,1,2,4,2,3,2007,2,2,1
2018,10020,1,6,5,,2,1,1,1,4,2,3,2006,2,2,1
2018,10020,2,6,2,,2,1,1,1,4,2,3,2007,2,2,1
2018,10021,1,2,2,,2,1,1,2,4,2,3,1990,2,2,1
2018,10021,2,3,2,,2,1,1,2,4,2,3,2012,2,2,1
2018,10022,1,1,2,,2,1,1,2,4,2,3,2005,1,2,1
2018,10022,2,2,2,,1,1,1,2,4,2,3,2004,2,2,1
2018,10023,1,1,2,,2,1,1,2,4,2,3,2007,2,2,1
2018,10023,2,1,2,,2,1,1,2,4,2,3,1995,2,2,1
2018,10024,1,3,2,,2,2,2,2,4,2,3,1997,2,2,1
2018,10024,2,3,2,,2,1,1,2,4,2,3,2008,2,2,1
2018,10025,1,2,2,,1,1,1,2,4,2,3,1994,2,2,1
2018,10025,2,2,2,,2,1,1,2,4,2,3,2017,2,2,1
2018,10026,1,1,2,,1,1,1,2,4,2,3,2013,2,2,1
2018,10027,1,3,2,,2,1,1,1,4,2,3,2002,2,2,1
2018,10028,1,1,3,,2,1,1,2,4,1,3,2003,1,2,1
2018,10028,2,3,2,,2,1,1,2,4,2,3,2002,2,2,1
2018,10029,1,2,2,,2,1,1,2,4,2,3,2006,2,2,1
2018,10030,1,1,2,,2,1,1,2,4,2,3,2016,1,2,1
2018,10030,2,6,2,,2,1,1,1,4,2,3,2018,2,2,1
2018,10031,1,7,2,,2,4,1,2,1,1,3,2009,2,2,1
2018,10031,2,3,3,,2,1,1,2,4,2,3,2017,2,2,1
2018,10032,1,3,2,,2,1,1,2,4,2,3,2001,2,2,1
2018,10033,1,4,2,,2,1,1,2,4,2,3,1989,2,1,1
2018,10034,1,2,2,,2,1,1,2,4,2,3,2004,2,2,1
2018,10035,1,3,2,,2,1,1,2,4,2,3,2004,2,2,1
